Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.17,97220,24210,2962,1147,67610,182.1,18.62,679,2.01,34.29,45,11.74,4.53,9.79,4.11,1.249,1.077
1,2,1.1,97550,24070,2929,1162.2,67400,181.8,18.22,686,2.044,33.34,49.8,11.33,4.43,9.65,3.88,1.389,0.956
1,3,0.86,97780,24060,2955,1160.6,68090,184.5,18.62,683,1.99,34.42,44.9,12.09,4.46,10.16,3.86,1.249,1.054
1,4,1.01,97610,24040,2909,1172,66830,178.5,18.49,691,2.01,33.83,44.87,11.84,4.39,9.8,3.89,1.29,1.058
1,5,1.27,97480,24220,2967,1162.6,68070,180.7,18.39,672,2.01,34.37,45.69,11.55,4.67,9.88,3.96,1.21,1.07
2,1,1.22,98570,23950,2895,1185,67810,178.3,18.59,689,2.19,33.49,43.99,11.78,4.4,9.7,3.78,1.101,1.043
2,2,1,98960,24330,2960,1178.9,68070,185.1,18.36,682,2.03,34.28,46.6,11.77,4.61,9.92,3.93,1.229,1.051
2,3,1.41,98390,23990,2910,1173,67240,182.6,18.44,675,2.03,33.93,44.49,12,4.73,9.81,3.8,1.136,1.081
2,4,1.17,98200,23920,2904,1181.6,67480,178.5,18.19,667,2.03,33.72,44.1,11.95,4.59,9.84,3.96,1.237,1.108
2,5,1.25,99840,24020,2902,1189,67160,181.2,18.03,681,2.08,33.73,43.79,11.68,4.58,10.02,3.94,1.339,1.111
2,6,1.31,99060,23900,2914,1200.8,67870,179.5,18.67,663,2.1,34.2,44.6,11.93,4.51,9.77,3.84,1.206,1.122
2,7,1.03,98660,23660,2872,1177,66750,178.4,18.21,689,2.25,33.94,44.52,12,4.61,9.98,3.99,1.214,1.109
2,8,1.29,98400,24070,2926,1169.6,67650,177.8,18.77,687,2.15,33.45,50.4,11.94,4.5,9.92,3.77,1.43,1.023
2,9,1.36,98060,23920,2942,1183,68020,183.9,18.64,674,2.08,33.66,47.6,11.61,4.5,9.91,3.9,1.24,1.041
2,10,1.19,99620,24120,2925,1193,67770,183.2,18.55,691,2.04,34.34,47.4,11.78,4.58,10.05,3.76,1.27,1.086
2,11,1.12,98770,24040,2932,1187.4,68240,187.3,18.81,690,2.13,34.53,45.8,12.12,4.53,10.03,4.07,1.204,1.063
2,12,1.27,96930,23950,2930,1152,67490,180.2,18.29,676,1.97,34,44.95,11.61,4.49,9.69,3.77,1.2,1.01
2,13,1.12,97220,24170,2936,1152.4,67690,176.1,17.89,669,1.95,33.7,51.6,12.09,4.71,10,4.18,1.37,1.082
2,14,1.28,96890,23940,2941,1157.3,67860,174.2,18.38,660,2.01,33.66,45,11.88,4.57,9.53,4.06,1.195,1.036
2,15,1.2,96970,24070,2944,1161.7,67880,183.7,18.5,663,1.93,34.16,44.9,11.97,4.57,9.87,3.98,1.192,1.017
2,16,1.14,97300,23990,2942,1175.6,68060,178.4,18.57,679,2.13,34.44,45.8,12.08,4.67,9.83,3.95,1.21,1.026
2,17,0.96,97630,24030,2960,1173.6,68300,179.9,18.77,678,2.09,33.34,44.9,12.39,4.49,9.72,4.1,1.272,1.052
2,18,1.1,97860,24180,2966,1175.9,68490,182,18.43,674,2,34.54,47.2,12.03,4.54,9.9,3.94,1.18,1.028
2,19,1.11,97560,24030,2952,1168.6,67940,179.7,18.67,665,2.08,34.03,46.4,11.78,4.78,9.96,3.93,1.28,1.009
2,20,0.95,98430,24100,2947,1177.7,68540,180.7,18.49,676,1.99,34.31,45.9,11.9,4.73,10.02,4.02,1.34,1.079
3,1,1.14,96910,24000,2936,1158.5,67930,181.6,18.19,671,1.95,33.27,44.15,12.16,4.5,9.68,3.65,1.088,1.069
3,2,1.21,97700,23840,2878,1172,67090,186.9,18.39,663,1.99,33.22,43.78,11.23,4.63,9.77,3.85,1.189,1.032
3,3,1.25,97100,23950,2950,1164.5,68190,181.6,18.27,658,2.04,33.97,47.5,11.53,4.53,9.72,4.17,1.3,0.992
3,4,0.99,97710,23780,2879,1175.2,66840,177.3,18.57,672,2.11,33.56,43.2,12.07,4.49,9.72,3.8,1.12,1.048
3,5,1.15,97800,23760,2840,1174,66050,173.5,18.19,660,1.92,32.9,41.76,11.83,4.31,9.55,3.66,1.128,1.058
4,1,1.39,100380,23350,2727,1205.9,64210,172.5,18.25,680,1.93,31.3,41.3,10.49,4.13,9.66,3.47,1.077,1.083
4,2,1.29,100030,23350,2754,1203,64700,175.8,18.23,671,2.17,31.8,40.4,11.06,4.31,9.49,3.54,1.121,1.095
4,3,1.71,99910,23310,2732,1204.2,64120,176.4,17.99,662,2.03,31.62,40.3,10.8,4.1,9.46,3.64,0.975,1.07
4,4,1.44,100420,23540,2742,1201.7,64130,174.8,18.3,674,2.04,32.03,41.07,11.23,4.12,9.63,3.67,1.15,1.105
4,5,1.54,99660,23190,2720,1202.2,64230,174.9,18.47,670,2.05,31.44,40.8,10.81,4.24,9.47,3.51,0.971,1.079
5,1,1.56,99950,23160,2713,1202.9,64780,171.2,18.15,664,2.07,32.32,41.2,10.72,4.21,9.59,3.58,1.014,1.053
5,2,1.67,100750,23550,2745,1209,64160,169.2,18.45,664,2.08,32.93,40.85,11.36,4.19,9.7,3.7,1.06,1.138
5,3,1.63,99540,23130,2691,1204.6,63750,174.7,18.2,665,2.16,31.29,39.71,10.8,4.13,9.47,3.48,1.008,1.112
5,4,1.69,100360,23180,2710,1209.8,63980,172.5,18.39,668,2.12,31.85,45.11,11.14,4.21,9.56,3.55,1.224,1.132
5,5,1.69,100500,23150,2703,1214,64130,174.9,18.37,665,2.13,31.93,39.47,11.43,4.2,9.59,3.42,1.06,1.086
6,1,1.47,100560,23360,2745,1204.3,64830,172.7,18.39,668,2.03,32.85,41.4,11.02,4.45,9.68,3.68,1.19,1.133
6,2,1.61,99750,23140,2760,1205.6,64870,171.9,18.17,674,2.25,32.02,40.8,11.25,4.43,9.48,3.84,1.17,1.065
6,3,1.34,100540,23250,2757,1215.8,64450,173.4,18.4,653,2.14,32.58,43.73,11.13,4.18,9.62,3.7,1.14,1.112
6,4,1.43,101210,23250,2726,1218.5,64230,179.1,17.78,681,2.09,32.51,42.7,11.06,4.34,9.59,3.73,1.27,1.097
6,5,1.65,100770,23250,2745,1213.4,64490,173.9,18.2,652,2.13,31.74,44.3,11.44,4.18,9.56,3.38,1.25,1.078
7,1,1.87,99790,23110,2686,1199,63950,163.1,17.87,660,2.13,31.23,41.4,11.14,3.97,9.62,3.36,1.18,1.088
7,2,1.37,100060,23310,2729,1199.5,64190,172.7,17.62,679,2.03,31.33,45.9,11.11,4.22,9.5,3.75,1.2,1.134
7,3,1.48,100220,23420,2722,1206.2,64210,177.3,17.89,660,2.08,32.07,40.43,10.53,4.02,9.57,3.37,1.092,1.099
7,4,1.49,99880,23210,2735,1200.5,64220,185.5,18.39,652,2.11,31.84,41.25,11.25,4.15,9.58,3.59,1.16,1.124
7,5,1.39,99780,23290,2756,1208.9,64800,172.3,18.22,681,2.05,32.27,41.1,10.43,4.2,9.58,3.64,1.06,1.094
8,1,1.22,100470,23280,2748,1210,64410,181.3,18.47,658,2.11,32.08,41.5,11.12,4.27,9.72,3.75,1.12,1.102
8,2,1.46,100650,23150,2728,1215,64390,174.5,18.05,673,2.04,31.97,41.9,11.76,4.37,9.75,3.74,1.053,1.094
8,3,1.41,101550,23340,2711,1223.1,63850,174.2,18.24,669,2.18,32.07,42.58,10.7,4.12,9.55,3.6,1.15,1.077
8,4,1.58,101500,23130,2715,1237,63620,176.6,18.3,676,2.1,31.96,42.2,11.35,4.36,9.65,3.44,1.05,1.087
8,5,1.35,100690,23060,2702,1219.7,64050,180.1,17.97,668,2.14,32.07,40.4,10.95,4.11,9.57,3.33,1.11,1.061
9,1,1.74,100790,23000,2705,1229.1,63470,171.5,18.21,659,2.12,32.39,39.2,11.02,4.13,9.53,3.35,0.99,1.105
9,2,1.48,101190,23260,2693,1225.6,63620,174.3,18.14,670,2.14,31.77,40,11.25,4.02,9.53,3.57,1.12,1.113
