Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.43,100440,23960,2914,1192.4,67180,179.6,18.17,674,1.92,33.53,47.97,11.83,4.52,9.76,3.83,1.26,1.09
1,2,1.28,100200,23940,2894,1193.2,67060,178.8,17.93,675,1.98,33.62,47.77,11.59,4.57,9.86,3.89,1.237,1.005
1,3,1.54,100800,23990,2891,1201.9,66630,174.8,18.21,666,2.02,33.28,45.07,11.33,4.62,9.83,3.91,1.188,1.059
1,4,1.69,100530,23790,2882,1198,66410,174.9,18.11,680,2.11,33.44,44.5,11.63,4.38,9.89,3.52,1.183,1.061
1,5,1.85,100470,24080,2908,1201,66910,181.6,18.12,672,2.04,34.07,47.8,11.67,4.53,9.87,3.95,1.27,1.053
2,1,1.46,99750,24150,2953,1195.1,67730,175,18.26,687,2.04,34.11,49.7,11.63,4.57,9.81,3.7,1.34,1.072
2,2,1.79,99230,23960,2939,1199.6,68030,172.7,18.72,674,2,33.77,50.6,11.63,4.58,9.76,3.78,1.34,1.058
2,3,1.68,100690,24310,2913,1213.1,67800,176.2,18.03,677,2.01,33.88,49.21,11.44,4.56,9.59,3.88,1.32,1.024
2,4,1.55,100890,24030,2914,1230.9,68010,178,18.05,669,2.12,34.05,49.5,11.76,4.57,9.87,3.76,1.33,1.075
2,5,1.64,100410,24030,2925,1216.2,68060,178.2,18.45,677,2.12,33.51,50.35,11.9,4.55,9.91,3.95,1.32,0.999
2,6,1.46,100320,24040,2920,1217.1,67650,180,18.2,669,2.06,33.75,50.8,11.34,4.59,9.82,3.74,1.285,1.045
2,7,1.55,100960,23930,2907,1228.1,68290,181.6,18.48,698,2.15,34.02,50.7,12.16,4.72,9.83,3.9,1.256,1.066
2,8,1.93,100590,23860,2884,1237.3,67570,180.1,18.27,669,2.05,33.42,50.6,12,4.59,9.7,3.86,1.302,1.038
2,9,1.91,100950,23810,2895,1221.8,67030,175.5,18.02,681,2.13,33.74,49.1,12.08,4.57,9.96,3.75,1.325,1.092
2,10,1.78,100780,23880,2897,1231,67810,180.3,18.71,678,2.01,33.91,49.6,11.98,4.56,9.64,4,1.37,1.084
2,11,1.9,100680,23900,2894,1243.4,68190,178.5,18.31,673,2.11,33.96,50.3,11.79,4.41,9.9,4.06,1.42,1.018
2,12,1.96,101340,23820,2911,1247.3,68240,166.9,17.86,672,2.03,34.4,50.19,11.86,4.62,9.86,3.95,1.32,1.097
2,13,1.86,101030,23630,2877,1246,67220,171.9,18.29,673,2.06,33.56,48.6,11.62,4.44,9.66,3.71,1.29,1.039
2,14,2.01,101050,23690,2871,1240.5,67850,183.8,18.62,686,2.1,33.81,49.34,11.98,4.56,9.9,4.05,1.288,1.091
2,15,1.54,100610,23930,2907,1225.5,68340,176.7,18.48,674,2.05,33.89,50.74,11.93,4.5,10.01,3.99,1.31,1.098
2,16,1.58,101030,23900,2903,1233,68450,180.7,18.47,678,2.14,34.04,49.9,11.72,4.3,9.85,4.05,1.376,1.086
2,17,1.73,101170,23870,2903,1249,68600,178.8,18.44,665,1.99,33.99,49.5,11.98,4.6,9.97,3.79,1.334,1.079
2,18,1.62,101330,23850,2893,1245.5,68610,177.5,18.37,669,2.15,33.71,48.69,12.89,4.67,9.93,4.19,1.23,1.089
2,19,1.42,100820,23960,2885,1239.1,68010,181.6,18.46,685,2,33.29,50.22,11.95,4.53,9.73,3.85,1.26,1.073
2,20,1.68,101090,23960,2900,1232,68160,179.9,18.55,676,2.08,34.17,48.9,11.68,4.57,9.9,3.8,1.27,1.066
3,1,1.41,97940,24180,2990,1206.6,69900,184.7,18.41,680,1.88,34.48,51.9,11.58,4.58,9.92,3.91,1.33,1.105
3,2,1.44,98760,24270,2986,1214.7,70090,181.2,18.57,682,2.03,34.84,48,11.51,4.52,9.8,4.02,1.279,1.109
3,3,1.47,98750,24190,2975,1212.8,69450,176.1,18.28,691,2.02,34.88,52.2,11.8,4.55,9.94,4.14,1.4,1.036
3,4,1.46,99330,24040,2979,1203.3,69320,182.7,18.45,679,2.13,34.28,50.9,11.7,4.71,9.72,4.03,1.36,1.086
3,5,1.49,98850,23830,2956,1221.8,69560,184.7,18.63,677,2.2,34.71,50.8,11.53,4.56,9.86,3.97,1.37,1.041
4,1,1.74,99080,23790,2889,1201,67560,181.1,18.23,651,2.1,33.08,48,11.77,4.52,9.78,3.9,1.26,1.054
4,2,1.67,99750,23860,2827,1217,66390,181.5,18.24,685,2.18,33.04,49.15,11.48,4.35,9.48,3.99,1.29,1.142
4,3,1.74,99420,23740,2870,1216.3,67460,173.1,18.49,657,1.98,32.94,49.15,11.83,4.51,9.65,3.82,1.33,1.111
4,4,1.76,100170,23600,2805,1224.8,66620,177.6,18.6,673,2.26,32.69,47.6,10.89,4.21,9.59,3.62,1.245,1.108
4,5,1.53,99580,23660,2849,1219.3,67000,178.2,17.76,674,2.11,33.33,47.76,11.61,4.32,9.75,3.88,1.24,1.097
5,1,1.52,99650,23730,2834,1213.4,66470,174.5,18.23,660,2.13,32.37,46.3,11.73,4.18,9.71,3.58,1.2,1.097
5,2,1.44,99540,23800,2872,1212.4,67580,177.3,18.43,671,2.04,33.17,48.1,11.53,4.58,9.76,3.91,1.37,1.085
5,3,1.87,100160,23530,2806,1214.5,66190,178.6,18.42,675,2.11,32.85,47.1,11.73,4.12,9.59,3.72,1.35,1.136
5,4,1.33,99990,23620,2874,1219.8,67130,176.8,18.39,674,2.1,33.25,49.2,10.56,4.46,9.72,3.69,1.3,1.13
5,5,1.74,100600,23590,2808,1216.5,65900,177.1,18.25,650,2.11,32.77,47.7,11.47,4.25,9.81,3.54,1.24,1.112
6,1,1.71,99410,23500,2797,1216,66030,174.2,18.35,669,2.12,32.58,42.4,11.29,4.22,9.41,3.66,1.17,1.106
6,2,1.64,99850,23420,2762,1220.1,65690,174.2,18.15,665,2.09,32.42,42.25,11.31,4.23,9.63,3.79,1.12,1.071
6,3,1.94,100850,23330,2747,1221.2,64780,172.1,18.08,660,2.09,32.06,41.9,11.17,4.16,9.63,3.64,1.11,1.037
6,4,1.93,99560,23580,2789,1215.7,65970,175.8,18.09,670,2.1,32.15,47,11.54,4.38,9.65,3.61,1.16,1.11
6,5,1.57,100100,23310,2761,1230.3,66080,176.7,18.26,668,2.14,32.47,45.3,11.37,4.25,9.8,3.75,1.194,1.104
7,1,2.05,101690,22880,2633,1242.6,62760,160.1,18.16,653,2.21,30.22,41.6,11.53,3.99,9.44,3.53,1.105,1.063
7,2,2.3,101670,22980,2668,1230.1,62970,170.2,18.28,662,2.11,31.31,43.6,10.94,4.27,9.51,3.46,1.2,1.129
7,3,1.83,102160,23060,2652,1239,63470,172.1,18.13,678,2.18,30.18,44.8,10.24,4.05,9.42,3.41,1.185,1.095
7,4,2,100750,23050,2671,1235.1,63550,163.5,17.69,682,2.07,31.22,44.6,10.89,4.04,9.41,3.58,1.23,1.088
7,5,1.81,100910,23110,2684,1233.1,63620,169.8,17.9,659,2.02,31.41,43.9,10.49,4.21,9.38,3.21,1.204,1.104
8,1,1.58,100880,23260,2699,1224.1,63910,173.1,17.8,682,2.16,31.77,42.7,11.1,4.02,9.36,3.39,1.21,1.132
8,2,1.88,101270,23210,2685,1231.5,63800,173.4,18,650,2.06,31.93,41.88,11.22,4.12,9.61,3.55,1.14,1.118
8,3,1.7,101360,23220,2692,1224.2,63780,170.1,17.79,670,1.97,31.25,42.8,11.37,4.13,9.74,3.59,1.066,1.154
8,4,1.67,101370,23090,2678,1226.3,63590,165.9,18.32,652,2.1,31.4,40.13,11.04,3.98,9.59,3.6,1.18,1.09
8,5,1.74,101260,23130,2693,1234.9,63950,168.6,18.29,660,2,31.19,43.4,10.51,4.04,9.63,3.56,1.21,1.125
9,1,1.74,100970,23130,2701,1225.4,64040,168.3,18.3,665,2.12,31.64,45.6,11.38,4.09,9.59,3.6,1.16,1.129
9,2,1.68,101510,23160,2708,1238.7,64200,169.5,18.16,676,2.05,31.11,44.4,11.47,4.13,9.6,3.3,1.13,1.127
9,3,1.88,102230,23090,2679,1245.3,63660,167.3,18.1,657,2.08,31.23,43.9,10.36,4.04,9.59,3.8,1.109,1.08
9,4,1.66,101740,23060,2717,1246.7,64370,170.4,18.25,666,2.1,32.03,43.3,11.46,4.18,9.49,3.33,1.17,1.122
9,5,1.29,101380,23210,2720,1234.4,64510,171.7,18.1,665,2.16,32.22,45.1,11.29,4.12,9.55,3.34,1.14,1.106
10,1,1.53,101590,23200,2709,1235.7,63720,172.7,18.01,677,2.08,31.61,45.9,10.82,4.14,9.42,3.58,1.12,1.136
10,2,1.98,102120,23060,2704,1248.8,63960,173.6,17.96,671,2.05,31.65,43.2,11.5,4.11,9.59,3.74,1.18,1.166
10,3,1.93,102170,22930,2687,1231.9,63900,169.8,17.85,657,2.01,31.15,45.45,11.17,4.08,9.49,3.29,1.3,1.113
10,4,2.01,101640,22920,2677,1240.4,63040,163,17.74,674,2.09,30.7,44.1,10.45,4.06,9.4,3.56,1.2,1.074
10,5,1.69,101590,22900,2691,1239.3,63420,177.9,18.13,658,2.06,31.17,42.8,10.8,3.95,9.7,3.31,1.091,1.11
11,1,1.4,101200,23020,2725,1225.3,63920,173.8,18.05,664,2.13,31.02,45.8,10.96,4.21,9.44,3.35,1.12,1.067
11,2,1.84,102340,23160,2715,1232.2,64040,170,18.6,665,2.13,31.28,45.8,11.28,4.1,9.77,3.53,1.18,1.105
