Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.2,99910,24130,2918,1207.9,67330,175,18.29,667,1.99,32.62,41.8,11.47,4.31,9.49,3.86,1.11,1.035
1,2,1.22,100020,24130,2918,1208.8,67660,173.1,18.1,695,2.19,33.53,43,11.63,4.37,9.62,3.87,1.17,1.045
1,3,1.47,100410,24220,2915,1211,67710,177.4,18.62,665,1.97,32.84,40.9,11.34,4.26,9.62,3.82,1.15,1.042
1,4,1.47,100830,24210,2908,1230.3,66970,172.1,18.14,674,2.07,32.7,41.3,11.59,4.35,9.67,3.52,1.06,1.012
1,5,1.34,100120,24080,2884,1219,67460,168.7,18.07,663,2.11,32.38,41.4,11.26,4.21,9.67,3.76,1.14,1.046
2,1,1.56,100820,23640,2814,1212.9,65860,173.7,18.85,668,2.1,32.21,39.8,11.39,4.22,9.56,3.85,1.01,1.043
2,2,1.89,101360,23720,2804,1235.7,65310,171,17.87,660,2.1,31.71,43.7,11.5,4.24,9.72,3.51,1.1,1.069
2,3,1.2,101600,23580,2775,1236.1,64730,164.6,18.2,658,2.05,31.52,39.26,10.96,4.06,9.59,3.62,1.035,1.069
2,4,1.78,102210,23690,2766,1247,64230,171.3,18.03,681,2.13,32.12,39.1,10.73,4.11,9.52,3.56,1.014,1.032
2,5,1.85,101300,23520,2738,1238,64570,165.4,18.29,660,1.89,31.27,38.4,10.13,4.02,9.62,3.19,0.98,1.094
2,6,1.83,101490,23450,2708,1245,64130,170.4,18.16,655,2.09,30.64,38.2,11.21,4.15,9.47,3.56,1.01,1.042
2,7,1.81,102310,23480,2717,1263.8,64330,175.2,17.96,691,2.07,31.28,38.34,10.07,4.12,9.53,3.74,1.09,1.102
2,8,1.89,102850,23410,2699,1260,63860,164,18.27,682,2.11,31.09,38.42,10.98,4.15,9.76,3.48,0.99,1.11
2,9,1.52,102310,23330,2737,1239.5,63920,163.8,18.05,668,2.07,31.55,40.7,10.72,4.08,9.88,3.53,1.06,1.159
2,10,1.79,102850,23660,2764,1249.2,64570,167.3,18.3,669,2.08,32.11,41.1,11.12,4.3,9.93,3.67,1.03,1.123
2,11,1.59,102170,23680,2813,1243,65590,176.4,17.96,653,2.26,32.43,40.8,11.7,4.25,9.97,3.6,1.05,1.126
2,12,1.62,100030,23640,2859,1228.6,66180,172.9,17.95,652,2.2,32.86,41.4,11.25,4.56,10.02,3.83,1.1,1
2,13,1.47,100130,23630,2832,1235.9,65860,180.9,18.33,647,2.09,32.74,42.2,11.12,4.48,9.7,3.8,1.13,1.078
2,14,1.66,100900,23510,2807,1245.8,65970,170.8,17.87,654,2.01,32.92,40.7,11.19,4.32,9.91,3.83,1.07,1.05
2,15,1.41,101230,23500,2776,1240.6,65370,176.3,18.11,653,2.04,32.74,39.9,11.93,4.31,9.92,3.81,0.95,1.069
2,16,1.99,101100,23350,2724,1255.3,64610,171.7,18.31,671,2.12,31.54,39.3,10.95,4.31,9.83,3.61,1.08,1.099
2,17,2.36,101610,23350,2726,1255,64520,179,18.01,665,2.02,31.74,40.7,11.08,4.11,9.85,3.75,1.09,1.102
2,18,1.69,102480,23310,2690,1252.4,63660,160.3,18.03,671,2.14,32.06,39.1,10.78,4.16,9.65,3.43,1.03,1.182
2,19,1.97,101770,22950,2658,1253.5,63370,169,18.33,668,2.21,31.24,37.5,10.48,4.01,9.55,3.5,1.07,1.06
2,20,2.03,102100,22870,2661,1264.5,63010,167.4,18.55,672,2.09,31.82,39.2,11.28,3.78,9.68,3.29,1,1.108
3,1,2.4,101270,23350,2703,1251.6,63780,177.8,18.17,669,2.14,32.1,41.3,10.66,4.01,9.75,3.58,1.01,1.157
3,2,2.35,102110,23210,2677,1252.6,63260,166.6,17.77,647,2.08,31.26,39.9,11.53,4.03,9.76,3.52,1.06,1.097
3,3,2.09,102460,23080,2654,1263,62910,168.5,18.14,678,1.99,31.34,37,10.18,4.03,9.79,3.5,0.95,1.162
3,4,1.48,102180,23230,2704,1256.2,63600,170.7,18.01,679,2.18,31.44,38.2,11.39,4.11,9.58,3.72,1.1,1.17
3,5,1.83,102080,23110,2673,1248.3,63390,171,17.75,680,2.02,31.79,39.8,10.91,4.03,9.65,3.47,0.94,1.12
4,1,1.94,102210,23340,2698,1247.3,63420,165.1,18.24,655,2.13,31.46,39.6,10.96,4.22,9.6,3.55,1.1,1.118
4,2,1.69,102380,23320,2692,1239.4,63440,167.9,17.75,666,2,31.92,38.2,11.48,4.28,9.76,3.35,1.11,1.091
4,3,1.33,102220,23200,2697,1246.5,63650,173,17.88,659,2.03,32.26,39.6,11.12,4.14,9.63,3.57,1.15,1.083
4,4,1.55,101920,23250,2730,1243.3,63800,169.2,18.03,680,2.11,31.94,40.6,10.78,4.14,9.61,3.62,1.04,1.115
4,5,1.58,101530,23220,2714,1233,63710,169.2,18.07,683,2.07,31.64,41.6,11.92,4.18,9.61,3.67,1.24,1.135
5,1,1.51,98410,23820,2896,1209,67880,181.3,18.19,663,2.08,33.16,43.1,11.42,4.41,9.91,3.78,1.11,1.053
5,2,1.44,98800,23850,2909,1202.5,67390,174.6,18.05,658,2.03,33.51,42.9,12.06,4.46,9.95,3.69,1.02,1.006
5,3,1.2,98690,23850,2923,1209.1,67960,174.6,18.77,656,1.88,34.03,42.2,11.78,4.48,9.91,3.83,1.12,1.025
5,4,1.38,98450,23960,2926,1208.6,67780,172.5,18.55,669,2.11,33.32,43.5,12.67,4.61,10.03,4.01,1.3,0.997
5,5,1.78,98910,24170,2953,1207.4,67780,176,18.28,689,2.04,33.97,42.5,11.71,4.51,10.04,3.78,1.23,1.073
6,1,1.55,98680,23930,2885,1207.2,67530,185.3,18.9,670,2,32.97,41.8,11.67,4.35,9.97,3.68,1.15,1.066
6,2,1.99,98950,23700,2839,1225.3,66660,183,18.09,663,2.11,32.39,42.4,11.48,4.39,9.79,3.95,1.08,1.1
6,3,1.43,100280,23810,2856,1229.6,66620,176.9,18.44,663,2.01,33.05,44.9,11.71,4.44,9.92,3.79,1.15,1.052
6,4,1.41,99520,23590,2841,1234.6,66920,188,18.4,663,2.09,32.77,42.7,11.1,4.47,9.74,3.86,1.15,1.024
6,5,1.23,99570,23790,2876,1213.7,67300,169.4,18.05,662,2.08,33.14,41.9,11.7,4.44,9.89,3.75,1.1,1.053
7,1,1.74,103270,23160,2646,1259.6,62960,173.7,17.88,658,2.07,30.55,38.7,10.52,4.16,9.75,3.66,0.96,1.098
7,2,1.69,102970,22870,2630,1259,62370,166.6,18.31,678,2.08,31,36.6,10.64,3.96,9.69,3.3,1.02,1.097
7,3,1.71,104100,22910,2619,1277,62600,172.3,18.29,676,2.33,30.51,37.5,10.45,4.19,9.45,3.73,1.02,1.123
7,4,2.07,103680,22920,2615,1268.9,62740,174.3,17.74,653,2.21,31.1,37.7,10.83,4.07,9.53,3.56,1.11,1.125
7,5,1.94,103730,23110,2645,1275,62510,173.7,18.15,665,1.99,31.03,38.4,11.29,4.01,9.48,3.61,1,1.149
8,1,1.72,102660,23100,2621,1248.4,62470,171.6,17.52,676,2.17,31.43,38.8,10.97,4.1,9.53,3.36,1.03,1.048
8,2,2.26,102840,22950,2639,1256.1,62510,162.2,17.83,670,1.91,30.98,38,10.86,4.25,9.75,3.33,0.92,1.132
8,3,1.93,103170,23090,2635,1276,62620,171.6,17.95,679,2.14,30.72,38.3,10.5,4.06,9.57,3.51,1.04,1.135
8,4,1.45,102840,23020,2640,1260.4,62580,164.4,17.96,685,2.13,30.37,38.9,11.63,4.19,9.66,3.47,1,1.082
8,5,1.66,103270,22940,2655,1256,62580,167.8,17.93,667,2.06,31.1,40.4,10.73,4.04,9.26,3.32,1.03,1.037
9,1,1.86,101750,22910,2632,1248.7,62390,167.9,18.1,668,2.22,30.41,38.3,10.79,3.94,9.35,3.31,0.95,1.083
9,2,1.55,102190,23040,2642,1259.4,62790,174.7,18.59,652,2.24,31.17,37.9,10.78,4.06,9.6,3.57,1.06,1.13
9,3,1.78,102680,22880,2642,1258.3,62930,169.9,18.37,671,2.07,30.37,39.4,10.63,4.12,9.61,3.6,1.03,1.042
9,4,1.61,102980,23220,2661,1242.7,62480,164.4,17.48,662,2.16,30.34,40.9,10.94,4.15,9.58,3.5,0.99,1.065
9,5,2.04,101820,22940,2614,1242.1,61910,166.3,17.3,651,2.22,30.08,36.59,10.75,3.95,9.61,3.37,0.92,1.031
10,1,1.84,102590,23110,2657,1236.9,62460,171.6,17.91,672,2,31.43,39.1,10.73,4.18,9.22,3.56,1.09,1.148
