Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.36,99560,23600,2803,1169.5,65280,168.4,18.12,677,2.01,32.06,44.96,10.51,4.31,9.59,3.55,1.205,0.993
1,2,1.43,100410,23560,2763,1174.2,64090,171.9,18.19,689,2.02,31.82,42.89,11.13,4.24,9.63,3.61,1.195,1.071
1,3,1.46,99660,23690,2790,1171.4,64810,177,17.94,670,2,31.76,44.13,10.89,4.23,9.77,3.73,1.204,1.016
1,4,1.4,99880,23420,2750,1189.9,64610,180.1,18.23,681,2,31.87,42.77,10.76,4.22,9.69,3.54,1.178,1.057
1,5,1.38,99920,23440,2758,1189.2,64690,173.7,18.38,689,1.906,31.6,41.39,10.86,4.3,9.51,3.77,1.014,1.041
2,1,1.39,98770,23760,2834,1177.5,65290,175.1,18.17,686,2.07,32.34,45.46,11.25,4.4,9.66,3.73,1.142,1.082
2,2,1.22,99110,23570,2796,1183.2,65500,180,18.2,676,2.14,32.91,44.2,11.41,4.35,9.95,3.54,1.168,1.123
2,3,1.55,99020,23450,2775,1190.3,65050,178,18.37,681,2.05,31.87,41.19,11.08,4.38,9.65,3.66,1.055,1.069
2,4,1.46,99930,23630,2801,1198.3,65490,176.9,18.41,686,2.03,32.74,44.6,11.3,4.28,9.8,3.74,1.154,1.081
2,5,1.33,99640,23310,2775,1191.5,65200,176.5,18.18,685,2.13,32.64,45.26,10.96,4.28,9.76,3.73,1.136,1.083
2,6,1.36,99890,23350,2696,1196.1,63680,177.7,18.18,675,1.93,31.41,42.4,11.07,4.17,9.69,3.52,1.076,1.113
2,7,1.44,100150,23410,2709,1204.3,64160,177.8,18.41,678,2.03,31.37,43.5,11.24,4.16,9.86,3.56,1.174,1.029
2,8,1.59,99380,23510,2744,1189,64020,177.6,18.34,690,2.12,31.67,44.21,10.95,4.08,9.68,3.58,1.143,1.061
2,9,1.52,99520,23370,2716,1195.7,64600,176.1,18.44,678,2.161,31.29,42.98,11.05,4.21,9.77,3.56,1.118,1.065
2,10,1.84,100860,23440,2717,1207.3,64040,175.7,18.44,664,2.02,31.43,41.69,10.86,4.29,9.83,3.48,1.136,1.054
2,11,1.34,98050,23830,2874,1178.4,67090,177,18.46,675,2.09,33.04,42.22,11.3,4.52,9.85,3.77,1.089,1.079
2,12,1.12,98610,23960,2875,1185.5,66920,179.8,18.76,689,1.94,32.62,43.97,11.11,4.55,9.94,3.75,1.161,1.032
2,13,1.52,97650,23800,2848,1182.1,66640,180.7,18.45,684,2.06,32.86,44.68,11.54,4.63,9.81,3.84,1.178,1.016
2,14,1.42,98420,23750,2836,1186.7,66570,172.7,18.49,679,2.11,32.93,41.58,11.1,4.41,9.9,3.89,1.089,1.039
2,15,1.58,99550,24060,2853,1191.3,66910,182.2,18.59,678,2.13,33.07,42.88,11.63,4.43,10,3.77,1.118,1.088
2,16,1.44,98520,23910,2905,1185.1,67620,173.3,18.76,685,1.96,33.62,44.4,11.6,4.54,10.08,3.77,1.207,1.081
2,17,1.28,97270,23700,2886,1180,67600,180.5,18.47,676,2.13,33.43,44.8,11.52,4.49,9.93,3.94,1.205,1.06
2,18,1.44,97830,23670,2877,1175.9,67400,179.8,18.55,680,2.14,33.67,44.82,11.43,4.56,10.15,4,1.211,1.078
2,19,1.37,98600,23860,2873,1195,67590,183.4,18.5,685,2.05,33.59,44,12.03,4.6,9.95,3.78,1.222,1.065
2,20,1.39,100340,23820,2872,1212,66780,179.2,18.69,694,2.14,33.7,45.8,11.74,4.39,10.15,3.93,1.259,1.061
3,1,1.41,98910,24050,2899,1186.2,67460,182.9,18.58,687,1.95,33.44,43.8,12.17,4.63,10.09,3.88,1.217,1.066
3,2,1.52,98580,23920,2885,1190,68260,184.7,19.14,680,2.13,33.76,46,11.64,4.46,9.97,3.86,1.16,1.056
3,3,1.56,98440,23970,2901,1186,68050,178.3,18.6,687,2.01,33.84,46.12,11,4.49,10.02,4.03,1.213,1.046
3,4,1.23,97660,23840,2896,1171,67670,179.3,18.59,681,2.06,33.55,45.52,11.18,4.69,10.08,3.6,1.162,1.056
3,5,1.16,98140,23910,2895,1188.9,67670,182.7,18.69,682,1.96,33.79,45.34,11.82,4.64,10.02,3.8,1.214,1.05
