Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,0.98,100810,23980,2849,1166,64440,176.9,18.86,679,2.29,32.23,40.2,11.6,4.5,9.57,3.35,1.2,1.084
1,2,0.99,102900,24240,2833,1190,63740,162,18.45,690,2.69,32.01,37.7,12.4,4.45,10.07,3.83,1.05,1.13
1,3,1.12,102000,23370,2728,1208,62170,174,18.32,691,2.41,31.01,37.5,10.84,4.22,9.94,3.66,1.08,1.063
1,4,1.14,101200,23370,2735,1161,62520,166.2,18.55,677,1.88,30.45,36.2,11.11,4.16,9.7,3.6,1.05,1.013
1,5,1.29,102600,23680,2718,1221,62710,158,18.58,673,1.65,31.2,37.3,10.62,4.31,9.43,3.39,0.97,1.083
2,1,1.5,102100,23580,2689,1207,62130,163,18.56,666,2.11,30.73,38.4,10.23,4.13,9.57,3.33,0.98,1.035
2,2,1.53,102700,23180,2671,1212,61280,158.8,19.14,683,2.41,30.8,36.1,11.21,4.05,9.53,3.86,0.94,1.11
2,3,1.47,103500,23300,2691,1235,62260,165.6,18.82,685,1.81,30.65,36.5,10.58,4.29,9.81,3.05,0.94,1.065
2,4,1.26,101600,23100,2628,1242,61090,170.2,18.43,661,2.56,30.84,34.5,11.25,4.11,9.75,3.68,0.95,1.022
2,5,1.77,103300,23040,2633,1255,61790,164.6,18.54,680,2.2,31.15,34.8,10.21,4.06,9.7,3.42,0.94,1.016
2,6,1.53,103800,23110,2635,1269,62070,167.2,18.08,675,2.5,30.85,35.8,11.1,4.13,9.62,3.75,1.04,1.113
2,7,1.52,102200,23010,2661,1246,62060,167.7,18.06,661,2.1,29.42,33.7,10.42,4.13,9.54,3.37,0.89,1.035
2,8,1.4,102100,22910,2617,1267,61650,169.6,18.18,658,2.21,30.32,33.6,9.19,4.15,9.6,3.49,0.93,1.083
2,9,1.74,103100,22990,2659,1264,62410,165.9,18.35,712,2.13,30.86,34.2,10.33,4.02,9.63,3.7,0.92,1.062
2,10,1.61,101800,23010,2652,1221,62120,166.9,18.3,661,1.91,30.42,35.7,11.05,4.23,9.46,3.1,0.82,1.091
2,11,1.43,102400,23170,2644,1241,62740,170,18.73,667,2.02,30.21,34.9,10.67,4.24,9.82,3.49,0.94,0.986
2,12,1.75,101800,22870,2649,1240,61530,167.9,17.75,696,2.19,29.94,34.3,10.13,4.09,9.48,3.32,1.02,1.002
2,13,1.6,101000,22770,2616,1254,62230,169,18.46,695,2.08,30.37,36.4,11.29,3.93,9.31,3.46,1.02,1.076
2,14,1.74,102000,22770,2623,1268,61400,165.2,18.51,670,2.22,30.79,33.8,10.15,4.07,9.44,3.55,0.93,1.06
2,15,1.45,102600,22870,2642,1271,61850,175,18.22,677,2.22,30.24,37.4,10.86,4.13,9.66,3.79,1.05,0.984
2,16,1.53,101300,22860,2637,1228,62790,170,18.23,659,2.13,30.64,34.3,11.01,4.16,9.42,3.25,1.03,1.058
2,17,1.51,101300,22800,2614,1258,61460,163.1,18.2,654,2.26,30.86,34.3,11.36,4.11,9.43,3.25,0.98,1.077
2,18,1.4,101900,22850,2637,1245,61960,171.9,18.31,667,2.26,30.42,34.3,11,4.03,9.47,3.71,0.88,1.097
2,19,1.6,101900,22590,2605,1272,61610,163.1,17.94,667,2.24,30.61,35.3,9.76,3.91,9.48,3.28,0.84,1.058
2,20,1.67,103000,22980,2614,1289,61750,174,17.8,684,2.33,30.22,36,10.63,4.13,9.25,3.38,0.93,1.105
3,1,1.21,98500,23430,2796,1206,65060,176.9,18.41,651,2.24,31.95,41,11.8,4.1,9.9,3.42,1.05,1.052
3,2,1.32,100320,23540,2765,1213,64940,168.1,18.59,659,2.18,31.8,37.4,12.1,4.36,9.84,3.73,0.97,1.003
3,3,1.16,98800,23350,2770,1210,65000,182,18.4,674,2.18,31.41,37.1,11.01,4.16,9.5,3.84,1.15,1.01
3,4,1.17,99380,23590,2804,1210,65290,176.8,18.12,675,2.21,32.08,40.6,11.82,4.34,9.75,3.61,1.09,1.043
3,5,1.34,100100,23370,2732,1235,64760,159.3,18.33,671,2.1,31.04,39.1,10.19,4.39,9.82,3.53,0.92,1.062
4,1,0.85,98400,23530,2848,1183,65390,176.7,18.12,679,1.93,32.42,42.7,11.26,4.28,9.73,3.97,0.98,0.947
4,2,0.68,98210,23730,2840,1196,66080,175,17.94,655,2.14,32.93,43.1,11.74,4.64,9.78,4.03,1.1,1.009
4,3,1.01,98700,23510,2830,1206,65640,169,18.62,665,2.21,33.06,42.6,10.7,4.53,9.82,3.86,1.06,0.994
4,4,0.85,96970,23470,2828,1198,66340,184.3,18.14,675,2.02,32.12,39.1,11.45,4.34,9.67,3.9,0.95,0.993
4,5,1.03,98800,23570,2819,1200,65880,179.3,18.8,671,2.22,31.51,36.8,10.73,4.37,9.7,3.74,0.89,1.015
5,1,1.26,100400,23400,2767,1225,64120,181.8,18.84,664,2.16,31.93,36.8,11.16,4.27,9.64,3.49,0.82,1.059
5,2,1.5,101280,23150,2687,1247,63560,174,18.26,662,2.19,31.18,35.3,9.81,4.31,9.43,3.62,1.04,1.074
5,3,1.33,101400,23370,2717,1251,63970,170,17.87,658,2.12,30.86,36.7,10.51,4.1,9.73,3.58,0.91,1.057
5,4,1.16,100200,23090,2707,1229,63210,163.3,18.34,668,1.98,30.86,35.8,10.1,4.29,9.76,3.41,0.93,1.069
5,5,1.11,100900,23360,2745,1238,64670,166.6,17.94,660,1.97,31.15,35.7,11.51,4.24,9.57,3.57,1,1.082
6,1,1.73,101900,22810,2635,1257,61800,157.4,17.51,641,2.1,29.6,34.9,9.74,3.98,9.57,3.59,0.9,1.055
6,2,1.39,102100,22900,2619,1254,61910,169,18.39,656,2.39,29.95,33.6,10.47,3.89,9.47,3.49,0.93,1.093
6,3,1.65,102300,22840,2617,1306,62310,171,18.16,649,2.18,29.84,34.3,10.75,4.08,9.5,3.5,0.84,1.053
6,4,1.7,101900,22780,2620,1278,61970,175,18.05,690,2.35,29.82,35,10.71,4.03,9.95,3.32,0.98,1.066
6,5,1.65,101900,22740,2625,1249,62770,167.1,18.5,664,2.22,30.83,36.4,10.64,4.16,9.81,3.49,0.88,1.019
7,1,1.69,99470,23000,2674,1207,62520,169,18.22,666,2.16,30.37,35.3,9.89,3.96,9.72,3.75,0.96,0.996
7,2,1.55,100500,22860,2648,1215,62740,169,18.51,638,2.46,30.07,35.1,11,4.25,9.34,3.35,0.91,1.089
7,3,1.49,102000,23020,2671,1245,62960,167.1,18.02,685,2.23,30.85,36.6,10.33,4.08,9.82,3.94,1.04,1.097
7,4,1.27,100170,23140,2665,1206,63320,166.3,18.04,652,2.11,31.11,37.1,11.46,4.21,9.5,3.06,0.88,1.051
7,5,1.44,99990,22880,2676,1213,62970,164.6,18.34,646,2.41,29.78,40,11,4.26,9.36,3.39,0.97,0.986
8,1,1.51,100550,23030,2687,1211,62990,175,18.33,652,2.26,30.88,37,10.18,4.24,9.72,3.42,0.95,1.061
8,2,1.47,101500,22860,2661,1219,62390,169.9,18.29,627,2.08,31.92,36.7,11.22,4.15,9.59,3.56,0.98,1.128
8,3,1.43,101200,22940,2667,1245,63420,172,18.02,655,2.31,30.32,35.3,10.87,4.21,9.59,3.62,1.02,1.031
8,4,1.43,99670,22730,2675,1214,62650,166,18.07,644,2.13,30.73,36.6,10.16,3.88,9.25,3.53,0.88,0.996
8,5,1.33,101600,23000,2693,1239,63830,160.9,18.11,662,1.92,30.69,35.9,11.34,4.05,9.79,3.55,0.97,1.007
9,1,1.73,102000,23090,2661,1226,62690,161.9,18.16,643,1.96,30.8,37.1,10.51,4.19,9.77,3.42,0.95,1.054
9,2,1.57,101070,23170,2687,1221,62970,167.1,18.4,641,1.91,30.58,35.2,12.1,3.98,9.77,3.28,0.86,1.077
9,3,1.38,101400,22830,2641,1245,62220,169,18.38,646,2,29.95,35.4,11.4,4,9.5,3.68,0.92,0.98
9,4,1.36,101730,23100,2662,1239,62770,169,18.74,623,2.37,31.19,34.1,11.06,4.1,9.71,3.81,0.98,1.104
9,5,1.52,101300,22900,2654,1243,62500,171.8,18.39,655,2,30.68,34.6,10.6,4.02,9.67,3.5,1.02,1.066
10,1,1.75,101640,23340,2712,1205,63950,172.3,18.72,656,2.02,30.87,37.4,11.31,4.15,9.5,3.52,0.89,1.152
10,2,1.51,100680,23340,2697,1236,63990,178,18.56,653,2.14,30.92,36.5,10.97,4.43,9.73,3.42,0.93,1.06
10,3,1.52,101620,23310,2694,1249,63520,165.5,18.86,675,1.96,30.7,36.1,10.24,4.33,9.66,3.42,0.93,1.061
10,4,1.54,101960,23410,2664,1251,63540,170.5,18.53,656,2.3,31.2,36,10.99,4.16,9.6,3.73,0.9,1.166
10,5,1.42,101300,23030,2666,1250,63580,162,17.76,649,2.02,31.05,35.4,9.55,4.47,9.69,3.56,1.06,1.11
11,1,1.53,100820,23170,2681,1212,63250,174,18.31,657,2.06,30.49,38.1,9.63,3.78,9.28,3.21,1.07,1.017
11,2,1.33,100480,23050,2704,1211,63570,169,18.01,667,2.28,30.62,37.8,11.05,4.12,9.65,3.13,1.01,1.037
11,3,1.47,100700,22980,2673,1222,63570,180,18.04,647,2.08,30.73,36.1,10.17,4.23,9.55,3.33,0.96,1.066
11,4,1.38,101560,23150,2698,1233,63680,176.2,17.85,661,1.83,31.34,34.5,11.33,4.01,9.95,3.36,0.96,1.042
11,5,1.56,100710,23320,2700,1199,63730,166.1,18.74,648,2.07,30.59,36.5,11.32,4.09,9.79,3.6,1.06,1.105
12,1,1.64,101500,23200,2677,1229,63410,171.9,17.86,669,1.94,31.26,38.7,11.6,4.18,9.45,3.47,0.99,1.062
12,2,1.44,100800,22960,2667,1227,62680,181,17.81,652,2.1,30.3,38.8,10.74,4.09,9.58,3.52,1.01,1.122
12,3,1.5,101400,22850,2661,1245,63300,161,18.11,640,2.06,30.41,36.2,10.06,4.06,9.63,3.67,0.9,1.056
12,4,1.54,102000,22850,2628,1251,62530,176.7,18.46,649,2.2,29.86,36.1,10.82,4.02,9.8,3.4,0.89,1.044
12,5,1.51,102500,22680,2601,1246,62290,175,17.9,640,2.17,30.98,37.4,10.68,4.07,9.5,3.13,1.02,1.126
13,1,0.57,95710,23820,2936,1155,67790,185,18.17,643,1.9,32.71,44.5,10.73,4.32,9.67,3.9,1.13,0.974
13,2,0.58,97120,23860,2944,1158,68300,191,17.94,651,1.99,33.34,44,10.91,4.52,9.66,3.72,1.24,1.076
13,3,0.58,96590,23570,2901,1168,66660,179,18.3,671,2.1,32.49,42,11.91,4.49,9.52,3.34,1.26,0.974
13,4,0.72,97860,23770,2884,1179,66890,180.1,18.35,665,2.06,32.67,41.4,11.3,4.29,9.42,3.66,1.07,0.983
13,5,0.69,96650,23690,2862,1195,66350,177,18.16,675,1.94,32.9,42.7,11.23,4.18,9.36,3.7,1.07,0.988
14,1,0.62,97250,24210,2984,1170,68160,181.5,18.18,655,1.98,33.73,41.6,12.51,4.57,10.02,3.72,0.96,1.048
14,2,0.54,97230,24180,2953,1172,67920,188,18.43,644,1.94,33.27,40.8,12.1,4.52,10.09,4,0.96,0.991
14,3,0.5,96360,23940,2947,1163,68330,178.5,18.06,639,2.11,32.46,38.2,11.4,4.52,9.97,3.91,0.83,0.992
14,4,0.58,97400,23920,2912,1183,68070,177,18.14,625,2.02,33.14,38.7,11.4,4.78,9.69,3.87,1.15,0.981
14,5,0.49,98500,23970,2929,1188,68030,180.4,18.53,671,1.9,33.34,40.1,11.28,4.8,10.32,3.61,1.02,0.986
14,6,0.56,97200,23730,2901,1174,67090,175.6,18.47,646,1.85,32.9,40.2,11.6,4.58,9.9,4.17,1.03,0.95
14,7,0.59,97310,23840,2892,1187,66360,179,18.57,671,2.11,33.25,39.3,11.63,4.43,9.8,4.25,1.02,1.092
14,8,0.64,98100,23960,2905,1198,67600,188.2,18.37,676,1.94,33.28,39.7,11.04,4.45,9.65,3.73,1.05,0.933
14,9,0.62,96670,23700,2891,1198,67900,175.9,17.99,663,2.01,32.22,40.3,11.23,4.71,9.62,3.52,1.13,1.024
14,10,0.415,96130,24010,2937,1173,68420,170,17.84,667,1.97,33.82,42.9,11,4.87,10.16,3.72,1.16,0.945
14,11,0.63,96650,23890,2920,1177,67650,181,18.81,686,2.06,32.88,40.1,10.9,4.64,9.79,3.98,1.07,0.997
14,12,0.51,96980,23890,2918,1179,67400,182,18.51,668,2.08,32.64,39.8,11.31,4.42,9.72,3.91,1.08,1.007
14,13,0.63,97230,23950,2923,1175,67520,173,18.29,653,2.05,33.48,45.6,11.9,4.43,9.97,3.93,1.24,1.035
14,14,0.455,97520,23880,2915,1185,67210,182,19.19,657,2.11,33.26,45.4,11.4,4.62,10.15,3.86,1.24,1.007
14,15,0.61,97350,23750,2936,1162,67690,180,18.55,658,2.13,33.27,42.1,10.9,4.58,10.02,3.49,1.06,1.043
14,16,0.63,96990,23810,2900,1176,67810,178.5,18.55,665,2.08,33.17,40.1,11.85,4.65,10.07,3.55,1.01,0.946
14,17,0.6,97300,24030,2909,1174,67510,181,18.38,680,2.12,33.68,40.1,10.83,4.49,9.8,3.58,1.16,1.039
14,18,0.6,97210,23910,2944,1178,67700,178,18.83,667,1.94,32.33,39.9,12.02,4.49,10.02,4.24,1.03,0.964
