Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.28,103520,23100,2762,1249.5,63120,166,18.34,677,2.126,30.61,38.65,10.64,4.19,9.45,3.4,1.027,1.11
1,2,1.61,103940,23110,2760,1255.5,62710,165.1,18.47,673,2.167,30.38,36,10.87,4.166,9.42,3.5,0.935,1.114
1,3,1.92,104240,23140,2759,1261.3,63230,167.3,18.4,674,2.151,30.93,37.09,10.78,4.26,9.66,3.65,0.934,1.073
1,4,1.91,103250,23070,2783,1255.8,63330,168.5,18.36,672,2.131,30.86,35.94,10.79,4.314,9.57,3.48,0.911,1.03
1,5,2.28,103840,23080,2793,1264.8,63100,170,18.32,674,2.102,30.62,37.5,10.67,4.22,9.56,3.36,0.959,1.132
2,1,2.24,102810,23030,2740,1250.5,62700,166.5,18.48,682,2.187,30.24,35.69,10.48,4.147,9.43,3.51,0.95,1.059
2,2,2.09,103070,23050,2728,1251.8,62420,162.4,18.15,668,2.102,30.11,35.76,10.57,4.242,9.62,3.62,0.926,1.068
2,3,1.76,103110,23040,2726,1260.8,62790,168.9,18.26,669,2.171,30.27,35.74,10.59,4.18,9.47,3.46,0.986,1.107
2,4,2.12,103410,23050,2705,1254.5,62580,166.1,18.56,690,2.099,31.19,36.17,10.66,4.12,9.72,3.43,0.971,1.132
2,5,2.07,103270,23050,2720,1262.2,62660,164.6,18.42,675,2.21,30.52,36.71,10.85,4.29,9.59,3.53,0.949,1.115
2,6,1.43,103010,23140,2724,1260.2,62810,165.1,18.23,666,2.152,30.29,36.3,10.46,4.17,9.52,3.49,0.974,1.082
2,7,2.14,103120,23130,2706,1260.7,62640,166.3,18.69,676,2.173,30.51,35.97,10.68,4.185,9.61,3.62,0.934,1.086
2,8,2.37,102940,22970,2709,1264.8,62850,163,18.16,671,2.127,30.42,35.65,10.58,4.234,9.64,3.48,0.939,1.061
2,9,2.28,103230,23090,2719,1266,62400,167.2,18.59,664,2.184,30.51,34.68,10.55,4.2,9.65,3.52,0.893,1.144
2,10,1.87,103640,23230,2718,1258.7,62680,165.4,18.67,674,2.198,30.47,35.19,10.74,4.29,9.82,3.55,0.933,1.101
2,11,1.95,104280,23300,2730,1266.1,62980,166.8,18.46,679,2.174,30.57,35.09,10.83,4.27,9.82,3.4,0.931,1.149
2,12,1.79,103710,23300,2756,1263.5,63000,167.7,18.4,685,2.22,30.84,37.33,10.75,4.156,9.74,3.44,0.978,1.089
2,13,2.07,103880,23290,2735,1258.5,62690,164.1,18.68,670,2.08,30.39,35.41,10.83,4.28,9.57,3.55,0.917,1.111
2,14,2.28,104190,23400,2769,1266.4,63400,168,18.66,665,2.298,30.91,37.93,10.96,4.177,9.88,3.35,0.982,1.103
2,15,1.63,103780,23220,2723,1264.2,62510,165.7,18.89,666,2.238,30.08,36.49,10.65,4.152,9.8,3.52,0.932,1.099
2,16,1.77,103280,23210,2751,1261,63260,165.2,18.4,672,2.163,30.53,37.29,10.7,4.2,9.6,3.68,0.976,1.141
2,17,2.21,104310,23260,2733,1259.6,63340,167.6,18.87,678,2.214,30.72,35.64,11.2,4.23,9.81,3.46,0.905,1.124
2,18,1.98,104570,23430,2747,1262,63300,173.8,18.86,680,2.162,31.18,35.41,10.73,4.28,9.68,3.8,0.987,1.066
2,19,2.44,104030,23340,2747,1261.3,63040,167,18.46,679,2.128,30.89,35.68,11.11,4.32,9.73,3.46,0.985,1.067
2,20,2.18,103520,23250,2734,1260.4,63140,168.3,18.83,675,2.119,30.63,35.32,10.77,4.22,9.69,3.59,0.931,1.058
3,1,2.39,105480,23670,2855,1283.7,64240,173.3,18.51,669,2.151,31.32,37.15,10.98,4.51,10.01,3.73,0.987,1.041
3,2,2.04,105480,23560,2838,1279.1,64160,173.4,18.52,677,2.27,31.36,37.26,11.35,4.45,10.01,3.82,1.027,1.151
3,3,2.4,106110,23670,2826,1286.9,64100,169,19.03,684,2.284,31.5,36.97,11.15,4.35,10.05,3.68,0.975,1.134
3,4,2.24,106120,23550,2813,1292.3,64300,169.6,18.82,679,2.188,31.6,37.09,11.31,4.44,10.02,3.56,0.945,1.155
3,5,2.53,106860,23740,2830,1300,64310,173.3,18.82,688,2.218,31.31,38.31,10.68,4.39,10.12,3.68,1.026,1.134
4,1,2.24,105330,23730,2830,1282.7,64380,173.2,18.71,683,2.227,31.34,36.95,11.18,4.41,10.08,3.49,0.993,1.147
4,2,2.08,105230,23510,2806,1282.9,64070,173.3,18.86,681,2.261,31.41,36.63,11.01,4.43,9.92,3.68,0.955,1.041
4,3,2.07,105730,23410,2793,1281.4,63610,173.8,18.26,679,2.212,31.07,36.29,11.24,4.4,10,3.74,0.993,1.103
4,4,1.97,106360,23500,2806,1284.8,63870,172.5,18.86,678,2.2,31.1,36.19,11.37,4.37,9.99,3.71,0.962,1.167
4,5,1.92,106490,23700,2818,1292.4,64180,174.5,18.65,679,2.345,31.88,38.67,11.23,4.41,10.03,3.77,1.066,1.114
5,1,2.17,106070,23770,2831,1285.3,64650,172.9,18.76,679,2.15,31.93,37.93,11.27,4.43,10.03,3.78,1.017,1.069
5,2,2.35,106220,23650,2817,1284.1,64280,175,18.62,674,2.202,31.74,36.49,11.72,4.42,10.21,3.57,0.936,1.165
5,3,2.45,106040,23580,2792,1292,63570,172.3,18.54,669,2.188,31.23,36.4,10.89,4.42,9.97,3.67,0.988,1.09
5,4,2.11,106290,23650,2818,1287.8,64090,173.7,18.79,682,2.315,31.89,37.06,11.34,4.38,10,3.76,1.021,1.169
5,5,2.4,106670,23600,2801,1285,64030,176.3,18.72,676,2.147,31.57,35.88,10.78,4.45,10.04,3.82,0.997,1.146
6,1,2.17,104650,23590,2803,1275.8,64210,174,18.66,682,2.164,31.15,38.27,11.35,4.31,9.63,3.73,0.967,1.102
6,2,1.38,104730,23480,2758,1267.1,63330,175.5,18.67,664,2.19,31.15,35.77,10.62,4.34,9.63,3.52,0.95,1.077
6,3,2.07,104500,23240,2722,1269.2,62560,173.4,18.61,684,2.216,30.7,34.47,10.58,4.26,9.56,3.55,0.88,1.075
6,4,2.57,104820,23390,2720,1254.3,62530,170.3,18.45,673,2.178,30.51,34.85,10.95,4.23,9.82,3.65,0.903,1.098
6,5,2.49,104640,23330,2717,1266.9,62530,173.2,18.56,672,2.246,30.79,36.93,11.3,4.283,9.6,3.48,1.025,1.079
7,1,1.92,103100,22920,2597,1236,61340,168.7,17.97,662,2.143,29.96,32.46,10.46,3.969,9.33,3.31,0.855,1.047
7,2,1.98,103060,22990,2602,1235.7,60940,165,18.13,644,2.154,29.61,32.42,10.63,4.091,9.38,3.4,0.84,1.042
7,3,2.09,103560,22900,2608,1244.2,60850,170,18.33,662,2.121,29.98,34.28,10.8,3.99,9.49,3.32,0.917,1.063
7,4,1.4,104570,22990,2639,1256.8,61850,168.8,18.46,659,2.206,30.31,34.69,10.48,4.084,9.5,3.57,0.87,1.059
7,5,1.81,103950,23090,2616,1254.5,61770,170,18.22,679,2.192,30.08,34.02,10.61,4.18,9.58,3.48,0.954,1.148
8,1,1.96,103950,23080,2666,1246.8,61750,170.5,18.04,649,2.167,30.43,34.94,10.6,4.2,9.61,3.5,0.93,1.054
8,2,2.26,104690,23120,2654,1255,61830,167.5,18.43,656,2.151,30.52,34.9,10.79,4.165,9.53,3.57,0.907,1.112
8,3,2.4,104910,23230,2662,1266.9,62060,171.8,18.71,668,2.249,30.36,35.28,10.93,4.19,9.68,3.67,0.933,1.106
8,4,1.98,105230,22950,2635,1263.2,61660,170.4,18.24,672,2.075,30.19,35.41,10.69,4.08,9.77,3.57,0.958,1.1
8,5,1.9,104940,23060,2629,1258.7,61810,169.3,18.59,661,2.194,30.05,33.53,10.79,4.078,9.72,3.64,0.953,1.113
9,1,1.9,104970,23320,2680,1256.7,62460,170.5,18.55,679,2.18,30.53,33.47,10.52,4.136,9.62,3.52,0.915,1.076
9,2,2.03,104840,23260,2661,1263.7,62410,169.7,18.34,666,2.13,30.67,33.82,10.95,4.23,9.66,3.54,0.904,1.133
9,3,2.07,103920,23250,2669,1252,62730,164.4,18.73,671,2.11,30.6,33.74,10.91,4.1,9.57,3.48,0.904,1.08
9,4,1.92,105340,23010,2654,1268.4,62290,168.2,18.78,679,2.215,30.68,35.85,10.79,4.22,9.78,3.55,0.931,1.046
9,5,2.13,104150,23090,2650,1256.4,62410,170.4,18.32,664,2.196,30.67,35.41,10.6,4.134,9.65,3.37,0.979,1.095
10,1,2.09,104850,23120,2664,1256.7,62370,169.3,18.4,671,2.2,30.88,35.84,10.63,4.14,9.63,3.48,0.987,1.122
10,2,1.98,105250,22960,2653,1269.4,62410,171.1,18.48,659,2.175,30.46,36.38,11.01,4.18,9.63,3.4,0.927,1.14
10,3,2.07,104910,22970,2647,1263.9,62020,170.8,18.68,673,2.157,30.44,35.7,11,4.13,9.8,3.29,0.976,1.107
10,4,2.3,104270,23030,2661,1259.8,62470,169.1,18.27,674,2.184,30.37,36.18,10.65,4.19,9.72,3.52,1.019,1.111
10,5,2.24,104840,23140,2661,1256.5,62470,172.8,18.84,659,2.168,30.61,35.57,11.12,4.18,9.61,3.6,0.949,1.106
11,1,1.99,103550,22970,2628,1241.3,61860,166.2,18.37,656,2.039,29.94,33.07,10.19,4.11,9.46,3.36,0.868,1.093
11,2,2.03,103150,22910,2610,1223.9,61130,163.1,18.1,655,2.179,29.95,32.52,10.11,4.017,9.47,3.23,0.885,1.083
11,3,2.11,103960,22980,2611,1229.6,60810,164.8,18.14,650,2.067,30.02,32.76,10.55,4.016,9.45,3.37,0.888,1.062
11,4,2.07,104090,22730,2571,1235.1,60330,169.1,18.34,658,2.102,29.63,35.19,10.35,3.86,9.51,3.24,0.894,1.141
11,5,2.11,103840,22980,2621,1240.4,61920,171.3,18.17,651,2.154,29.91,33.67,10.6,4.1,9.56,3.35,0.943,1.066
12,1,1.73,104600,23370,2675,1252,62290,171,18.63,669,2.184,30.86,36.69,10.82,4.099,9.72,3.54,0.986,1.106
12,2,1.67,104890,23140,2687,1245.9,61770,167.3,18.93,653,2.151,30.51,37.2,11.03,4.14,9.69,3.62,0.924,1.174
12,3,1.92,104550,22980,2650,1251.5,61960,168.6,18.27,654,2.145,30.4,36.61,10.44,4.056,9.62,3.45,0.907,1.114
12,4,2.14,105390,23140,2672,1256.8,62200,176,18.51,668,2.09,30.57,37.46,10.89,4.12,9.76,3.36,0.988,1.178
12,5,1.68,104570,22980,2651,1249,61620,170.9,18.25,658,2.189,30.15,36.57,10.38,4.039,9.66,3.44,1,1.095
13,1,2.45,104550,23230,2703,1249.1,62570,168.9,18.79,669,2.136,30.47,34.53,10.97,4.09,9.69,3.47,0.886,1.063
13,2,2.11,104410,23100,2689,1255.8,62160,169.7,18.48,671,2.137,30.3,34.92,10.61,4.05,9.65,3.64,0.925,1.105
13,3,2.04,104500,23020,2670,1251.4,62180,167.9,17.99,657,2.183,29.86,34.77,10.63,4.06,9.49,3.42,0.881,1.108
13,4,2.17,104540,23110,2665,1250,61850,166.2,18.43,664,2.095,30.15,34.03,10.48,4.054,9.6,3.45,0.845,1.068
13,5,2.23,104240,23210,2718,1246.9,62710,173.4,18.41,657,2.187,30.51,34.35,11.23,4.229,9.66,3.39,0.978,1.068
14,1,1.73,103960,23000,2703,1241,61930,170,18.62,672,2.18,30.73,35.23,10.76,4.18,9.59,3.5,0.942,1.104
14,2,2.12,103700,22930,2677,1246.2,62330,169.4,18.44,674,2.165,30.33,35.98,9.95,4.07,9.47,3.43,0.9,1.06
14,3,1.97,104620,23000,2676,1243.4,61700,173.9,18.2,670,2.123,30.28,35.49,10.63,4.1,9.45,3.49,0.932,1.143
