Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.32,98600,24200,2854,1209,65280,166.6,18.8,663,2.01,31.9,35.1,10.77,4.18,9.28,3.79,0.975,1.011
1,2,1.8,101100,23140,2664,1238,62510,167.4,18.25,673,2.14,30.68,33.33,10.48,4.04,9.52,3.52,0.913,1.053
1,3,1.36,101400,23190,2652,1226,63010,164.7,18.54,669,1.97,30.62,34.53,10.36,4.02,9.44,3.38,0.94,1.058
1,4,1.65,100600,23120,2659,1244,62750,164,18.48,673,2.11,30.86,33.9,10.57,4.03,9.43,3.38,0.876,1.124
1,5,1.58,99530,23140,2698,1228,63900,166.7,18.53,682,2.13,31.07,32.48,11.3,4.24,9.62,3.42,0.94,1.046
2,1,1.6,98300,23800,2804,1200,65230,169.4,18.67,662,2.06,31.85,35.55,10.95,4.16,9.75,3.33,0.988,1.008
2,2,1.75,98200,23330,2785,1207,64300,172.8,18.34,665,2.01,31.31,33.91,11.6,4.24,9.63,3.47,1.023,0.951
2,3,1.71,98800,23510,2747,1216,64600,165.8,18.53,664,2.08,31.52,37.8,11.1,4.27,9.56,3.35,0.978,1.064
2,4,1.42,98120,23320,2744,1212,64300,166.3,18.67,655,2.19,31.4,37.06,11.13,4.11,9.58,3.52,0.996,1.027
2,5,1.5,98280,23350,2753,1215,64950,166.5,18.87,663,2.02,31.19,37.44,11,4.34,9.7,3.52,0.983,1.09
2,6,1.47,99420,23560,2756,1227,64970,164.9,18.44,678,2.1,31.4,37.69,11.38,4.22,9.88,3.51,1.065,1.065
2,7,1.52,99200,23560,2726,1218,64850,168.2,18.87,664,2.06,31.25,37.1,10.68,4.17,9.6,3.55,1.015,0.988
2,8,1.35,97450,23430,2786,1204,64960,167.1,18.36,656,2.07,31.62,36.4,11.11,4.26,9.66,3.26,1.033,1.026
2,9,1.66,99750,23370,2743,1228,64870,167.1,18.88,681,2.12,31.35,37.5,11.49,4.22,9.88,3.65,1.015,1.036
2,10,1.64,99500,23270,2710,1229,64350,166.7,18.63,673,1.98,31.18,37.55,11.04,4.13,9.74,3.42,0.973,1.08
2,11,1.52,98480,23520,2775,1230,65710,174.7,18.64,674,2.04,31.29,38.4,10.83,4.3,9.72,3.55,1.051,0.994
2,12,1.44,97500,23300,2760,1204,65230,163.8,18.42,670,2.04,31.28,36.69,10.88,4.35,9.55,3.57,0.944,1
2,13,1.4,96600,23120,2743,1206,64360,168.6,18.21,662,2,31.56,38,10.77,4.29,9.81,3.48,0.934,1.052
2,14,1.5,98600,23460,2796,1209,65220,171,18.73,643,2.05,32.15,37.75,11.2,4.31,9.7,3.66,0.991,1.031
2,15,1.52,98500,23280,2748,1223,64860,167.1,18.48,669,2.18,31.28,36.18,11.2,4.29,9.76,3.46,0.889,1.022
2,16,1.81,99550,23210,2729,1224,64500,170.9,18.91,667,2.14,31.1,35.63,11.11,4.12,9.5,3.56,0.948,1.025
2,17,1.66,100200,23180,2720,1234,64350,165.4,18.31,677,1.99,30.92,37,11.59,4.16,9.5,3.48,0.881,0.991
2,18,1.72,98000,23420,2767,1212,65240,169,18.64,659,2.06,31.85,37.9,10.62,4.36,9.73,3.72,1.052,1.048
2,19,1.6,98170,23430,2790,1200,65140,171.6,18.1,666,2.05,32.2,39.1,10.57,4.25,9.83,3.62,1.043,0.997
2,20,1.49,99940,23280,2737,1230,65980,164.4,18.16,667,2.03,32.09,38.6,11.42,4.24,9.72,3.54,0.997,1.077
3,1,1.32,97360,23520,2809,1202,65730,166.5,18.55,657,2.06,31.66,35.56,11.16,4.35,9.69,3.67,0.978,1.011
3,2,1.51,98200,23360,2774,1200.6,65230,168.1,18.72,662,2.07,31.99,35,11.05,4.3,9.64,3.47,0.872,1.042
3,3,1.22,98230,23230,2783,1209,64830,170.3,18.02,665,1.98,32.53,37.4,11.17,4.38,9.77,3.8,0.981,0.983
3,4,1.62,98400,23400,2791,1223,65820,162.4,18.75,665,2.01,31.34,36.96,11.82,4.29,9.56,3.37,0.944,1.026
3,5,1.38,99100,23010,2739,1229,64420,170,18.67,660,2.11,31.62,37.46,10.93,4.1,9.62,3.35,0.926,1.057
4,1,1.94,99500,23110,2699,1231,64340,163.7,18.52,676,2.17,31.71,35.7,11.5,4.12,9.78,3.24,0.913,1.03
4,2,1.8,99890,22980,2666,1225,63350,165.7,18.2,663,2.11,30.95,34.88,10.63,4.18,9.55,3.36,0.83,1.033
4,3,1.88,100400,23140,2680,1244,63730,163.6,18.69,679,2.16,31.26,35.5,10.67,4.23,9.61,3.4,0.962,1.011
4,4,1.89,100400,22850,2661,1238,63600,166.2,18.36,669,2.06,30.82,33.89,10.65,4.24,9.71,3.47,0.887,1.062
4,5,1.81,100900,23070,2671,1238,63440,168,18.8,669,2.17,31.06,36.17,10.64,4.11,9.58,3.57,1.015,1.053
5,1,1.81,99960,22940,2692,1226.4,64350,173.4,18.38,655,2.12,31.16,37.4,10.62,4.2,9.36,3.32,0.959,1.058
5,2,1.78,99670,23030,2700,1227,63760,168.4,18.14,646,2.04,30.84,37.04,10.83,4.21,9.51,3.47,0.996,1.013
5,3,1.72,100310,22990,2677,1227,63900,164.4,18.2,664,2.22,31.44,36.13,11.14,4.15,9.64,3.34,0.923,1.034
5,4,1.55,99100,22720,2661,1224,63830,168.6,18.77,652,2.04,30.71,35.9,10.77,4.04,9.53,3.52,0.91,1.051
5,5,1.91,100180,22980,2674,1234,63290,168.8,18.41,657,2.05,30.63,34.73,10.72,4.12,9.57,3.3,0.959,1
6,1,1.97,102300,22790,2609,1240,61530,164.5,18.26,658,2.11,29.85,33.12,10.74,4.09,9.8,3.65,0.94,1.078
6,2,1.62,103500,23010,2613,1256,62260,164.2,18.33,671,2.09,30.51,36.5,10.38,4.02,9.79,3.53,0.92,1.119
