Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.4,102490,23350,2704,1259,62060,160.6,18.26,705,2.18,30.22,32.44,11.07,4.04,9.27,3.29,0.923,1.107
1,2,1.75,102750,23180,2663,1255.9,61980,169.9,18.67,686,2.13,30.79,33.57,11.06,4.07,9.4,3.51,0.902,1.085
1,3,1.69,102500,23360,2691,1267.9,62910,153.4,18.42,679,2.19,30.34,32.9,11.33,4.24,9.45,3.31,0.829,1.062
1,4,2,101900,23300,2669,1277,62950,161.3,18.53,682,2.09,29.85,33.8,10.45,3.96,9.27,3.46,0.879,1.107
1,5,1.47,100740,23020,2723,1264.2,63470,157.2,18.4,684,2.05,30.56,33.07,10.99,4.2,9.34,3.26,0.835,1.032
2,1,1.28,100650,23230,2752,1263.8,64570,167.3,18.5,678,2.05,30.92,33.62,11.17,4.11,9.09,3.33,0.895,1.063
2,2,1.52,100630,23300,2721,1256.8,63700,162.3,18.45,678,2.13,30.32,32.94,11.15,4.18,9.33,3.3,0.809,1.055
2,3,1.55,101370,23330,2727,1267.3,63740,159.8,18.62,679,2.24,31.06,34.65,11.89,4.19,9.48,3.4,0.901,1.077
2,4,1.48,100590,23290,2750,1261,64500,166.8,18.45,681,2.22,30.9,34.05,10.99,4.18,9.41,3.35,0.897,1.034
2,5,1.56,101030,23610,2771,1268,64650,172.9,18.59,693,2.08,31.24,34.45,11.48,4.3,9.55,3.96,0.914,1.085
2,6,1.44,100280,23370,2716,1262.8,63790,166.5,18.32,667,2.08,30.78,33.59,10.52,4.18,9.31,3.42,0.858,1.066
2,7,1.56,100770,23230,2720,1259.4,63620,163.5,18.51,672,2.09,30.08,32.38,11.44,3.97,9.38,3.23,0.798,1.058
2,8,1.71,100220,23330,2684,1260.3,63400,162.9,18.75,681,2.22,30.25,33.09,11.11,4.03,9.38,3.74,0.876,1.034
2,9,1.66,101450,23210,2699,1262,63270,161.3,18.35,673,2.08,29.75,32.71,10.7,4.12,9.44,3.35,0.843,1.098
2,10,1.68,101620,23230,2689,1272.1,63970,165.1,18.29,677,2.22,30.43,32.72,11.3,4.12,9.32,3.31,0.849,1.042
2,11,1.66,101730,23200,2692,1265.9,63650,165.1,18.7,667,2.18,30.39,33.15,10.56,4.09,9.57,3.34,0.86,1.086
2,12,1.52,101120,23220,2681,1249.6,63520,165.5,18.32,670,2.17,31.02,34.91,10.69,4.1,9.53,3.32,0.919,1.109
2,13,1.5,100600,23230,2690,1251.4,63580,170.7,18.27,651,2.18,30.67,34.71,10.77,4.26,9.55,3.61,1.025,1.058
2,14,1.53,101280,23250,2699,1262.1,64090,164.4,18.46,681,2.09,31.59,35.46,11.33,4.29,9.62,3.33,0.904,1.063
2,15,1.44,101290,23180,2698,1261.8,64560,163.9,18.62,681,2.17,31.19,36.12,10.84,4.16,9.68,3.26,0.906,1.104
2,16,1.52,101060,23490,2726,1268.4,64130,161.5,18.66,668,2.13,31.19,34.07,11.27,4.09,9.39,3.43,0.882,1.101
2,17,1.83,101550,23320,2707,1262.7,64150,161.1,18.88,672,2.06,31.16,34.03,11.08,3.98,9.56,3.4,0.897,1.07
2,18,1.46,101170,23360,2724,1266.9,64140,165.8,18.54,679,2.19,31.24,34.43,11.05,4.17,9.47,3.48,0.903,1.102
2,19,1.62,100580,23190,2735,1254.7,64260,169.5,18.83,668,2.01,31.19,34.67,11.62,4.21,9.5,3.39,0.901,1.081
2,20,1.43,101070,23170,2743,1262.9,64050,156.9,18.25,669,2.04,31.3,33.7,11.42,4.24,9.43,3.47,0.893,1.065
3,1,1.89,103130,23200,2667,1289,63540,160.1,18.58,670,2.18,30.34,33.11,11.27,4.03,9.47,3.44,0.801,1.069
3,2,1.64,101740,22990,2660,1281.9,63150,168.5,18.74,685,2.1,30.81,32.59,11.4,4.17,9.71,3.49,0.878,1.055
