Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.37,99760,24260,2929,1214.8,66040,162,18.68,663,2.14,32.73,35.1,11.35,4.56,9.46,3.96,0.974,1.063
1,2,1.35,98980,24330,2956,1205,66860,162.3,18.54,668,1.93,32.2,34,11.7,4.32,9.49,3.75,0.953,1.016
1,3,1.25,98580,24450,2981,1201.3,67500,165.7,18.24,663,2.07,33.1,34.8,12.35,4.54,9.49,3.74,0.866,1.027
1,4,1.41,99350,24340,2973,1213.3,67280,168.1,18.04,644,2.2,32.95,34.9,11.45,4.36,9.17,3.87,0.958,1
1,5,1.16,98520,24170,2939,1215.1,67520,166.7,18.09,671,2.07,32.21,34.7,11.77,4.52,9.25,3.64,0.954,1.028
2,1,1.76,98320,24050,2929,1224.2,67440,168,18.65,663,2.02,32.67,35.68,11.9,4.33,9.45,3.6,0.865,1.055
2,2,1.23,99170,23850,2885,1219.8,66380,160.4,18.62,656,2.04,32.12,35.52,11.34,4.43,9.64,3.68,0.917,1.046
2,3,1.51,99150,23550,2819,1234.3,64990,161.2,18.29,682,2.07,31.51,32.74,11.49,4.25,9.53,3.74,0.808,1.045
2,4,1.7,99730,23530,2783,1239.2,64540,167.5,18.43,672,2.17,31.07,32.88,11.33,4.01,9.11,3.36,0.894,1.09
2,5,1.55,99930,23580,2827,1253.6,65760,161.8,18.6,666,2.15,31.81,33.24,11.29,4.12,9.5,3.66,0.878,1.04
2,6,1.53,99120,23770,2875,1225.1,66010,165.9,18.4,664,2.08,32.18,35.06,12.56,4.56,9.71,3.64,0.9,1.025
2,7,1.77,98250,23850,2948,1225.6,67500,168.8,18.4,684,2.09,33.15,34.94,11.96,4.43,9.27,3.56,1.023,1.038
2,8,1.59,99460,23740,2882,1235.9,66670,163.8,18.77,656,2.18,31.99,34.6,12.07,4.45,9.58,3.92,0.934,1.02
2,9,1.57,99340,23670,2862,1251,66920,170,18.27,668,2.13,32.26,34.1,12.17,4.39,9.57,3.61,0.91,1.037
2,10,1.52,97900,23800,2923,1231.1,67290,167.9,18.91,659,2.16,33.1,33.61,11.77,4.34,9.58,3.68,0.879,1
2,11,1.52,98930,23980,2922,1233,68010,167.2,18.79,681,2.12,32.74,35.27,12.11,4.57,9.83,3.72,0.956,1.083
2,12,1.78,100230,23730,2876,1246,66700,167.6,18.18,683,2.22,32.73,33.86,11.86,4.51,9.7,3.83,0.962,1.096
2,13,1.52,100510,23710,2862,1237.8,66130,165.1,18.41,649,2.06,32.27,32.85,11.65,4.53,9.72,3.62,0.889,1.103
2,14,1.48,100130,23530,2819,1243,65750,166.7,18.54,671,2.08,31.89,33.59,11.79,4.43,9.57,3.79,0.998,1.002
2,15,1.18,99480,23610,2872,1238.4,67040,167.6,18.5,683,2.07,32.39,34.33,11.85,4.33,9.37,3.53,0.857,1.057
2,16,1.76,99460,23840,2886,1234.5,67030,165.8,18.67,652,2.16,32.85,33.48,11.81,4.42,9.63,3.87,0.95,1.086
2,17,1.53,100030,23500,2832,1244.8,65870,165.1,18.3,664,2.15,32.27,34.74,11.87,4.43,9.59,3.57,0.93,1.042
2,18,1.67,100480,23410,2811,1256.9,65850,164,18.31,646,2.05,31.73,33.59,12.05,4.28,9.62,3.5,0.836,1.095
2,19,1.46,100570,23420,2804,1250.3,65580,161.5,18.08,690,2.14,31.69,32.87,11.99,4.35,9.56,3.53,0.897,1.089
2,20,1.44,100520,23340,2800,1258.8,65740,160.2,18.23,665,2.06,31.63,32.84,11.96,4.26,9.47,3.53,0.89,1.045
3,1,1.39,99820,23260,2768,1242.8,65040,162.5,18.81,647,2.11,30.97,32.51,11.62,4.17,9.39,3.54,0.928,1.078
3,2,1.36,99990,23140,2772,1240.1,64910,159.9,18.29,672,2.2,31.05,32.04,11.5,4.25,9.36,3.28,0.898,1.073
3,3,1.52,100320,23250,2727,1233.1,63640,161.4,18.55,665,2.26,30.91,30.75,11.12,4.24,9.55,3.41,0.961,1.022
