Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.98,105900,23390,2627,1290,61680,158.1,18.16,681,2.14,29.37,29.01,11.38,3.71,9.04,3.24,0.741,1.117
1,2,1.99,104430,23160,2617,1300,62320,159,18.31,673,2.217,29.62,28.59,11.15,3.74,9.14,3.38,0.734,1.093
1,3,1.74,105500,23420,2619,1310,62320,156.1,18.5,689,2.16,29.84,28.17,10.73,3.85,9.03,3.52,0.8,1.149
1,4,1.95,106700,23380,2632,1318,62640,156.4,18.61,686,2.27,29.4,28.58,11.38,3.69,9.22,3.1,0.713,1.12
1,5,1.78,106500,23440,2645,1333,62210,159.7,18.1,684,2.2,29.36,27.99,11.53,3.76,9.35,3.24,0.83,1.13
2,1,1.86,104000,23120,2609,1289,61460,157.9,18.51,683,2.18,29.31,28.74,10.79,3.76,9.09,3.37,0.747,1.166
2,2,1.81,103920,23030,2603,1292,61540,162.1,18.2,681,2.19,29.31,28.47,10.87,3.74,9,3.1,0.767,1.13
2,3,1.81,104300,23210,2604,1306,61720,161.7,18.36,686,2.23,29.14,29.34,11.09,3.9,9.26,3.46,0.756,1.169
2,4,1.69,103800,23070,2603,1300,61340,158.1,17.94,663,2.19,29.2,28.11,10.35,3.68,9.21,3.23,0.763,1.126
2,5,1.91,104300,22980,2612,1297,61780,162.8,17.83,666,2.19,28.89,28.9,11.25,3.82,9.19,3.38,0.762,1.131
2,6,1.94,105500,23200,2609,1306,61230,155.6,17.84,658,2.18,28.58,27.49,10.55,3.84,8.95,3.29,0.731,1.157
2,7,1.91,104400,22910,2608,1310,61540,160.2,18.23,671,2.21,29.77,29.33,11.16,3.79,9.34,3.51,0.734,1.108
2,8,1.79,104100,22830,2594,1309,61790,159.5,18.18,665,2.23,29.88,29.27,11.4,3.81,9.59,3.2,0.781,1.159
2,9,1.87,103700,22720,2599,1315,61000,160,17.98,667,2.16,29.34,29.06,11.45,3.77,9.24,3.08,0.783,1.186
2,10,1.79,104500,22950,2592,1306,61820,161.1,18.08,668,2.13,29.83,29.43,10.95,3.88,9.42,3.34,0.776,1.139
2,11,1.87,104100,22950,2591,1318,61220,160.7,18.26,663,2.27,29.76,28.56,10.99,3.79,9.26,3.15,0.687,1.119
2,12,1.84,104200,22840,2604,1310,60840,154.7,17.64,667,2.28,29.24,28.81,11.11,3.84,9.05,3.34,0.783,1.102
2,13,1.83,104400,22940,2598,1318,61750,161.8,17.9,656,2.28,29.47,29,10.88,4.02,9.25,3.5,0.738,1.135
2,14,1.86,104200,22820,2599,1313,61280,159.7,17.95,661,2.28,29.51,28.65,11.63,3.91,9.22,2.99,0.749,1.144
2,15,1.83,102700,22650,2594,1298,61000,156.9,18.19,672,2.15,29.75,29.21,10.66,3.93,9.25,3.11,0.82,1.08
2,16,2.09,104100,22740,2586,1300,61360,162.1,18.12,650,2.26,29.22,28.79,11.59,3.84,9.33,3.19,0.774,1.108
2,17,1.86,104680,23050,2617,1294,61400,151,17.93,673,2.15,29.35,29.38,11.18,3.77,9.23,3.34,0.835,1.129
2,18,1.84,103620,22870,2596,1302,61210,159.8,18.24,655,2.28,29.49,28.94,11.1,3.88,9.28,3.1,0.76,1.13
2,19,1.95,103700,22690,2583,1309,61270,156.9,18.48,677,2.23,29.81,29.4,11.04,3.87,9.19,3.15,0.691,1.112
