Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.06,106560,23020,2605,1319,59830,156.8,18.13,670,2.28,29.37,27.92,11.21,3.83,9.16,3.23,0.682,1.078
1,2,1.7,104730,22750,2572,1303.1,59460,154.2,17.98,670,2.27,28.58,27.19,11.21,3.86,9.08,3.22,0.726,1.035
1,3,1.68,105550,22690,2591,1305.8,58910,152.7,17.87,655,2.3,28.72,27.13,10.61,3.67,9,3.06,0.682,1.132
1,4,1.92,105830,22580,2545,1325,58140,157.1,17.81,677,2.29,28.73,26.61,10.56,3.83,9.32,3.18,0.661,1.129
1,5,1.63,105880,22610,2541,1337,58470,157.9,17.82,664,2.35,29.14,26.19,10.12,3.72,8.99,3.04,0.75,1.113
2,1,1.57,103500,22730,2595,1306.6,59630,158.6,17.73,658,2.22,29.07,28.07,10.38,3.78,8.9,3.1,0.7,1.14
2,2,1.96,105300,22710,2590,1306.9,58890,158.3,17.98,670,2.32,28.83,27.53,9.96,3.85,9.02,3.33,0.684,1.122
2,3,1.61,104880,22830,2577,1323.1,59250,151.5,17.87,679,2.24,29.6,27.53,10.37,3.95,9.1,3.2,0.702,1.174
2,4,1.62,105190,22600,2550,1336.3,58290,155.6,17.8,672,2.33,28.9,27.26,9.91,3.91,9.09,3.07,0.684,1.153
2,5,1.76,106510,22610,2550,1342,58820,160.4,17.8,679,2.21,28.98,26.23,9.48,3.79,9.21,3.31,0.675,1.128
2,6,1.91,106140,22710,2543,1345,59080,152,17.7,675,2.22,29.03,27.34,10.68,3.82,9.16,3.16,0.683,1.171
2,7,1.71,106560,22600,2527,1334.4,58210,156.5,17.52,661,2.26,28.85,27.29,10.08,3.68,9.01,3.19,0.746,1.094
2,8,1.73,105310,22610,2540,1343,59160,161.1,18.48,684,2.26,28.87,27.28,10.46,3.81,9.29,3.36,0.683,1.176
2,9,1.76,106740,22750,2542,1347,59030,156.1,17.85,661,2.31,28.79,26.47,10.06,3.77,9.35,3.02,0.728,1.176
2,10,1.99,107510,22800,2549,1353.6,59260,150,17.78,667,2.33,28.84,27.06,10.45,3.75,9.13,3.08,0.751,1.227
2,11,1.72,106890,22670,2558,1344,59320,150.7,17.98,658,2.22,29.06,27.99,10.18,3.73,9,3.3,0.733,1.189
2,12,1.75,105090,22400,2548,1334,59430,158.5,17.64,670,2.3,29.1,28.67,10.14,3.86,9.02,3.08,0.79,1.176
2,13,1.65,105470,22450,2542,1338,59680,148.9,17.79,664,2.28,28.76,27.41,10.28,3.94,9.04,3.2,0.726,1.198
2,14,1.58,104820,22630,2566,1341.5,60270,152.1,18.3,667,2.37,29.03,27.82,10.41,3.85,9.19,3.31,0.82,1.152
2,15,2.08,106400,22540,2558,1344,60290,158.4,17.89,666,2.18,28.91,27.93,10.52,3.61,9.01,3.17,0.82,1.177
2,16,1.74,104690,22430,2560,1331,60340,152.8,18.05,697,2.23,28.57,28.99,10.63,3.68,9.23,3.2,0.78,1.135
2,17,1.69,107360,22720,2590,1339,60290,156.3,17.47,674,2.28,29.21,28.78,10.8,3.8,9.24,3.22,0.67,1.14
2,18,1.6,106240,22690,2589,1327.3,60620,163.4,18.3,666,2.24,28.86,28.41,10.65,3.65,9,2.97,0.697,1.105
2,19,1.51,106010,22510,2579,1341.3,60370,152,17.82,680,2.3,28.72,28.49,10.55,3.93,9.1,3.26,0.767,1.064
2,20,1.51,106120,22520,2580,1338,60720,153.1,18.16,658,2.29,29.03,27.47,11.43,3.75,9.15,3.17,0.73,1.095
3,1,1.56,106280,23000,2655,1310.4,61250,155.2,18.11,649,2.3,29.92,27.6,11.64,3.89,8.92,3.35,0.644,1.151
3,2,1.76,102950,22760,2608,1331.5,61690,154.1,18.01,663,2.32,29.3,28.16,11.65,3.77,8.91,2.94,0.684,1.062
3,3,1.56,104170,22640,2607,1335.3,61270,154.5,17.72,676,2.35,28.98,27.27,11.45,3.78,9.15,3.13,0.71,1.056
3,4,1.56,104480,22490,2597,1346,61420,166.7,17.97,657,2.29,29.01,26.78,10.95,3.69,8.98,3.27,0.711,1.096
3,5,1.38,106280,22640,2604,1330.2,61010,153.4,17.58,673,2.4,28.96,28.91,11.43,3.75,9.08,3.35,0.693,1.154
4,1,1.76,104340,22800,2656,1306.9,60820,157.7,18.18,666,2.24,28.97,27.75,11.77,3.89,8.94,3.42,0.8,1.089
4,2,1.65,104920,23040,2661,1302.2,61130,161.6,17.56,656,2.35,29.04,28.22,11.14,3.84,9.26,3.35,0.631,1.139
4,3,1.55,103610,22650,2618,1307.9,60840,159.4,18.15,661,2.21,28.53,28.57,11.47,3.75,8.93,3.09,0.8,1.114
4,4,1.52,103100,22760,2632,1312.2,61040,157.5,17.82,660,2.32,28.87,27.83,11.29,3.82,9.12,3.11,0.722,1.09
4,5,1.53,105330,22670,2647,1312.5,60490,158.1,17.87,668,2.25,28.91,27.61,12.02,3.88,9.4,3.49,0.748,1.146
5,1,1.82,104250,22730,2648,1308.4,60490,154.4,18,658,2.26,29.3,27.64,11.27,3.84,9.03,3.13,0.8,1.076
