Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.02,102910,23550,2951,1187,64360,164.8,17.62,693,2.29,30.49,30.12,12.68,4.22,9.37,3.5,0.772,1.064
1,2,2.19,103410,23440,2916,1201.9,63840,168.8,17.53,693,2.33,31,28.95,12.5,4.6,10.04,3.52,0.735,1.076
1,3,1.98,104040,23390,2908,1204,64270,165.6,17.74,678,2.19,31.17,29.49,12.38,4.43,9.73,3.66,0.787,1.094
1,4,1.83,103770,23550,2916,1202,64020,169.8,17.82,693,2.323,31.19,29.14,12.31,4.58,10.18,3.6,0.779,1.057
1,5,2.32,103400,23370,2910,1214,64190,166,17.96,699,2.329,30.98,28.91,12.36,4.59,10.32,3.67,0.767,1.025
2,1,1.93,102660,22980,2726,1202,62580,157.6,17.42,685,2.283,29.68,26.29,12.65,4.23,9.77,3.3,0.655,1.145
2,2,2.23,102400,22820,2694,1200,61970,160,17.42,688,2.327,29.76,25.94,12.43,4.22,9.75,3.48,0.693,1.141
2,3,2.1,102990,22800,2682,1207,61730,157.8,17.47,695,2.348,29.39,26.3,12.03,4.11,9.55,3.35,0.725,1.092
2,4,2.4,104890,22860,2687,1221,61490,160.6,17.46,690,2.257,29.67,26.93,12.13,3.943,9.39,3.26,0.739,1.076
2,5,2.36,102400,22570,2646,1217,60870,156.1,17.25,674,2.31,28.89,26.15,12.24,4.06,9.58,3.24,0.618,1.086
2,6,1.99,102400,22460,2631,1206,60640,153.4,17.37,678,2.29,29.24,26.35,12.23,4.01,9.35,3.37,0.707,1.123
2,7,2.19,102200,22470,2627,1210,60450,157.3,16.91,678,2.28,29.07,25.22,12.3,4.18,9.66,3.25,0.627,1.105
2,8,2.19,102820,22520,2639,1219,61160,155.5,17.45,683,2.328,29.21,25.41,12.52,4.17,9.67,3.29,0.652,1.143
2,9,2.23,101400,22420,2596,1201,60280,158.8,17.15,676,2.245,28.67,25.76,12.01,4.06,9.56,3.28,0.716,1.126
2,10,2.15,102800,22550,2596,1210,60620,152.2,17.14,669,2.365,29.39,26.42,11.91,3.88,9.35,3.32,0.685,1.06
2,11,2.22,103450,22760,2664,1217,61050,160.6,17.34,680,2.332,29.43,25.47,12.54,4.23,10.16,3.54,0.737,1.135
2,12,2.22,103300,22550,2628,1215,60540,159.3,17.65,684,2.35,29.45,25.68,12.55,4.11,9.99,3.28,0.732,1.089
2,13,2.22,102900,22450,2607,1221,60980,155,17.23,681,2.277,29.04,25.86,11.89,3.876,9.43,3.17,0.678,1.082
2,14,2.52,101900,22380,2600,1196,60220,154.3,17.58,670,2.294,29,25.82,11.97,4.02,9.39,3.16,0.745,1.022
2,15,2.24,102700,22700,2629,1215,61020,156.6,17.18,678,2.278,29.11,25.82,11.9,3.9,9.69,3.21,0.77,1.123
2,16,2.36,103400,22770,2648,1221,61120,157.6,17.45,689,2.386,29.43,25.21,12.21,4.204,9.83,3.43,0.744,1.182
2,17,2.32,103500,22720,2650,1230,61590,158.3,17.59,682,2.41,29.54,25.39,12.35,4.11,9.82,3.25,0.641,1.07
2,18,2.65,103700,22780,2643,1224,61220,160.2,17.5,673,2.28,29.63,25.68,12.55,4.15,9.81,3.42,0.635,1.111
2,19,2.1,103600,22570,2611,1227,60600,157.7,17.22,684,2.349,29.05,25.57,11.86,3.98,9.64,3.24,0.658,1.102
2,20,1.84,103200,22350,2602,1206,60580,157.3,16.95,679,2.356,28.91,25.21,12.17,4.02,9.53,3.2,0.67,1.121
3,1,2.29,104020,23990,3017,1222.7,66640,169.6,18.18,691,2.329,31.97,29.95,12.78,4.68,10.19,3.88,0.811,1.164
3,2,1.99,103480,23490,2950,1207.2,65320,170,17.92,687,2.333,31.06,29.44,12.61,4.59,9.74,3.58,0.811,1.122
3,3,2.17,103400,23480,2920,1213,64740,167.3,17.65,690,2.302,31.42,30.01,12.58,4.6,9.82,3.55,0.769,1.19
3,4,1.87,103800,23540,2902,1210,64560,165.5,17.56,682,2.29,30.63,28.46,12.68,4.52,9.82,3.46,0.819,1.139
3,5,2.34,104200,23430,2897,1223,64480,166.2,17.64,685,2.36,31.05,28.92,12.25,4.42,9.96,3.51,0.806,1.135
4,1,2.38,103300,23140,2748,1218,62580,167.2,17.36,677,2.279,30.09,26.51,13.15,4.27,10.03,3.39,0.72,1.077
4,2,1.85,104800,23300,2748,1238,63380,164.6,17.74,692,2.411,30.3,26.93,12.89,4.27,10.04,3.49,0.75,1.182
4,3,2.09,105210,23210,2726,1232.1,62650,166.6,17.49,680,2.359,30.35,26.53,13.05,4.33,9.92,3.4,0.754,1.075
4,4,2.2,104730,23140,2746,1236,63300,164.6,17.74,690,2.38,30.48,26.96,12.5,4.42,10.28,3.52,0.749,1.104
4,5,2.08,103700,22990,2711,1224,62400,161.8,17.49,667,2.298,29.83,27.03,12.13,4.2,9.68,3.61,0.734,1.095
5,1,2.24,103200,23730,2940,1202,64730,166.9,17.57,686,2.268,30.91,29.22,12.67,4.61,9.91,3.67,0.707,1.032
5,2,1.83,103800,23660,2931,1227,64710,173.7,17.61,681,2.356,31.24,28.62,12.56,4.51,10.04,3.74,0.724,1.076
5,3,2.09,104500,23580,2937,1217.9,65160,169.1,17.79,700,2.24,31.05,29.76,12.85,4.45,9.83,3.84,0.815,1.121
