Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.98,102670,23020,2750,1237.5,62670,163.4,18,692,2.379,30.48,26.98,12.49,4.3,10.01,3.54,0.738,1.061
1,2,2.28,102420,22850,2693,1235,61550,160.8,18.08,691,2.295,30.07,26.46,12.45,4.174,9.89,3.57,0.659,1.045
1,3,2.29,102280,22880,2746,1236.1,61930,161.1,18.01,683,2.347,29.89,27.46,12.57,4.32,10.02,3.4,0.723,1.136
1,4,1.88,102030,22890,2665,1237,61190,159.5,17.74,682,2.381,30.02,26.32,12.87,4.26,10.02,3.3,0.713,1.102
1,5,2.18,102270,23030,2743,1244,62140,163.9,17.99,678,2.332,30,27.1,12.63,4.39,10.21,3.56,0.73,1.076
2,1,2.26,101680,23150,2798,1235.5,63240,166,17.81,691,2.301,30.78,27.62,12.43,4.41,10.26,3.56,0.727,1.06
2,2,2.24,102240,23010,2783,1247.6,63240,165,17.96,681,2.305,30.57,27.69,12.56,4.36,9.9,3.43,0.769,1.162
2,3,2.06,102320,23070,2734,1247.8,62180,163.4,17.83,689,2.298,30.51,26.75,12.7,4.31,10.04,3.49,0.746,1.106
2,4,2.18,102820,22910,2705,1259,62080,165,17.99,682,2.297,30,26.88,12.69,4.25,10.06,3.59,0.695,1.093
2,5,1.78,102480,23020,2752,1252,62840,165.9,17.79,692,2.303,30.63,27.29,12.97,4.32,10.03,3.64,0.767,1.102
2,6,2.33,103780,23230,2808,1255,63460,163.3,18.19,685,2.345,30.85,28.06,12.85,4.45,10.16,3.64,0.765,1.095
2,7,2.41,102810,23320,2822,1264,63450,168.6,18.04,701,2.31,31.14,28.34,13.09,4.49,10.27,3.68,0.775,1.092
2,8,2.11,103190,23190,2807,1261.2,63460,167.4,18.12,688,2.372,30.81,27.44,12.79,4.49,10.35,3.73,0.755,1.108
2,9,2.17,104110,23050,2749,1266,63200,163.9,17.85,689,2.248,30.57,26.93,13.01,4.28,10.17,3.45,0.766,1.157
2,10,2.33,102930,23140,2734,1258.5,62540,164.3,17.96,690,2.422,30.67,27.57,12.82,4.32,10.06,3.39,0.708,1.087
2,11,2.08,103070,23100,2749,1259,62360,163.1,17.79,692,2.408,30.77,26.88,12.86,4.39,10.24,3.67,0.715,1.122
2,12,2.2,102680,23370,2848,1253.3,63130,166.7,17.97,675,2.258,30.81,28.4,12.62,4.5,10.15,3.61,0.761,1.084
2,13,1.96,102670,23570,2871,1251,64170,169.3,17.85,684,2.344,30.98,28.91,12.44,4.56,10.08,3.49,0.818,1.19
2,14,1.97,103910,23670,2890,1280,64340,169.9,18.42,693,2.426,30.78,28.4,12.81,4.67,10.22,3.74,0.736,1.095
2,15,2.23,103300,23310,2771,1263,63100,167.3,18.12,694,2.36,30.59,27.33,12.59,4.51,10.17,3.59,0.715,1.078
2,16,1.84,102430,23110,2742,1258,62320,166.2,17.53,682,2.33,30.31,27.35,12.26,4.34,10,3.34,0.687,1.13
2,17,1.83,103400,23040,2724,1262,62090,163.5,17.72,699,2.395,30.06,26.58,12.18,4.41,9.97,3.48,0.699,1.093
2,18,2,103900,23140,2798,1258,63300,169.1,17.98,694,2.401,30.87,28.2,12.76,4.37,9.98,3.65,0.703,1.087
2,19,2.02,105300,24080,2920,1290,64560,167.2,18.35,700,2.42,31.09,28.73,12.68,4.38,10.01,3.58,0.731,1.033
2,20,2.12,104300,23920,2931,1296,64460,171,18.32,696,2.39,31.21,28.99,12.3,4.48,9.96,3.68,0.864,1.028
3,1,2.23,103480,23440,2834,1259.3,63780,169.7,18,691,2.322,30.65,28.2,11.95,4.38,9.87,3.62,0.752,1.062
3,2,2.17,103400,23460,2784,1253,62910,165.1,17.79,674,2.199,29.98,27.38,12.49,4.32,9.97,3.51,0.79,1.072
3,3,2.12,103300,23350,2805,1267,63090,167.1,18.15,695,2.333,30.38,26.85,12.35,4.4,10.22,3.6,0.757,1.105
3,4,2.14,103020,23350,2851,1250,63390,165.4,17.71,672,2.296,30.37,27.5,12.37,4.42,9.85,3.55,0.708,1.074
3,5,2.14,103800,23130,2824,1261,63260,168.1,17.91,682,2.395,30.74,27.97,12.98,4.47,9.96,3.7,0.728,1.061
4,1,2.31,104730,23970,3049,1258.7,65980,172,17.85,695,2.358,31.61,30.39,12.68,4.76,10.01,3.84,0.866,1.094
4,2,2.23,104330,24160,3046,1270,66400,173.3,18.14,694,2.374,31.91,30.34,12.81,4.67,10,3.87,0.821,1.115
4,3,2.12,103620,23880,3051,1267,65810,176.3,17.79,684,2.308,31.47,30.57,12.24,4.77,10.08,3.79,0.795,1.097
4,4,2.08,104810,24080,3052,1281.8,66780,177,18.21,682,2.327,31.82,31.08,12.88,4.82,10.23,4.04,0.821,1.092
4,5,2.25,104300,23960,3072,1271.5,66630,178.5,18.16,695,2.33,31.81,31.12,12.83,4.72,10.1,3.73,0.883,1.153
5,1,1.85,103560,23980,2991,1255,65670,169.5,18.15,693,2.301,31.67,30.44,12.45,4.56,9.95,3.83,0.798,1.122
5,2,2.09,104690,24060,3047,1273.5,66520,173,17.91,689,2.337,31.61,31.51,12.71,4.74,9.97,3.71,0.838,1.094
5,3,2.19,104670,23860,3019,1264.6,65960,175.6,17.86,692,2.403,31.55,30.37,12.7,4.61,10.12,3.81,0.785,1.083
5,4,1.82,105310,23930,3044,1285.9,66410,176.3,18.19,690,2.32,31.82,30.7,12.48,4.58,10.17,3.81,0.845,1.127
5,5,1.98,103500,23730,2982,1272.5,65730,173.8,18.24,691,2.403,31.74,29.32,12.77,4.65,10.33,3.7,0.81,1.082
6,1,2.26,104950,23910,3042,1271,66230,175.5,18.19,684,2.33,31.78,31.16,12.81,4.71,10.05,3.56,0.78,1.117
6,2,1.94,104030,24000,2998,1256.4,66080,167.8,17.94,691,2.4,31.79,30.62,12.51,4.5,9.86,3.71,0.887,1.095
6,3,2.13,104810,23890,3013,1274,65870,173.1,18,692,2.283,31.7,30.34,12.66,4.57,10.24,3.77,0.79,1.1
6,4,2.03,105000,23970,2995,1265,65720,173.9,18.13,698,2.367,31.69,30,12.54,4.72,10.12,3.58,0.769,1.116
6,5,2.3,103460,23620,2961,1263,65230,174.3,18.12,686,2.312,31.33,28.93,12.75,4.64,10.12,3.72,0.751,1.093
7,1,1.79,104640,24130,3014,1262,66330,172.3,18.55,695,2.287,31.96,29.69,12.79,4.63,10.12,3.73,0.781,1.071
7,2,1.96,104560,24060,3010,1264.8,66060,176.6,18.25,704,2.422,31.64,29.75,13,4.62,10.3,3.94,0.734,1.1
7,3,2.3,103860,23700,2954,1272.5,65000,173.2,18.22,689,2.32,31.18,28.41,12.58,4.55,10.09,3.69,0.793,1.062
7,4,1.97,103200,23510,2950,1266,65220,172.6,18.16,679,2.379,31.09,28.9,12.41,4.63,10.07,3.68,0.72,1.074
7,5,1.96,104000,23720,2974,1262,64610,171.5,18.02,683,2.309,31.27,28.52,12.78,4.64,10.17,3.78,0.762,1.106
8,1,2.17,104930,24080,2986,1265,65850,172.8,18.33,689,2.336,31.62,29.77,12.97,4.69,10.11,3.72,0.769,1.077
8,2,2.06,103870,23880,3016,1266,65610,171,17.94,690,2.33,31.81,29.35,13.06,4.59,10.02,3.87,0.747,1.115
8,3,2.04,104460,23770,2920,1266,64780,172.6,18.03,690,2.269,31.34,28.74,12.51,4.52,10.05,3.73,0.739,1.09
8,4,2.07,104410,23780,2993,1265,64980,174.7,18.01,687,2.327,31.53,28.98,13.13,4.69,10.31,3.7,0.813,1.076
8,5,2.33,104670,23850,2959,1264,65220,168.5,17.89,699,2.369,31.2,29.67,12.5,4.6,10.22,3.82,0.741,1.071
9,1,2.08,104810,24000,3021,1264.7,65990,174.8,18.17,684,2.3,31.65,30.58,12.95,4.77,10.22,3.63,0.8,1.074
9,2,2,104710,23780,2964,1274,65980,171.3,18.1,690,2.4,31.48,28.7,12.76,4.67,10.24,3.72,0.898,1.098
9,3,1.7,103620,23630,2970,1259,65570,170,17.58,687,2.373,31.18,29.7,12.56,4.68,9.95,3.78,0.803,1.097
9,4,2.13,104510,23460,2895,1263.7,64810,167.6,17.83,691,2.37,31.29,28.93,12.37,4.42,9.99,3.74,0.717,1.049
9,5,2.44,105750,24020,2973,1275,66380,170.4,17.94,691,2.399,31.77,30.11,12.87,4.52,10.35,3.84,0.757,1.175
10,1,2.23,102780,23140,2807,1249,63580,167,17.67,684,2.229,30.19,27.36,12.08,4.29,9.87,3.34,0.703,1.075
10,2,1.76,103440,23310,2856,1251.6,63540,168.1,17.69,676,2.326,30.74,27.38,12.84,4.5,10.11,3.62,0.766,1.126
