Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,0.61,96630,23440,3028,1275.6,66090,169.5,18.2,654,1.99,32.15,28.6,13.54,4.7,10.19,3.85,0.8,1.044
1,2,0.82,98150,23280,2994,1281,65460,174.4,18.07,689,2.27,32.67,30.4,12.78,4.7,9.93,3.8,0.7,1.066
1,3,0.87,99210,23480,2965,1285,65650,168.2,18.11,688,2.16,32.44,30.9,13.17,4.71,10.07,4,0.8,1.094
1,4,0.92,99180,23470,2995,1296.8,66600,179,18.13,697,2.01,32.79,30.8,13.59,4.97,10.33,4.03,0.68,0.989
1,5,0.93,99070,23420,2957,1298.8,65850,169.5,18.07,647,2.13,32.44,29.9,12.5,4.82,10.02,3.54,0.75,1.071
2,1,1.31,100220,23450,2873,1322,63620,168,17.5,666,2.22,31.08,27.9,13.66,4.5,9.94,3.72,0.79,1.096
2,2,1.25,102770,23510,2842,1328.6,64060,176.9,18.07,696,2.22,31.37,27.1,13.35,4.32,9.97,3.6,0.84,1.133
2,3,1.19,102960,23720,2842,1314,64500,166.8,18.51,683,2.32,31.86,28.7,12.85,4.73,10.38,3.71,0.78,1.044
2,4,1.11,103990,23600,2851,1344,64800,177.7,17.91,696,2.34,31.49,28.5,13.3,4.54,10.53,3.61,0.65,1.112
2,5,1.36,104710,23580,2849,1348,63710,162.4,18.08,692,2.15,31.75,27.1,14.1,4.62,10.31,3.36,0.75,1.116
2,6,1,101340,23570,2909,1314,65450,164.2,17.79,692,2.19,32.22,28.6,12.29,4.53,10.39,3.52,0.67,1.056
2,7,1.2,99930,23060,2870,1324,63580,165.4,17.76,655,2.19,30.63,27.9,12.36,4.34,10.09,3.57,0.67,1.061
2,8,1.23,104460,23460,2854,1373,64520,175,18.02,674,2.4,31.75,27.6,13,4.42,10.19,3.64,0.7,1.068
2,9,1.1,103050,23290,2844,1341,64090,163.1,17.85,673,2.08,30.97,29.2,13.5,4.44,10.25,3.37,0.61,1.089
2,10,1.25,101720,23220,2865,1328,64010,169.7,18.17,692,2.21,31.02,26.4,12.6,4.52,10.3,3.61,0.7,1.153
