Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.75,101960,23860,3012,1183.3,65150,171,18.19,690,2.218,31.89,27.2,13.43,4.73,10.59,3.88,0.771,1.133
1,2,1.73,102540,23520,2976,1201.8,64720,172.7,18.4,681,2.294,31.95,27.45,13.15,4.66,10.48,3.81,0.699,1.053
1,3,1.95,101620,23550,3002,1202.9,65690,175.4,18.13,688,2.348,32.47,27.83,13.63,4.86,10.76,3.82,0.764,1.148
1,4,1.91,102760,23540,2973,1211,64930,173.9,18.34,684,2.271,32.04,27.85,13.62,4.86,10.7,3.76,0.701,1.136
1,5,1.85,102150,23800,3006,1202.2,65590,173.3,18.29,677,2.311,32.45,28.98,13.42,4.97,10.82,3.92,0.716,1.13
2,1,1.81,100180,24160,3117,1187.5,67690,182.6,18.63,693,2.256,33.24,29.34,14.26,5.02,11.06,4.19,0.761,1.142
2,2,1.77,99970,23860,3051,1201.3,66900,179.2,18.52,679,2.241,32.8,28.32,13.74,4.87,10.76,3.77,0.737,1.084
2,3,1.65,100120,23970,3076,1195.3,66710,180.3,18.71,692,2.25,32.93,28.68,14.04,4.99,10.9,4.08,0.815,1.075
2,4,1.71,99780,23850,3087,1199,67270,177.6,18.5,683,2.31,33.03,29.33,14.17,5.02,10.82,3.92,0.831,1.053
2,5,1.41,100070,23740,3076,1193,67000,172.1,18.15,691,2.326,32.92,29.27,14.02,4.99,10.98,4.05,0.847,1.124
2,6,1.98,101110,23930,3108,1213,67560,176.5,18.33,700,2.339,33.47,29.19,14.57,5.1,10.96,4.18,0.751,1.087
2,7,1.59,100260,23830,3084,1201.1,67460,182.1,18.1,678,2.32,33.14,29.15,14.27,5.07,10.96,4.02,0.774,1.14
2,8,1.95,100480,23660,3061,1213,66760,173.7,18.19,677,2.342,32.89,28.96,14.02,5.11,10.85,4.01,0.802,1.105
2,9,2.18,100770,23640,3030,1199.8,66560,176.1,18.42,682,2.314,32.57,28.54,13.91,5.08,10.85,3.83,0.737,1.096
2,10,1.77,100410,23630,3047,1209.1,66940,175.3,18.35,678,2.305,32.71,28.66,14.12,5.05,10.78,4.03,0.774,1.171
2,11,1.99,100630,23800,3060,1219.1,67450,179.1,18.27,676,2.353,32.96,29.13,14.16,5.05,10.86,4.12,0.821,1.105
2,12,2,100460,23730,3075,1218.1,67780,178.2,18.33,681,2.276,33.57,29.4,14.53,5.11,10.85,4.23,0.804,1.102
2,13,1.7,100670,23760,3098,1221.7,67720,173.6,18.43,675,2.3,33.68,29.29,14.14,5.17,11.03,3.99,0.755,1.131
2,14,2.13,100890,23700,3077,1216,66840,178.4,18.26,684,2.396,33.18,28.33,14.45,5.06,11.12,4.36,0.734,1.096
2,15,1.92,100380,23540,3036,1217,66850,177.7,18.29,678,2.286,32.75,27.7,14.02,5.06,10.92,4.01,0.814,1.092
2,16,1.63,100050,23660,3067,1215.8,67240,179.5,18.19,670,2.373,33.22,28.47,14.19,5.14,10.81,4.11,0.824,1.068
2,17,1.81,100600,23730,3102,1211.2,67360,174.2,18.26,679,2.344,33.24,28.98,14.14,5.13,11.04,4.12,0.837,1.127
2,18,1.85,100320,23720,3109,1220.8,67560,177.3,18.24,677,2.323,33.45,29.13,13.89,5.12,11.06,3.77,0.781,1.039
2,19,2.01,100250,23780,3120,1213.7,67620,184,18.44,664,2.356,33.56,28.93,14.26,5.23,10.87,4.17,0.778,1.076
2,20,1.58,100160,23560,3103,1220.6,68140,178.7,18.48,678,2.329,32.93,28.62,13.85,5.08,10.94,4.05,0.855,1.091
3,1,1.67,99050,23680,3037,1191.4,66300,175,18.06,670,2.259,32.59,28.36,13.7,4.91,10.82,4,0.779,1.132
3,2,1.73,100190,23650,3039,1209.7,67160,176.6,18.14,683,2.325,32.98,28.03,14.22,4.94,10.75,4.05,0.718,1.108
3,3,1.64,99350,23620,3073,1211.1,67440,178.6,18.33,679,2.246,33.46,29.16,14.07,4.97,10.92,4.1,0.802,1.099
3,4,1.84,100570,23590,3050,1209.6,66870,175.6,18.41,683,2.26,32.69,28.68,14,5.09,10.97,3.82,0.769,1.123
3,5,1.68,100250,23700,3078,1212.9,67730,181.4,18.52,689,2.307,33.72,29.09,14.22,5.07,10.99,3.84,0.789,1.139
4,1,1.74,99870,23980,3154,1208.6,69140,179.4,18.41,667,2.27,34.09,29.21,14.62,5.35,11.01,4.33,0.757,1.141
4,2,1.68,98750,23600,3093,1192.1,67440,175.9,18.24,663,2.246,33.15,28.86,14.01,5.02,10.75,4.05,0.816,1.06
4,3,1.66,100050,23780,3125,1213.5,68420,175.3,18.15,677,2.242,33.68,29.02,14.1,5.08,10.97,4.19,0.775,1.105
4,4,1.44,99630,23900,3122,1218,68990,179.5,18.5,674,2.393,34.12,29.18,14.5,5.12,11.02,3.88,0.844,1.101
4,5,1.65,101640,24100,3123,1215.9,68000,176.7,18.36,676,2.306,34.19,28.74,14.53,5.24,10.93,3.96,0.777,1.13
5,1,1.85,98640,23810,3102,1193.5,67610,176.7,18.28,674,2.202,33.5,29.87,13.85,5.02,10.67,4.07,0.756,1.075
5,2,1.44,99900,23780,3085,1200.9,67620,179,17.88,663,2.293,32.96,29.31,14.18,5.06,10.92,3.83,0.784,1.137
5,3,1.6,99970,23660,3069,1201.3,66850,174,18.37,677,2.251,33.25,30.08,13.77,5.04,10.85,4.23,0.786,1.093
5,4,2.1,100330,23640,3093,1211.6,67560,179,18.22,675,2.27,33,29.45,13.62,5.07,10.78,4.08,0.802,1.106
5,5,1.54,99360,23750,3075,1195.5,67540,178.5,18.08,670,2.224,33.15,29.43,14.5,5.03,10.77,3.94,0.784,1.137
6,1,1.51,100140,24700,3231,1219.7,70250,177.2,18.77,662,2.272,33.98,29.79,13.98,5.16,10.57,4.04,0.828,1.052
6,2,1.67,100800,24240,3141,1223,70170,182,18.34,677,2.24,34.54,29.18,14.42,5.2,11.13,4.07,0.72,1.022
6,3,1.95,98500,25020,3255,1207,69710,179.3,18.91,676,2.23,34.13,30.25,14.23,5.18,10.61,4.12,0.785,0.965
6,4,1.83,98100,25650,3395,1201,70910,185.8,19.42,667,2.14,34.09,32.3,13.85,5.4,10.33,4.42,0.88,0.937
6,5,1.73,100200,24490,3164,1218.4,68650,178.5,18.4,677,2.296,34.02,29.91,14.12,5.19,10.81,3.98,0.836,1.005
7,1,2.21,103870,22700,2762,1255.6,62080,170.2,17.9,662,2.408,30.33,25.27,12.94,4.44,10.51,3.7,0.627,1.186
7,2,2.31,104930,22720,2760,1266.6,61750,165.7,18.14,671,2.511,30.15,24.43,12.68,4.41,10.54,3.62,0.667,1.163
7,3,1.79,104690,22590,2749,1267.6,61980,163.9,18.07,668,2.479,30.27,25.3,13.29,4.45,10.61,3.51,0.723,1.145
7,4,2.18,104900,22520,2719,1264,61260,164.7,17.63,662,2.43,29.83,24.32,12.75,4.44,10.53,3.55,0.645,1.159
7,5,2.18,104610,22650,2757,1263.3,62300,167.3,17.96,668,2.437,30.18,25.19,13.23,4.41,10.47,3.63,0.668,1.155
8,1,1.97,102920,22720,2791,1240.3,62190,167.2,17.89,665,2.389,30.12,25.77,12.98,4.6,10.5,3.27,0.636,1.13
8,2,1.71,103870,22970,2810,1245.8,62460,168,18.23,671,2.317,30.62,25.44,13.13,4.53,10.58,3.42,0.68,1.078
8,3,1.69,103440,22670,2773,1254.7,62280,164.5,17.65,669,2.38,30.42,25.39,12.77,4.32,10.56,3.72,0.662,1.099
8,4,1.79,103120,22630,2751,1255,61780,164.3,18.1,666,2.43,30.21,25.91,12.91,4.41,10.47,3.83,0.636,1.174
8,5,1.92,103900,22670,2781,1260,62670,166.5,17.96,666,2.344,30.44,25.71,13.02,4.57,10.63,3.67,0.677,1.142
9,1,1.74,102760,22760,2822,1238.8,62570,166.1,17.85,670,2.33,30.41,26.07,12.82,4.51,10.59,3.53,0.556,1.137
9,2,1.78,103570,23070,2850,1249,63470,169.5,17.96,675,2.338,30.82,26.03,13.04,4.58,10.59,3.67,0.71,1.129
9,3,1.78,103590,23000,2837,1244.8,62980,163.8,17.86,670,2.303,30.85,25.98,12.8,4.51,10.73,3.75,0.757,1.2
9,4,1.98,103140,22960,2811,1241,62970,165.8,17.8,666,2.288,30.69,26.35,13.19,4.56,10.64,3.56,0.726,1.083
9,5,1.94,103890,22860,2806,1251.1,62670,171.6,17.75,674,2.394,30.97,24.88,13.11,4.65,10.9,3.76,0.645,1.192
10,1,1.78,101660,22660,2836,1230.4,63090,172.7,17.75,661,2.392,31.02,26.06,12.71,4.6,10.48,3.63,0.658,1.141
10,2,1.68,102320,22790,2835,1243.9,63080,168.1,17.78,669,2.381,31,26.19,13.38,4.64,10.65,3.45,0.745,1.173
10,3,1.86,103550,22940,2853,1251.8,63720,166.3,18.16,667,2.382,31.67,26.3,13.24,4.81,10.79,3.73,0.681,1.141
10,4,1.75,103760,22910,2842,1249.9,63280,171.7,17.83,666,2.41,31.3,26.57,13.06,4.65,10.88,3.71,0.745,1.146
10,5,1.94,103650,22870,2842,1255.5,63310,167.1,17.64,670,2.34,31.29,26,13.71,4.74,10.7,3.63,0.702,1.155
