Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.74,104040,22810,2754,1419,61990,167.6,17.85,675,2.3,29.99,23.91,12.6,4.13,10.43,3.52,0.71,1.163
1,2,1.7,104090,22920,2766,1408.6,62170,162.8,17.97,672,2.35,29.58,24.49,12.29,4.3,10.38,3.81,0.7,1.12
1,3,1.63,104480,22610,2717,1428,61210,162.6,18.05,664,2.41,30.43,23.94,12.72,4.17,10.27,3.34,0.64,1.193
1,4,1.91,103960,22460,2705,1420,61320,169.7,17.39,668,2.3,30.07,24.55,12.27,4.18,10.59,3.54,0.62,1.23
1,5,1.44,105080,22660,2707,1422,61270,165.4,17.99,679,2.43,30.63,24.37,12.2,4.2,10.46,3.72,0.6,1.15
2,1,1.63,103310,22490,2728,1400,61490,169.8,17.61,654,2.45,29.77,23.55,12.11,4.1,10.35,3.33,0.59,1.168
2,2,1.62,103100,22570,2726,1402,61330,170.5,18.35,655,2.39,30.1,24.07,13.21,4.05,10.46,3.27,0.62,1.155
2,3,1.62,103870,22370,2706,1418,61270,163.9,18.05,668,2.31,29.92,23.29,12.79,4.16,10.45,3.19,0.65,1.251
2,4,1.88,106390,22830,2736,1430,61210,164.8,18.16,665,2.47,29.92,23.67,12.18,4.18,10.56,3.19,0.63,1.165
2,5,1.78,106050,22690,2689,1443,61040,171.2,17.87,674,2.49,30.16,24.26,12.06,4.13,10.54,3.51,0.571,1.22
2,6,1.85,105120,22440,2719,1426,60580,160.9,17.72,673,2.42,30.01,23.27,13.22,3.97,10.38,3.5,0.63,1.126
2,7,1.7,104800,22360,2668,1422,59930,160.2,17.47,674,2.46,29.64,23.35,12.05,3.73,10.29,3.22,0.61,1.219
2,8,1.71,104460,22410,2683,1414,60150,169.9,17.8,675,2.53,29.43,24.21,12.28,3.85,10.37,3.4,0.8,1.192
2,9,1.76,104270,22700,2707,1414,60730,169.3,17.76,668,2.42,29.91,24.68,12.76,4.1,10.42,3.34,0.75,1.279
2,10,1.74,105340,22590,2710,1418,60560,159.4,17.45,650,2.43,30.14,24.2,11.98,4,10.4,3.72,0.68,1.197
2,11,1.73,105120,22560,2723,1414,60400,159.7,18.13,654,2.4,30.16,24.09,12.6,4.05,10.55,3.57,0.67,1.21
2,12,1.56,104840,22540,2699,1443,60740,170.7,18.06,679,2.52,29.81,23.7,12.69,4.1,10.66,3.41,0.568,1.138
2,13,1.75,105150,22710,2731,1431,60780,166.7,18.02,676,2.32,30.21,24.22,13.26,3.97,10.44,3.61,0.71,1.243
2,14,1.61,106370,22550,2679,1432,60600,170.7,17.78,672,2.37,30.18,25.16,12.56,3.99,10.44,3.71,0.67,1.22
2,15,1.79,104360,22630,2712,1417,61240,160.1,17.66,668,2.47,29.41,23.94,12.37,4.18,10.32,3.52,0.64,1.218
2,16,1.7,106160,22530,2735,1435,60970,164.1,17.93,663,2.35,30.46,24.32,12.51,4.15,10.55,3.56,0.59,1.202
2,17,1.56,106660,22510,2711,1429,60500,170.6,17.51,667,2.42,29.9,23.93,13.22,4.26,10.37,3.52,0.62,1.158
2,18,1.72,106420,22670,2714,1444,60490,163.6,17.53,659,2.44,29.7,24.04,13.59,4.2,10.49,3.42,0.67,1.123
2,19,1.76,105320,22700,2714,1418,60760,162.6,18.03,669,2.38,30.01,24.54,12.36,4.34,10.59,3.31,0.62,1.146
2,20,1.77,105310,22850,2732,1421,60570,165.3,18.12,676,2.31,30.41,24.1,13.34,4.38,10.31,3.71,0.65,1.178
3,1,1.63,103790,22930,2767,1381.1,60840,163.4,18.03,675,2.41,30.3,25.62,13.25,4.63,10.75,3.52,0.61,1.088
3,2,1.47,103950,22860,2748,1387.1,62150,165.2,18.42,693,2.45,30.92,25.98,13.68,4.94,10.57,3.5,0.71,1.151
3,3,1.72,103840,22830,2743,1389,61160,170.8,18.12,686,2.33,30.69,25.81,13.28,4.92,10.43,3.77,0.73,1.202
3,4,1.45,105120,22730,2727,1400.6,61100,175.7,18.26,682,2.52,30.69,25.65,13.18,4.91,10.82,3.68,0.65,1.139
3,5,1.47,106730,22740,2723,1425,61220,166.2,17.5,677,2.55,30.6,25.53,12.37,4.82,10.69,3.55,0.75,1.206
4,1,1.74,102430,22860,2787,1368.3,61880,172,18.29,676,2.35,30.67,25.48,12.84,4.91,10.5,3.63,0.62,1.202
4,2,1.71,102620,22760,2788,1379.8,61530,172.4,18.43,686,2.42,30.63,25.02,13.21,4.86,10.39,3.76,0.71,1.15
4,3,1.49,103500,22710,2762,1395,61780,168.4,18.16,690,2.25,30.97,25.69,13.95,4.9,10.57,3.39,0.59,1.228
4,4,1.76,102940,22750,2774,1390,61590,163.1,18.25,671,2.43,30.8,25.25,13.19,5.06,10.54,3.62,0.64,1.244
4,5,1.66,103450,22960,2792,1383.9,61800,167.5,18.33,691,2.56,30.64,24.83,12.48,4.72,10.74,3.42,0.6,1.208
5,1,1.15,100200,24300,2947,1330,63490,162.9,18.55,640,2.18,32.19,26.4,13.07,5.18,10.3,3.76,0.63,1.137
5,2,1.56,103530,23010,2766,1396,62140,167.1,17.65,684,2.46,30.9,25.2,13.7,4.85,10.61,3.63,0.53,1.087
5,3,1.91,103390,22720,2707,1409,61170,159.5,18.47,722,2.36,30.27,25.02,12.44,4.7,10.83,3.65,0.579,1.198
5,4,1.66,104380,22630,2724,1406,61010,166.7,18.06,683,2.46,30.84,24.41,13.23,4.61,10.62,3.49,0.589,1.219
5,5,1.68,104880,22600,2700,1413,60940,166.4,17.68,677,2.47,30.02,23.92,13.01,4.6,10.55,3.55,0.63,1.151
6,1,1.68,102980,23030,2826,1381,62210,167.8,17.87,688,2.29,30.85,26.49,13.64,4.41,10.46,3.66,0.564,1.2
6,2,1.65,103120,23070,2798,1377,61760,160.3,17.75,665,2.38,30.31,25.47,13.18,4.51,10.71,3.74,0.71,1.154
6,3,1.38,103020,23480,2847,1385,63260,163.1,18.46,674,2.36,31.12,25.89,13.33,4.44,10.65,3.67,0.67,1.186
6,4,1.57,103700,22840,2783,1394,61770,169.7,17.62,664,2.4,30.26,24.27,12.33,4.38,10.55,3.53,0.578,1.201
6,5,1.38,104140,23090,2779,1392,62280,169.7,18.31,682,2.39,30.5,25.22,13.84,4.26,10.68,3.65,0.58,1.168
7,1,1.72,103700,23010,2736,1403,61080,167.9,17.35,677,2.41,30.22,24.98,13.29,4.28,10.44,3.22,0.61,1.116
7,2,1.95,105180,22930,2731,1403,61140,162.5,17.91,702,2.51,29.39,24.64,13.13,4.14,10.63,3.5,0.72,1.151
7,3,1.88,105290,23080,2735,1419,61470,164.4,18.07,659,2.48,30.77,25.42,12.56,4.36,10.68,3.62,0.64,1.267
7,4,1.9,105170,22840,2718,1416,61190,159.4,18.1,671,2.43,29.61,24.61,12.88,4.29,10.53,3.51,0.601,1.165
7,5,1.6,104800,22700,2695,1402,61030,153.2,18.1,683,2.44,29.58,23.91,13.2,4.15,10.32,3.46,0.66,1.185
8,1,1.74,103340,23000,2762,1379.3,61260,166.4,17.11,667,2.32,30.18,24.8,13.2,4.12,10.41,3.9,0.68,1.146
8,2,1.64,104020,22740,2747,1395,61810,163,17.22,673,2.47,29.71,25.2,12.65,4.38,10.53,3.45,0.63,1.189
8,3,1.48,103620,22970,2771,1402,61060,165.8,17.53,669,2.55,29.99,24.8,13.42,4.4,10.68,3.56,0.62,1.212
8,4,1.95,104960,22950,2731,1405,61800,158.7,18.15,681,2.28,30.45,24.89,12.83,4.19,10.66,3.75,0.504,1.179
8,5,1.78,104390,22940,2712,1411,61240,166.1,17.86,691,2.57,29.99,24.63,12.79,4.3,10.73,3.6,0.7,1.199
9,1,0.96,94500,25370,3148,1257,66150,175,18.66,655,2.21,33.43,29.9,13.9,5.03,10.32,3.74,0.68,0.891
9,2,1.37,101200,23560,2890,1351,63410,167.3,18.23,696,2.23,30.99,27,13.48,4.47,10.65,3.6,0.73,1.11
9,3,1.33,98700,24320,2980,1319,64090,166.1,18.09,665,2.11,31.65,28.7,13.5,4.65,10.24,3.99,0.67,1.055
9,4,1.57,102060,22760,2779,1380,61870,171.3,18.39,690,2.26,30.28,25.41,13.54,4.58,10.79,3.58,0.72,1.107
9,5,1.38,102060,22900,2794,1383,62860,170,18.37,674,2.35,31.64,26.93,13.14,4.62,10.82,3.47,0.72,1.08
10,1,1.38,101890,22850,2850,1370,62590,170,18.32,691,2.13,31.04,26.2,13.9,4.62,10.74,3.6,0.65,1.156
10,2,1.54,102980,23190,2834,1376,62790,169.4,18.28,676,2.41,31.77,26.2,13.58,4.65,10.88,3.83,0.74,1.113
10,3,1.29,103200,22960,2820,1383,62440,158.5,17.68,675,2.34,30.74,24.81,13.07,4.57,10.51,3.48,0.64,1.221
10,4,1.5,104230,23280,2856,1382,63200,169.4,17.78,689,2.39,31.74,26.12,13.14,4.74,10.88,3.67,0.655,1.152
10,5,1.29,103070,22940,2822,1374,62140,166.6,17.75,668,2.27,30.71,25.39,13.62,4.63,10.63,3.49,0.72,1.155
11,1,1.49,102950,22920,2833,1370.5,62740,165,17.8,669,2.41,30.23,25.02,13.06,4.4,10.38,3.63,0.55,1.206
11,2,1.7,103410,23030,2815,1380.3,62350,167.6,17.64,674,2.5,30.32,24.68,12.92,4.6,10.61,3.9,0.59,1.235
11,3,1.39,103420,22820,2796,1380.3,61810,165.5,17.77,660,2.49,30.26,25.53,12.87,4.64,10.53,3.57,0.56,1.176
11,4,1.49,103540,23070,2829,1385,62470,168.2,17.47,681,2.32,31.19,25.78,13.65,4.87,10.76,3.77,0.72,1.186
