Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.15,104800,22740,2641,1355,60180,165.4,17.61,672,2.24,29.59,26.04,12.77,4.19,10.24,3.51,0.719,1.151
1,2,2.14,104400,22800,2651,1360.6,61650,167.1,18,684,2.3,29.5,25.43,12.65,4.14,10.18,3.39,0.771,1.159
1,3,2.29,105500,22960,2669,1367.6,60950,162.4,17.65,677,2.27,29.39,25.34,11.87,4.23,10.13,3.26,0.718,1.165
1,4,1.93,105000,22810,2656,1373,61120,168.5,17.63,668,2.25,29.68,25.2,12.5,4.27,10.02,3.56,0.614,1.214
1,5,1.99,103700,22580,2635,1351.6,60500,161.3,18.11,664,2.41,30.27,25.63,12.75,4.33,10.62,3.71,0.719,1.246
2,1,2.29,104800,22930,2674,1354.8,60760,169,17.75,649,2.24,28.84,24.37,11.78,4,9.74,3.44,0.659,1.12
2,2,2.26,103400,22730,2642,1352.5,60630,163.9,17.62,657,2.28,29.25,25.09,12.31,4.01,9.87,3.54,0.652,1.201
2,3,2.19,102160,22570,2639,1350,60380,164.4,17.65,666,2.288,30.33,26.19,13.16,4.39,10.65,3.86,0.724,1.203
2,4,2.11,104060,22920,2674,1359,61050,161.2,17.56,670,2.2,28.83,24.78,11.93,4.18,9.8,3.44,0.638,1.15
2,5,2.4,103800,22810,2662,1358,60990,165,17.97,673,2.34,30.18,25.67,13.11,4.37,10.39,3.79,0.691,1.191
2,6,1.96,102610,22440,2638,1343.5,60500,163.7,17.65,665,2.28,29.92,25.88,12.69,4.35,10.43,3.91,0.711,1.244
2,7,2.14,102700,22660,2638,1352.6,60970,172.3,17.53,682,2.27,30.02,25.76,13.25,4.28,10.44,3.74,0.677,1.262
2,8,2.11,103600,22760,2640,1364,61130,163.5,17.82,672,2.33,29.64,25.81,12.51,4.29,10.2,3.85,0.687,1.247
2,9,2.11,103600,22370,2642,1364,60730,167,17.64,666,2.17,29.27,25.83,12.93,4.38,10.34,4.06,0.695,1.257
2,10,1.79,104180,22640,2658,1380,61250,162.7,18.12,657,2.3,29.08,25.01,13.09,4.07,10.1,3.53,0.628,1.176
2,11,1.91,104080,22740,2673,1366.9,60750,163.8,17.73,665,2.33,29.31,26,13.18,4.21,10.42,3.74,0.696,1.196
2,12,2.09,104850,22870,2656,1367.5,61070,166.8,17.85,675,2.38,29.79,25.58,13.3,4.26,10.14,3.77,0.653,1.196
2,13,2.12,103140,22490,2665,1378,60610,166.1,17.78,673,2.33,29.66,25.35,13.3,4.44,10.41,3.99,0.701,1.251
2,14,1.91,103950,22660,2680,1376.2,60870,166.3,17.97,664,2.25,29.64,25.27,13.04,4.25,10.07,3.69,0.633,1.219
2,15,1.65,104030,22730,2687,1376.7,60870,166.2,17.62,676,2.266,29.49,25.81,13.48,4.31,10.44,3.86,0.747,1.236
2,16,2.07,104600,22860,2667,1383,60730,169,17.63,665,2.28,29.43,25.49,12.95,4.28,10.18,3.65,0.671,1.21
2,17,1.83,104060,22840,2667,1379,61200,163.3,17.73,687,2.23,29.68,25.36,12.83,4.22,10.3,3.62,0.683,1.223
2,18,1.81,103110,22730,2645,1367,60960,166.5,17.75,658,2.34,29.99,26.27,12.95,4.43,10.6,3.83,0.687,1.21
2,19,2.06,103920,22870,2670,1369,61300,167.1,18.04,675,2.35,29.96,25.84,12.89,4.37,10.32,3.65,0.661,1.245
2,20,1.9,102280,22520,2649,1364.4,60900,165.2,18.2,674,2.32,30.1,26.83,12.78,4.44,10.84,3.79,0.704,1.245
3,1,1.62,101520,22430,2632,1342.9,59390,161.5,17.57,671,2.25,29.45,24.82,11.9,4.26,10.25,3.25,0.625,1.248
3,2,1.85,102170,22660,2636,1362.7,60670,165.5,17.78,666,2.24,29.71,25.43,11.73,4.19,10.11,3.27,0.686,1.208
3,3,2.29,103100,22450,2638,1363.8,60080,164.7,17.68,670,2.35,28.92,25.52,11.31,4.42,10.23,3.19,0.642,1.249
3,4,1.8,104880,22730,2649,1385.5,61260,162.6,17.27,676,2.15,28.76,24.65,11.11,4.11,9.86,3.05,0.678,1.114
3,5,1.97,103770,22590,2638,1365,60140,161.5,17.72,674,2.31,29.09,25,11.43,4.2,10.28,3.27,0.62,1.22
4,1,1.95,104410,23190,2721,1379.7,62210,169.7,17.55,651,2.23,29.87,26.63,11.31,4.27,10.24,3.14,0.69,1.159
4,2,1.97,103390,22960,2725,1373.3,62890,173.3,17.84,668,2.359,30.52,27.01,11.5,4.34,10.49,3.28,0.705,1.189
4,3,1.77,102890,22720,2702,1368.4,62090,170.3,17.87,687,2.3,30.7,26.27,11.67,4.6,10.82,3.46,0.702,1.262
4,4,2.03,103250,22870,2714,1367.2,62350,171.6,17.66,670,2.39,30.24,26.32,11.6,4.39,10.5,3.28,0.71,1.191
4,5,1.82,102070,22650,2690,1358.7,62060,176.4,17.93,683,2.34,30.31,26.37,11.39,4.45,10.51,3.33,0.662,1.215
5,1,1.97,102600,22790,2693,1347.5,61500,167.2,17.92,669,2.24,30.15,25.25,11.18,4.28,10.35,3.46,0.639,1.183
5,2,1.85,103760,22880,2701,1360,61440,167.8,17.98,671,2.31,29.67,25.45,11.05,4.31,10.13,3.18,0.631,1.129
5,3,2.02,103090,22650,2672,1348.7,61000,161.3,17.56,658,2.15,29.46,25.18,11.6,4.25,10.2,3.17,0.649,1.172
5,4,2.08,102600,22660,2659,1356,61560,169,17.75,684,2.26,29.93,26.45,12.38,4.46,10.57,3.36,0.667,1.23
5,5,1.84,103830,22780,2697,1376,61540,167.6,17.81,675,2.271,29.97,26.34,12.1,4.39,10.36,3.39,0.696,1.181
6,1,1.67,103300,22890,2690,1333.1,61280,166.5,17.37,672,2.29,29.74,26.04,12.17,4.28,10.41,3.7,0.693,1.175
6,2,2.4,102500,22750,2680,1343.4,61720,169.1,17.81,669,2.31,29.76,26.38,12.7,4.33,10.35,3.76,0.705,1.171
6,3,2.09,102300,22560,2660,1338,61390,166.3,18.18,658,2.29,31.09,26.94,12.6,4.5,10.83,3.82,0.744,1.283
6,4,2.22,102740,22690,2664,1340.7,60960,167.4,17.6,669,2.42,30.57,26.22,12.73,4.32,10.55,3.63,0.725,1.234
6,5,2.17,101650,22470,2679,1339,60430,173.4,17.92,670,2.41,30.69,27.36,13.35,4.64,10.8,4.13,0.709,1.291
7,1,1.91,104440,23020,2706,1356.1,61400,172.2,17.97,662,2.16,29.83,25.92,12.83,4.32,10.2,3.62,0.666,1.192
7,2,1.83,103900,22830,2686,1348.6,61290,169.9,17.74,666,2.21,30.38,25.87,12.67,4.34,10.54,3.8,0.656,1.209
7,3,2.27,103030,22530,2674,1354,61580,170.7,17.51,673,2.5,30.88,26.53,13.24,4.5,10.96,4.08,0.775,1.302
7,4,2.12,103810,22530,2654,1353.3,61320,171.9,17.83,673,2.34,30.24,25.66,12.99,4.41,10.71,3.98,0.698,1.252
7,5,1.82,104010,22800,2694,1352.8,61490,165.9,17.47,679,2.32,30.19,25.99,12.78,4.39,10.45,3.9,0.656,1.221
8,1,2.21,104300,22920,2707,1345.7,61570,166.5,17.5,664,2.29,29.61,26.14,12.35,4.22,10.16,3.59,0.669,1.15
8,2,2.02,105000,23160,2711,1339,61560,161.5,17.58,655,2.25,29.03,25.82,12.44,4.14,10.1,3.48,0.679,1.123
8,3,2.07,105800,22780,2658,1352,60390,173.5,17.38,662,2.329,29.31,25.8,12.41,4.29,10.14,3.72,0.649,1.2
8,4,2.17,104900,22660,2655,1352,60610,169,17.32,677,2.37,29.04,24.69,12.29,4.23,9.89,3.64,0.645,1.136
8,5,2.3,105400,22850,2694,1357,61100,164.8,17.75,668,2.18,29.44,25.54,12.39,4.31,10.25,3.81,0.723,1.16
9,1,2.13,104900,23060,2736,1334,61240,165.5,17.59,656,2.19,29.34,25.7,12.28,4.25,10.25,3.93,0.703,1.213
9,2,2.16,103200,22610,2701,1349.2,61740,165.1,17.88,688,2.35,30.79,27.47,13.05,4.44,10.55,4.15,0.695,1.191
9,3,2.18,104400,22700,2693,1345.4,60920,164.3,17.63,677,2.45,30.27,26.81,13.32,4.57,10.51,3.9,0.728,1.202
9,4,2.45,103800,22750,2692,1338.9,60980,167.2,17.24,653,2.25,29.53,25.81,12.63,4.23,10.08,3.7,0.698,1.216
9,5,2.11,104500,22910,2722,1343.7,61070,167.4,17.7,650,2.23,30.18,25.68,12.3,4.35,10.17,3.78,0.724,1.159
10,1,1.59,99470,22750,2817,1304.7,63300,178.5,17.72,665,2.18,31.78,28.58,12.61,4.58,10.4,3.68,0.786,1.161
10,2,1.88,101700,23180,2812,1322.2,63100,175.1,17.76,649,2.39,31.46,27.54,12.75,4.63,10.48,3.74,0.721,1.173
10,3,2.27,103100,23560,2886,1336.4,65130,178.3,17.81,672,2.25,31.12,28.18,12.13,4.49,10.12,3.36,0.72,1.091
10,4,2.03,103240,23260,2831,1350.2,63810,167.9,17.21,662,2.28,30.63,27.72,12.17,4.48,10.36,3.62,0.736,1.104
10,5,1.84,102700,23220,2786,1344.8,63250,170.4,18,672,2.31,31.37,28.06,12.78,4.52,10.67,3.46,0.761,1.133
11,1,1.93,100440,22970,2819,1327.6,63270,169.9,18.02,675,2.28,31.37,27.77,12.53,4.52,10.43,3.62,0.778,1.188
11,2,1.74,100710,23010,2798,1323.2,63810,172.8,17.95,672,2.27,31.85,28.6,12.16,4.68,10.65,3.54,0.787,1.182
11,3,1.92,101000,22870,2781,1326.1,63280,167.4,17.98,696,2.36,31.73,28.02,12.63,4.62,10.64,3.42,0.756,1.164
11,4,2.02,104040,23260,2781,1355.2,63170,173,17.89,667,2.23,30.56,26.63,12.04,4.42,10.43,3.34,0.711,1.151
11,5,1.67,103500,23080,2753,1361,62760,168.1,17.8,655,2.28,31.28,28.18,12.5,4.61,10.87,3.37,0.704,1.238
12,1,1.75,101330,22790,2756,1337.2,62570,175.1,18.26,656,2.31,31.24,27.58,12.53,4.55,10.67,3.49,0.742,1.24
12,2,1.84,104120,23150,2749,1357.4,62970,168.7,17.52,673,2.28,30.74,27.04,12.32,4.26,10.31,3.52,0.786,1.082
12,3,1.94,101270,22820,2745,1335.1,62450,172.2,17.98,673,2.42,31.57,28.73,12.98,4.68,10.96,3.55,0.753,1.256
12,4,1.97,103800,23210,2791,1356.1,63060,174.8,17.86,666,2.29,31.06,26.59,12,4.34,10.23,3.36,0.722,1.169
12,5,2.15,103530,23030,2779,1340.4,63840,170.2,17.92,668,2.28,31.91,27.35,12.59,4.65,10.86,3.56,0.693,1.221
13,1,1.48,96950,23140,2955,1285.5,66110,178.3,18.34,673,2.38,34.58,32.19,14.57,5.33,11.49,4.31,0.906,1.229
13,2,1.95,98970,23470,2964,1304.2,66620,180.6,17.89,666,2.23,33.56,30.65,13.29,5.04,10.94,4.03,0.839,1.107
13,3,1.75,99650,23270,2949,1308.2,66140,178,18.04,665,2.257,33.6,29.99,13.46,4.98,10.84,4.14,0.835,1.15
13,4,1.66,100760,23500,2957,1320.9,66430,175.2,17.96,656,2.24,32.9,29.96,13.38,4.94,10.7,3.88,0.833,1.133
13,5,1.6,99700,23220,2926,1313.4,66000,177.5,18.1,675,2.43,33.49,30.44,13.38,4.98,10.96,4.14,0.868,1.192
14,1,1.71,99400,23510,3010,1305.7,67100,181.6,18.3,667,2.18,34.19,30.86,13.94,4.93,10.94,4.08,0.797,1.178
14,2,2,97860,23260,2978,1302.9,66960,178.4,18.3,696,2.41,34.96,32.12,14.7,5.29,11.47,4.59,0.901,1.228
14,3,2.14,99040,23160,2964,1322.9,66310,179.8,18.12,676,2.44,33.76,30.83,13.54,5.08,11.23,4.39,0.884,1.222
14,4,1.9,102040,23630,2982,1329.3,66700,180.3,17.96,645,2.13,32.51,29.87,13.66,4.71,10.47,4.2,0.753,1.1
