Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.19,104930,22690,2625,1354,60300,166.2,17.86,688,2.326,29.62,24.32,12.2,4.195,10.21,3.53,0.65,1.196
1,2,1.83,104310,22520,2591,1354.6,59410,163.3,17.53,670,2.341,29.23,24.04,11.83,4.11,10.18,3.43,0.694,1.197
1,3,2.54,105050,22400,2589,1363.2,59030,164.5,17.78,669,2.337,29.44,24.58,11.99,4.15,10.26,3.56,0.629,1.19
1,4,2.02,104990,22470,2581,1372,59140,165.5,17.9,683,2.349,29.68,24.45,11.91,4.04,10.15,3.43,0.629,1.245
1,5,2.15,106320,22680,2612,1378,59350,170.4,18.18,679,2.344,29.82,24.72,12.68,4.135,10.37,3.63,0.689,1.169
2,1,1.8,104970,22870,2630,1359.8,59000,163.9,17.65,665,2.349,29.77,25.79,12.39,4.24,10.33,3.52,0.689,1.184
2,2,2.18,105400,22900,2653,1376,58940,167.8,17.64,675,2.42,30.12,25.8,12.46,4.388,10.69,3.6,0.722,1.163
2,3,1.91,105500,22710,2612,1370,58230,169.2,18.04,683,2.421,29.72,25.77,12.25,4.15,10.35,3.45,0.675,1.195
2,4,2.09,107400,23090,2651,1398,59040,175.3,17.8,679,2.436,30.17,25.83,12.75,4.36,10.3,3.56,0.708,1.223
2,5,1.89,106000,22610,2622,1384,58500,168.6,17.63,685,2.356,29.93,25.31,12.47,4.21,10.53,3.55,0.729,1.192
2,6,1.86,106300,22630,2589,1389,58350,167.1,17.9,682,2.325,30.08,25.98,12.23,4.25,10.43,3.57,0.678,1.244
2,7,2.32,106590,22400,2578,1375,57560,165.8,17.54,677,2.355,29.9,25,12.04,4.28,10.33,3.43,0.72,1.194
2,8,1.72,105550,22400,2575,1372,57150,166.2,17.46,681,2.396,29.23,25.33,12.05,4.19,10.35,3.51,0.728,1.218
2,9,1.82,107300,22800,2623,1385,58160,170.6,17.85,683,2.305,29.79,25.87,12.35,4.31,10.52,3.66,0.678,1.204
2,10,2.25,108600,22870,2612,1400,58130,170.2,17.92,685,2.34,30.01,24.68,12.08,4.26,10.62,3.54,0.652,1.221
2,11,1.99,106770,22610,2601,1386,58160,165.6,17.59,680,2.438,29.64,24.59,12.33,4.23,10.35,3.57,0.679,1.207
2,12,1.78,106390,22550,2583,1375,57540,168.2,17.94,672,2.357,29.29,24.69,11.95,4.15,10.26,3.34,0.649,1.216
2,13,2.38,106800,22630,2593,1385,57950,168.9,17.89,679,2.404,29.76,25.97,12.21,4.19,10.52,3.54,0.673,1.213
2,14,2.26,105030,22540,2605,1358,58320,170,17.76,679,2.34,29.88,26.04,12.17,4.24,10.35,3.51,0.702,1.237
2,15,1.92,106050,22560,2621,1360,58560,167.4,17.88,671,2.3,29.87,25.34,12.44,4.19,10.34,3.5,0.676,1.206
2,16,2.27,106800,22560,2596,1381,58230,163.4,17.97,675,2.36,29.54,25.71,12.26,4.23,10.49,3.48,0.69,1.189
2,17,1.79,106300,22420,2580,1376,58370,165.9,18.09,670,2.305,29.62,25.36,11.79,4.25,10.05,3.48,0.664,1.266
2,18,2.42,106910,22810,2626,1387.8,59170,164.9,17.53,666,2.352,29.63,25.55,12.46,4.21,10.49,3.62,0.682,1.233
2,19,1.97,105810,22510,2606,1369,59870,169.2,17.95,681,2.35,29.78,24.92,12.37,4.23,10.28,3.46,0.693,1.2
2,20,1.61,106560,22490,2595,1361.6,59760,165,17.75,668,2.392,29.3,25.39,11.82,4.093,10.19,3.39,0.637,1.18
3,1,2.12,104160,22830,2652,1353.3,61810,173.3,17.79,662,2.3,29.87,24.79,12.4,4.24,10.27,3.62,0.698,1.161
3,2,1.66,104040,22540,2627,1337.2,61920,169.5,18.05,679,2.294,29.78,24.83,11.77,4.26,10.2,3.59,0.706,1.142
3,3,2.1,104670,22810,2661,1369.1,62860,170.5,17.83,670,2.36,30.03,25.85,12.41,4.29,10.49,3.58,0.673,1.241
