Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.15,104960,22770,2614,1348.8,61270,168.4,17.98,676,2.292,29.77,24.39,12.4,4.14,10.04,3.33,0.647,1.194
1,2,2.12,105730,22800,2629,1352,60590,167.3,17.52,679,2.36,30.03,24.86,12.08,4.17,10.15,3.4,0.641,1.149
1,3,1.75,106210,22560,2594,1345,60110,164.2,17.74,687,2.31,29.69,24,12.35,4.189,10.28,3.59,0.644,1.182
1,4,2.39,105970,22560,2592,1345,60630,166.8,17.73,686,2.43,29.85,24.78,12.14,4.22,10.18,3.38,0.608,1.159
1,5,2.08,106800,22740,2626,1370,61470,170.5,17.4,693,2.34,29.85,24.91,11.99,4.25,10.52,3.46,0.673,1.164
2,1,1.76,105200,22960,2709,1362,62550,165.4,17.83,675,2.41,30.31,26.6,12.48,4.4,10.4,3.62,0.638,1.196
2,2,2.24,106200,23120,2724,1360,62950,173.7,17.96,688,2.32,30.97,26.02,12.67,4.32,10.36,3.62,0.654,1.227
2,3,2.25,105950,23080,2731,1363,62750,170.6,17.68,687,2.35,30.62,26.21,12.24,4.31,10.42,3.5,0.632,1.21
2,4,1.61,106400,22920,2706,1362,62060,169.3,17.59,698,2.37,30.74,26.07,12.39,4.47,10.24,3.5,0.694,1.201
2,5,1.95,107300,22780,2670,1354,61500,173.5,17.72,688,2.41,30.29,25.93,11.6,4.27,10.39,3.65,0.644,1.188
2,6,1.61,108500,22800,2670,1420,61550,168.1,17.98,696,2.305,30.34,25.99,12.17,4.23,10.41,3.69,0.709,1.22
2,7,2.37,109000,23140,2709,1439,62620,171.1,18.13,690,2.446,30.63,25.67,12.42,4.39,10.5,3.65,0.667,1.259
2,8,1.94,106100,22700,2659,1350,60630,169.5,17.96,675,2.346,30.17,24.93,12.47,4.24,10.11,3.61,0.616,1.2
2,9,2.34,104400,22350,2627,1351,60790,174.7,17.59,679,2.34,29.96,24.76,11.67,4.19,9.95,3.33,0.633,1.14
2,10,1.82,106500,22780,2672,1355,60530,173.6,17.91,683,2.46,29.45,24.5,12.1,4.22,10.1,3.52,0.664,1.226
2,11,2.32,105200,22560,2672,1364,60990,167.5,17.71,686,2.38,30.12,25.65,11.94,4.25,10.12,3.41,0.653,1.162
2,12,2.32,106600,22730,2680,1340,60620,171.9,18.07,693,2.49,29.63,25.44,11.91,4.27,10.06,3.42,0.634,1.202
2,13,2.31,105900,22590,2680,1365,62070,171.1,17.83,690,2.36,29.91,25.58,12.42,4.24,10.27,3.44,0.641,1.192
2,14,1.89,105300,22520,2662,1332,60410,168.8,17.98,674,2.28,29.6,25.36,11.77,4.2,10.06,3.42,0.602,1.195
2,15,2.65,105800,22680,2682,1390,61720,166,17.5,679,2.35,29.86,25.42,12.29,4.23,10.29,3.52,0.586,1.195
2,16,1.76,106100,22630,2667,1348,60730,167.8,18.14,686,2.35,29.89,25.51,12.26,4.19,10.11,3.5,0.717,1.261
2,17,2.66,105600,22540,2663,1344,60760,171.8,17.88,681,2.4,29.65,25.5,11.95,4.23,10.16,3.53,0.641,1.227
2,18,1.76,104910,22490,2659,1343,60460,168.2,17.83,676,2.38,30.06,25.7,12.15,4.3,9.95,3.4,0.654,1.175
2,19,1.99,105400,22650,2673,1368,60690,177,17.92,697,2.38,29.96,24.98,12.07,4.22,10.06,3.43,0.653,1.154
2,20,1.95,104800,22500,2670,1353,60870,171.6,17.98,686,2.32,30.36,25.21,11.88,4.22,10.04,3.48,0.708,1.2
3,1,1.71,103580,22790,2683,1306,60490,169.1,17.89,677,2.19,29.77,25.36,12.12,4.06,9.88,3.38,0.655,1.09
3,2,2.01,103900,22930,2708,1346.3,61510,170.8,17.56,674,2.44,30,25.91,11.78,4.21,10.17,3.54,0.637,1.151
3,3,2.16,104730,22800,2677,1328.1,60960,171.1,17.76,669,2.3,29.93,25.69,11.71,4.2,10.13,3.43,0.69,1.173
3,4,1.54,103870,22850,2686,1364.8,61560,169.6,18.1,679,2.351,29.67,25.21,11.98,4.28,10.22,3.62,0.641,1.172
3,5,1.83,104210,22910,2689,1361,61290,167,17.81,675,2.297,29.66,25.18,12.13,4.2,9.97,3.43,0.673,1.189
4,1,1.8,102510,22620,2688,1299.9,60900,169.1,17.82,678,2.254,30,25.9,12.43,4.19,10,3.38,0.689,1.161
4,2,1.78,103350,22920,2724,1314,61990,174,17.88,682,2.22,30.56,25.57,11.83,4.32,10.05,3.43,0.66,1.171
4,3,2.38,103980,23010,2754,1345.8,62090,171.9,17.71,687,2.2,30.27,25.82,12,4.35,10.13,3.66,0.69,1.162
4,4,1.76,103510,23030,2745,1342,62550,167.6,17.73,679,2.22,30.01,25.64,12.15,4.34,9.96,3.54,0.663,1.127
4,5,1.96,103840,23150,2755,1342.9,62640,171.7,17.93,684,2.391,30.81,26.11,11.82,4.5,10.24,3.61,0.713,1.144
5,1,1.85,102590,22800,2702,1325,61790,165,17.57,673,2.29,30.2,25.58,12.15,4.24,9.95,3.39,0.664,1.083
5,2,2.14,103330,22940,2715,1306,61630,176.3,18.27,699,2.36,30.1,25.63,12.17,4.36,10.07,3.63,0.666,1.11
5,3,1.9,104320,22910,2691,1323,61200,169.7,17.79,681,2.27,30.07,26.21,11.94,4.22,10.05,3.55,0.683,1.141
5,4,2.23,103880,23020,2697,1374,62280,166.6,17.79,669,2.26,30.44,25.92,11.73,4.35,10.28,3.52,0.649,1.203
5,5,2.49,104340,22790,2689,1328,61160,166.6,18,684,2.29,30.27,25.54,11.67,4.26,10.03,3.63,0.656,1.131
6,1,2.4,103740,22980,2724,1297,61710,173.1,17.73,680,2.259,30.89,25.73,12.3,4.3,9.87,3.45,0.715,1.152
6,2,2.12,103730,23110,2759,1328,62740,174.4,18.07,690,2.32,30.63,26.07,12.22,4.5,10.11,3.87,0.714,1.153
6,3,2.35,104800,23150,2744,1329,62310,168.4,18.17,672,2.43,30.91,26.73,11.97,4.36,10.32,3.52,0.73,1.119
6,4,2.66,104770,23020,2725,1315.5,61810,171.8,18.05,683,2.38,30.16,25.4,12.77,4.28,10.15,3.38,0.634,1.185
6,5,2.48,104500,23090,2725,1321,61980,171.8,17.74,686,2.36,30.48,25.02,11.52,4.42,10.05,3.71,0.67,1.206
7,1,2.12,103100,23290,2794,1318,62950,171.3,17.9,682,2.25,30.99,26.46,11.99,4.43,10.2,3.87,0.743,1.17
7,2,3.24,104000,23250,2792,1329,62950,171.5,18.27,685,2.27,30.95,27,12.01,4.45,10.2,3.8,0.678,1.181
7,3,2.06,103720,23270,2811,1370.3,64150,173,17.99,678,2.21,30.93,26.64,12.39,4.56,10.37,3.71,0.769,1.169
7,4,2.37,104400,23300,2790,1329,63560,172.1,17.49,684,2.2,30.84,26.62,12.22,4.4,10.08,3.74,0.705,1.21
7,5,1.71,104940,23190,2779,1346,63300,178.5,17.97,690,2.35,30.93,26.58,12.74,4.43,10.45,3.8,0.673,1.168
8,1,2.7,103300,23130,2763,1298,62450,177.1,17.82,690,2.19,30.59,26.02,12.31,4.33,10.01,3.69,0.658,1.11
8,2,2.33,105300,23340,2766,1345,63070,173.3,17.92,687,2.16,30.98,26.57,11.73,4.47,10.37,3.78,0.737,1.177
8,3,2.11,104900,23380,2778,1358,63090,166,17.81,675,2.28,30.71,26.13,12.47,4.46,10.38,3.65,0.671,1.191
8,4,1.65,104420,23190,2769,1337,62770,169.4,18.11,682,2.31,30.77,26.49,12.32,4.27,10.26,3.93,0.732,1.106
8,5,2.03,104240,23070,2762,1323,62230,174.4,17.72,675,2.26,30.91,26.21,12.55,4.43,10.33,3.59,0.69,1.192
9,1,1.8,102590,23380,2870,1298,63570,176,18.13,682,2.24,31.06,27.57,12.04,4.44,9.95,3.75,0.729,1.117
9,2,1.69,103710,23380,2823,1347.4,63880,173.3,18.28,685,2.35,30.9,27.7,12.5,4.43,10.27,3.9,0.748,1.115
