Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.83,107700,23240,2672,1314,59920,170.2,17.13,639,2.24,27.86,23.43,10.4,3.98,9.23,3.15,0.583,1.046
1,2,1.94,105600,22870,2634,1328.2,60600,169.9,17.02,665,2.14,28.64,23.97,11.55,4,9.55,3.26,0.609,1.125
1,3,1.72,104000,22440,2608,1327,60450,170.6,17.74,660,2.27,28.96,23.86,10.58,4.17,9.52,3.21,0.57,1.092
1,4,1.7,105700,22670,2620,1320,60250,170.8,17.63,672,2.29,29.12,23.5,11.25,4.01,9.59,3.22,0.702,1.091
1,5,1.95,105840,22620,2616,1323,60280,162.9,17.37,672,2.28,29.13,22.8,10.38,4.06,9.52,3.44,0.621,1.061
2,1,1.7,102560,22310,2604,1322.1,60670,176,17.61,675,2.09,28.75,24.21,11.33,4.13,9.58,3.16,0.653,1.156
2,2,1.88,105540,22930,2638,1316.3,60420,158,17.33,675,2.11,28.75,24.36,11.04,3.91,9.62,3.1,0.628,1.104
2,3,1.83,105300,22700,2612,1325.1,60850,160.9,17.42,674,2.27,28.33,24.12,10.73,3.84,9.52,3.39,0.627,1.104
2,4,1.8,107000,22930,2625,1320.7,60070,159.9,16.85,648,2.18,27.91,22.98,10.84,3.9,9.55,3.14,0.627,1.066
2,5,1.89,106400,22630,2607,1335.5,60100,167.6,17.29,673,2.2,28.52,23.51,11.42,3.93,9.56,3.46,0.594,1.114
2,6,2.16,105210,22620,2616,1328.6,60290,169.6,17.45,660,2.28,28.88,23.06,11.2,3.93,9.56,3.24,0.575,1.125
2,7,1.76,105700,22680,2607,1319.9,60170,171,17.21,673,2.23,28.73,23.09,10.75,4.02,9.25,3.22,0.549,1.042
2,8,1.88,106040,22800,2614,1323.3,60620,170.1,17.19,654,2.23,28.99,23.14,10.72,3.98,9.42,3.24,0.649,1.058
