Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.82,105700,23550,2724,1304.1,61040,169.4,17.84,658,2.2,28.62,23.7,11.58,4.15,9.51,3.24,0.668,1.05
1,2,1.81,101700,22750,2672,1328,62910,168.4,17.83,692,2.32,30.5,25.1,12.4,4.17,10.31,3.9,0.686,1.216
1,3,1.77,99500,22300,2607,1352,62930,176,18.34,685,2.29,31.58,25.03,12.31,4.34,10.58,3.82,0.697,1.282
1,4,1.85,103300,22760,2684,1320,61830,171.2,17.82,667,2.12,29.35,25,11.27,4.02,10.08,3.32,0.622,1.198
1,5,1.99,104600,23360,2708,1306,60940,168.7,17.56,656,2.14,29.29,23.55,11.43,4.08,9.81,3.13,0.7,1.091
2,1,1.93,104700,23240,2693,1289,60160,163.5,17.22,645,2.03,28.49,24.49,10.75,3.97,9.24,3.08,0.669,1.091
2,2,2.07,104000,23210,2677,1304,61330,169.9,17.35,668,2.19,29.31,25,11.14,4.01,9.75,3.63,0.684,1.097
2,3,1.85,101400,22540,2617,1328,61900,168.1,18.1,677,2.25,29.07,24.3,11.56,4.07,9.66,3.38,0.655,1.223
2,4,1.97,101500,22380,2627,1334,62160,169.2,17.82,676,2.28,30.15,24.8,11.56,3.86,9.79,3.55,0.724,1.176
2,5,1.56,103200,22690,2649,1320,61420,165.9,17.36,654,2.13,29.86,25.1,11,4.03,9.56,3.38,0.651,1.175
2,6,1.8,105000,23060,2681,1301,61020,170,17.13,643,2.28,28.28,24.4,11.53,3.94,9.35,3.08,0.617,1.123
2,7,1.86,103200,22620,2655,1322,61330,166.9,17.45,690,2.08,28.84,23.93,11.03,3.83,9.86,3.38,0.783,1.155
2,8,1.85,104300,23000,2666,1311,60660,170.4,17.71,687,2.17,29.18,24,11.6,3.98,9.94,3.49,0.632,1.185
2,9,1.92,102400,22610,2644,1333,61960,166.3,17.89,659,2.24,28.92,24.64,11.83,4.11,9.9,3.22,0.711,1.231
2,10,1.77,101900,22640,2657,1327.5,62010,164.5,17.75,669,2.18,30.14,25.54,12.66,4.05,10,3.61,0.674,1.243
2,11,1.83,105200,22910,2675,1314,60880,169.5,17.61,656,2.27,29.25,24.5,11.32,4.07,9.67,3.28,0.577,1.177
2,12,1.82,103600,22730,2690,1318,61040,169.3,17.64,673,2.28,29.29,25.32,11.6,4.01,9.76,3.57,0.668,1.192
2,13,1.69,103900,22940,2675,1310,60980,168.3,17.57,661,2.31,29.46,25.2,11.46,3.79,9.65,3.24,0.625,1.053
2,14,1.97,104400,22760,2675,1325,61130,169.3,17.38,667,2.28,29.34,25.4,11.17,3.97,9.56,3.41,0.624,1.135
2,15,1.53,102700,22740,2647,1301.7,61150,172.5,16.73,675,2.3,29.19,24.02,11.12,4.12,9.59,3.34,0.666,1.138
2,16,1.91,102800,22710,2669,1320,61140,170.1,17.26,672,2.2,29.5,25.1,10.89,3.98,9.71,3.39,0.68,1.14
2,17,1.69,99540,22030,2624,1354,62830,172,17.96,662,2.39,31.28,25.7,12.8,4.26,10.46,3.85,0.693,1.273
2,18,1.82,104600,22930,2684,1319,61240,171.5,17.23,649,2.28,29.02,23.94,10.76,3.91,9.61,3.26,0.611,1.092
2,19,1.91,100200,22220,2649,1330,61320,172,18.2,696,2.28,30.33,25.4,11.84,4.24,10.03,3.41,0.678,1.212
2,20,1.83,99500,22040,2638,1340,62490,173.3,18.07,683,2.42,30.47,25.5,12.21,4.35,10.29,3.49,0.697,1.239
3,1,1.84,101570,22470,2631,1303.1,60280,160.5,17.51,692,2.16,29.55,24.8,11.77,4.04,10,3.57,0.645,1.17
3,2,1.95,100590,22370,2612,1313.6,61220,167.5,18.28,648,2.32,30.15,23.99,11.61,4.21,9.94,3.46,0.617,1.21
3,3,2.06,101520,22560,2623,1330.6,61210,174,17.97,681,2.28,30.39,24.63,12.23,3.93,9.84,3.25,0.59,1.205
3,4,1.85,103660,22960,2661,1319,60340,168.8,17.6,651,2.23,29.05,24.34,11.52,4.11,9.53,3.18,0.639,1.09
3,5,2.1,102200,22480,2635,1315.6,61190,170.7,17.35,679,2.24,30.1,24.87,12,4.02,9.74,3.32,0.677,1.089
4,1,2,102900,22760,2663,1313,61180,172,17.54,672,2.25,29.47,25.6,11.68,4,9.91,3.43,0.732,1.148
4,2,1.89,102600,22700,2654,1317,61670,158.3,17.93,673,2.13,30.37,24.9,11.75,3.96,9.85,3.52,0.667,1.14
4,3,1.75,102500,22590,2642,1337,62100,172,16.98,699,2.27,30.42,24.8,12.36,4.28,10.08,3.77,0.667,1.149
4,4,1.9,103400,22620,2652,1325,61690,167,17.42,677,2.28,30.14,25,12.5,4.1,9.85,3.55,0.634,1.167
4,5,1.73,102900,22710,2657,1321,61550,174.8,17.74,689,2.19,30.09,25.9,12.61,4.2,9.97,3.19,0.663,1.136
5,1,1.99,98930,22050,2595,1350,62900,184,18.13,672,2.36,30.23,25.5,13.09,4.37,10.21,3.64,0.74,1.282
5,2,2.21,103200,22860,2649,1325,61060,161.7,17.64,673,2.26,30.02,23.6,11.75,4.11,9.65,3.35,0.633,1.142
5,3,1.96,105000,23010,2656,1348.1,61010,165.3,17.98,678,2.23,29.49,23.45,11.46,4.2,9.86,3.28,0.634,1.12
5,4,2.12,102000,22270,2599,1374,61350,167.7,18.54,707,2.39,30.91,25.3,12.37,4.35,10.52,3.51,0.715,1.297
5,5,2.04,103000,22640,2633,1350,61770,173.6,17.76,685,2.45,29.03,24.4,11.36,4.25,10.31,3.53,0.698,1.226
6,1,1.79,104000,22910,2664,1310,61320,176,18.08,685,2.25,29.26,25.5,11.23,4.09,9.87,3.44,0.62,1.106
6,2,1.81,101700,22540,2645,1315,61410,171.2,18.15,707,2.25,30.16,25.1,11.93,4.43,10.37,3.64,0.605,1.172
6,3,1.6,104000,22650,2648,1314,61080,171,17.41,665,2.2,29.51,24.5,11.92,4.12,9.66,3.46,0.687,1.085
6,4,1.84,104600,22950,2650,1322,60990,170,17.75,678,2.4,30.16,26.2,11.69,4.15,10.15,3.45,0.666,1.151
6,5,1.61,98200,21740,2598,1343,62120,183,17.85,709,2.41,31.3,26,12.86,4.31,10.58,3.84,0.726,1.204
7,1,1.84,104200,23210,2692,1309,61180,167,17.64,664,2.09,29.25,24.3,11.54,4.29,9.85,3.29,0.646,1.065
7,2,1.59,99780,22430,2660,1330,62220,173.5,18.67,704,2.28,31.12,26.8,12.54,4.35,10.6,3.72,0.728,1.196
7,3,1.77,102500,22830,2665,1319,61920,170,17.51,663,2.24,30.9,26.2,11.91,4.46,10.47,3.61,0.715,1.241
7,4,1.63,105400,23270,2712,1312,61520,166.5,17.33,659,2.12,29.13,24.4,11.77,4.25,9.74,3.57,0.588,1.082
7,5,1.54,100600,22500,2641,1346,62300,177.6,17.84,693,2.18,30.78,25.9,12.04,4.3,10.01,3.67,0.64,1.175
8,1,1.62,101000,22460,2654,1325,61940,175,18.25,696,2.18,30.84,25.1,11.96,4.28,10.47,3.76,0.715,1.155
8,2,1.81,104500,22910,2675,1315,60870,167,18.15,697,2.35,29.77,24.8,11.71,4.14,9.69,3.34,0.756,1.119
8,3,1.45,104000,22900,2671,1320,61950,158.5,17.58,665,2.17,30,25.4,11.99,4.09,10.01,3.53,0.618,1.111
8,4,1.7,99500,21850,2607,1353,62250,175,17.94,695,2.12,30.98,24.9,12.91,4.5,10.54,3.77,0.81,1.238
8,5,1.6,106400,23410,2691,1322,61720,167,17.99,690,2.23,30.26,25.6,12.15,4.24,10.04,3.64,0.709,1.161
9,1,1.79,102610,22530,2583,1361,62720,160,18.25,702,2.34,29.97,23.01,11.91,4.31,10.37,3.48,0.638,1.233
9,2,2.09,105740,23060,2627,1347,61700,168.9,18.02,679,2.24,30.04,24.8,11.64,4.13,10.16,3.68,0.616,1.148
9,3,1.8,103410,22630,2605,1350.8,61780,163.6,17.81,681,2.36,30.43,24.7,12.36,4.24,10.09,3.65,0.617,1.16
9,4,2.01,105300,22860,2606,1355,62110,165.6,17.93,672,2.32,30.34,24.4,11.75,4.15,10.21,3.54,0.688,1.134
9,5,1.84,105440,22960,2611,1362,61640,162.8,17.93,684,2.42,29.61,24.42,11.82,4.21,9.91,3.6,0.635,1.197
10,1,1.46,96700,22530,2748,1301.2,65410,176.5,17.64,701,2.08,32.46,28,12.55,4.69,10.76,4.01,0.767,1.228
10,2,1.34,97790,22510,2755,1294,64730,175,18.26,683,2.15,32.72,26.8,12.18,4.59,10.56,4,0.759,1.146
10,3,1.65,97110,22200,2697,1313,64900,180,18.29,668,2.32,31.91,27.2,12.48,4.55,10.4,4,0.807,1.183
10,4,1.34,100300,23020,2765,1302,64030,168.1,17.75,685,2.15,31.87,26.1,12.64,4.54,10.55,3.61,0.723,1.084
10,5,1.5,99790,22740,2707,1316,64040,174.6,17.43,686,2.23,31.13,27.3,12.7,4.32,10.54,3.63,0.794,1.171
11,1,1.38,96820,22640,2818,1292.7,65600,178,17.85,711,2.2,32.2,28.3,13.85,4.76,10.51,3.93,0.765,1.267
11,2,1.26,101740,23350,2851,1287.9,63980,173.7,17.78,692,2.2,30.44,26.38,11.9,4.67,10,3.74,0.703,1.102
11,3,1.24,99730,23060,2844,1279.9,64750,174.4,18.16,692,2.18,31.12,28.2,12.21,4.41,10.23,3.93,0.828,1.084
11,4,1.36,99590,22850,2811,1285,64640,182,18.17,671,2.24,31.02,27.5,11.6,4.3,10.21,3.5,0.707,1.111
11,5,1.28,100260,22840,2806,1294,64450,179,18.11,684,2.27,31.93,27.6,11.86,4.55,10.09,3.68,0.775,1.092
12,1,1.3,97070,22820,2813,1270,65840,174.7,18.3,696,2.22,32.21,28,11.52,4.5,10.4,3.85,0.714,1.114
12,2,1.29,98120,22980,2841,1277.7,65070,179.6,18.02,671,2.19,32.12,28.4,12.8,4.41,10.43,4.02,0.77,1.085
12,3,1.1,95270,22400,2799,1290,65630,172.9,18.72,694,2.24,32.68,27.4,13.33,4.82,10.69,3.99,0.86,1.239
12,4,1.24,98400,22890,2864,1286.7,66140,185,17.67,662,2.09,31.89,28.5,12.57,4.73,10.4,3.9,0.745,1.123
12,5,1.28,96080,22440,2816,1278.3,65530,170.6,18.19,664,2.04,32.26,27.82,13.07,4.74,10.56,4.21,0.692,1.172
