Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.61,105500,24600,1623,684,68660,118.3,128.9,529.2,1.045,30.14,31.09,13.06,2.565,4.75,2.32,0.871,1.025
1,2,2.8,105320,24610,1623,691.1,69030,119.4,129.8,519.5,1.034,30.37,31.48,13.09,2.66,4.788,2.28,0.853,1.05
1,3,2.4,104790,24420,1628,693.9,68860,119.5,129.7,524.6,0.999,30.77,31.51,13.3,2.622,4.81,2.4,0.882,1.114
1,4,2.47,105810,24580,1625.7,695.3,68960,117.8,129.5,520.2,1.055,30.48,32.06,13.27,2.592,4.824,2.35,0.853,1.059
1,5,2.46,106420,24700,1637,699.9,68620,120.5,127.9,521.9,1.024,30.31,31.52,12.94,2.632,4.765,2.33,0.848,1.039
2,1,2,106290,24710,1677,698.6,69940,120.9,129.9,527,1.061,31.32,32.77,12.98,2.681,4.78,2.39,0.824,1.045
2,2,2.22,106420,24650,1684,705.8,69690,122.9,129,528.6,1.035,31.23,32.77,13,2.679,4.696,2.4,0.918,1.024
2,3,2.01,105450,24780,1697,702.5,70350,122.6,128.5,522.1,0.984,31.67,32.93,13.61,2.72,4.798,2.26,0.855,1.028
2,4,2.19,106060,24820,1676.1,703.1,70160,122.3,130.5,521.6,1.048,31.43,33.36,13.2,2.764,4.871,2.45,0.855,1.024
2,5,2.07,106640,24750,1682,699.9,70020,117.1,128.8,511.2,1.016,31.39,33.02,13.33,2.629,4.767,2.34,0.817,1.045
2,6,2.27,107250,24630,1670.3,710.3,69470,120.9,129.3,525.7,1.006,31.24,31.98,12.82,2.679,4.764,2.26,0.863,1.046
2,7,2.25,108540,24810,1669,708.4,69330,122.3,129.4,529.1,1.022,31.16,32.25,12.97,2.664,4.661,2.35,0.848,1.065
2,8,2.03,106320,24720,1679.3,700.5,70340,123.2,130.2,520.6,1.029,31.59,32.68,12.92,2.75,4.789,2.43,0.846,1.055
2,9,1.99,105270,24760,1702,699.6,71130,124.1,129.5,522.7,1.052,31.53,32.98,13.8,2.792,4.796,2.47,0.864,1.058
2,10,2.08,106350,25110,1718,697.8,71080,125.4,130.5,523.2,1.036,31.94,34.1,13.55,2.726,4.84,2.46,0.885,1.06
2,11,2.04,105300,24790,1704,692.1,70660,122.4,129.8,527.6,1.047,31.49,33.38,13.33,2.735,4.707,2.35,0.861,1.017
2,12,1.97,107180,24790,1691,692.2,70080,119.8,129.4,524,1.072,31.53,33.09,13.65,2.696,4.726,2.46,0.84,1.025
2,13,1.99,108060,25050,1700.1,690.6,69900,122,130.7,519.8,1.029,31.51,32.78,13.01,2.716,4.768,2.41,0.893,1.077
2,14,2.18,108890,25060,1687,698.8,69480,119.8,130,523.3,1.078,31.07,32.74,13.27,2.656,4.705,2.33,0.86,1.049
2,15,2.13,107530,24820,1685,683.7,69020,117.9,128.8,515.5,1.019,30.81,33.02,12.95,2.683,4.668,2.25,0.867,1.022
2,16,2.23,106880,25000,1693,686.8,69470,121.2,127.7,519.9,1.055,31.06,32.53,13.5,2.67,4.754,2.36,0.853,1.066
2,17,1.91,105390,25180,1731.8,673.1,70880,124.4,128.4,517.3,1.026,31.61,33.35,12.82,2.713,4.725,2.29,0.92,1.016
2,18,1.8,103880,25050,1733,670.2,71800,125.1,131.1,526.5,1.052,32.21,34.34,13.82,2.807,4.824,2.55,0.93,1.031
2,19,1.93,103290,24780,1708,666.4,70330,121.5,128.5,522,1.011,31.68,34.19,13.19,2.74,4.706,2.43,0.92,0.994
2,20,2.06,105350,25070,1712,674.9,70200,120.7,128.7,522.4,1.038,31.61,33.59,13.01,2.715,4.682,2.31,0.885,1.043
3,1,1.77,100850,25100,1729,649.8,71120,124.8,129.4,516.8,1.059,31.33,33.17,13.11,2.774,4.77,2.41,0.887,1.006
3,2,1.81,101760,25030,1715,648.1,70150,123.4,129.1,522,1.047,31.42,32.81,13.44,2.648,4.636,2.29,0.886,1.006
3,3,2.16,101840,24820,1692,652,70140,123.2,129.7,524,1.054,31.45,32.56,13.18,2.767,4.82,2.44,0.889,1.043
3,4,2,100990,25030,1732,640.3,70750,121.9,128.2,516.1,1.011,31.36,32.98,12.96,2.703,4.65,2.41,0.9,1.026
3,5,1.87,100120,24850,1704,642.3,70590,120.8,130.5,528.6,1.059,31.59,32.81,13.39,2.734,4.83,2.47,0.859,1.053
5,1,1.96,100680,24720,1691,645.3,69720,120,126.9,509,1.013,30.65,31.95,12.82,2.689,4.59,2.35,0.873,0.958
5,2,1.95,101200,25070,1706,644,70160,120.5,128.6,521,1.055,30.98,32.01,13.15,2.736,4.697,2.17,0.893,0.986
5,3,1.92,101000,24840,1676,649.7,69790,120.6,128.4,514.8,1.047,30.83,31.81,12.46,2.659,4.74,2.25,0.821,1.043
5,4,2.14,101600,24710,1674,653.3,69410,122,128.7,523.5,1.023,30.84,31.35,13.11,2.656,4.82,2.23,0.861,1.037
5,5,2.2,101630,24720,1672,655.9,69690,124.1,128.3,516.9,1.016,30.69,31.83,13.06,2.681,4.7,2.33,0.849,1.088
6,1,2.06,103360,24630,1677,649.1,68670,119.8,127.3,514.7,1.031,30.28,32.55,12.54,2.678,4.66,2.31,0.858,1.007
6,2,1.95,102920,24600,1677,657,69520,122.2,130.4,520.9,1.019,30.89,32.77,13.11,2.73,4.78,2.44,0.878,1.031
6,3,2.05,105070,24930,1694,661.1,69020,120.4,127.9,516.9,1.069,30.56,32.35,12.55,2.689,4.64,2.42,0.918,1.057
6,4,1.99,104990,24890,1690,659.8,69040,118,127.8,514.4,1.002,30.56,32.48,13.15,2.669,4.67,2.29,0.809,1.041
6,5,2.14,103530,24520,1680,663.4,68800,120.8,128.7,521.5,1.062,30.61,32.39,12.67,2.628,4.65,2.4,0.9,1.018
7,1,2.2,104980,24750,1684,667.7,69530,117.8,128.7,523.2,1.001,30.94,32.38,13.05,2.721,4.77,2.47,0.819,1.049
7,2,2.01,104170,24510,1666,666.2,69220,119.3,128.2,523,1.003,31.01,32.9,13.03,2.701,4.78,2.36,0.837,0.987
7,3,2.23,104000,24520,1673,669.3,69130,121.2,128.6,514.6,1.052,31.05,32.64,13.29,2.685,4.75,2.38,0.854,1.025
7,4,2.14,106330,24820,1681,676.6,69530,122.1,130.2,525.7,1.073,31.64,32.35,13.45,2.697,4.81,2.45,0.855,1.043
7,5,2.3,103200,24810,1679,660.5,69450,119.8,127.8,512.7,0.994,30.69,31.77,12.65,2.654,4.66,2.24,0.849,0.994
8,1,2.17,105730,24920,1671,676.8,69120,121.6,129.7,523.3,1.044,31.04,31.85,13.24,2.725,4.8,2.23,0.813,1.042
8,2,2.17,106800,24850,1663,680,68320,117.7,127.4,517.4,1.04,30.23,31.9,12.65,2.539,4.737,2.27,0.816,1.068
8,3,2.35,106990,25100,1668,677.9,68740,123.8,127.7,513.6,1.056,30.67,31.5,13.1,2.653,4.8,2.38,0.824,1.017
8,4,2.29,105680,25040,1677,674.2,68750,121.1,128.4,522.8,1.023,30.51,31.59,12.89,2.573,4.77,2.3,0.79,1.025
8,5,2.49,105380,24950,1657,673.6,68210,119.9,128.4,509.8,1.011,29.94,31.17,12.9,2.575,4.682,2.35,0.79,1.022
9,1,2.24,103720,24660,1664.6,672.8,68980,120,129.3,511,1.071,30.56,31.63,13.02,2.609,4.735,2.36,0.825,1.006
9,2,2.24,104140,24690,1668,673.7,68840,120.8,128.9,521.6,1.058,30.53,31.41,12.8,2.618,4.759,2.36,0.812,1.071
9,3,2.29,106220,24760,1659,680.7,68480,119.2,127.6,520,1.082,30.23,31.13,12.69,2.622,4.622,2.3,0.848,1.057
9,4,2.36,105080,24880,1673,679.7,69380,119.7,128.4,518.7,1.025,30.52,32.09,12.88,2.527,4.656,2.37,0.825,1.036
9,5,2.23,104510,24750,1664,684.5,68820,121.5,128.5,518.4,1.049,30.61,31.53,13.02,2.665,4.681,2.43,0.78,1.025
10,1,2.03,106200,24600,1644,682.8,68590,121.1,129.6,526.6,1.039,30.47,31.21,12.85,2.605,4.75,2.29,0.778,1.042
10,2,2.15,106650,24950,1663,675.9,68790,118.4,127.6,508,1.087,30.25,31.2,12.83,2.588,4.68,2.23,0.788,1.018
10,3,2.29,105510,24570,1642,675.3,68470,119.4,127.3,514,1.024,29.87,30.69,12.62,2.6,4.74,2.24,0.82,1.052
10,4,2.29,106700,24980,1668,676.1,69090,122.5,128.2,514.9,1.093,30.48,31.74,12.77,2.612,4.75,2.28,0.85,1.084
10,5,2.25,105190,24680,1643,670.6,68470,122.7,127.7,511.2,1.027,29.8,30.78,12.37,2.608,4.65,2.08,0.826,1.051
11,1,2.67,105600,24550,1620,676.4,68250,120.9,128.6,517,1.031,30.03,30.45,12.57,2.588,4.71,2.25,0.765,1.051
11,2,2.39,104530,24330,1621,669.7,68420,119.7,128.1,522,1.031,29.67,30.84,12.83,2.545,4.74,2.25,0.818,1.045
11,3,2.36,105310,24350,1633,671.2,68540,119.4,126.9,512.3,1.031,29.74,31.2,13.03,2.578,4.64,2.3,0.828,1.091
11,4,2.18,104800,24480,1621,666.3,67990,117.4,128.1,510.2,1.037,29.76,30.56,12.79,2.525,4.69,2.24,0.843,1.07
11,5,2.39,105210,24610,1632,668.6,68540,120,126.6,517.5,1.025,30.11,30.94,12.69,2.601,4.72,2.17,0.801,1.088
12,1,2.3,104310,24730,1638.3,670.7,69030,121.6,128.7,525.8,1.022,30.31,31.47,12.82,2.554,4.785,2.27,0.827,1.074
12,2,2.56,103870,24480,1627,671.4,68440,121.4,129.3,525.4,1.033,30.14,31.15,12.98,2.542,4.724,2.36,0.891,1.055
12,3,2.27,103330,24320,1616,668.8,69120,119.6,128.1,516.7,1.058,30.17,31.84,12.7,2.569,4.768,2.33,0.84,1.046
12,4,2.48,102590,24540,1640,667.1,69660,118.5,129.5,514.2,1.03,30.12,31.19,13.11,2.663,4.75,2.33,0.867,1.057
12,5,2.56,105520,24790,1635,674.5,68250,117.6,127.2,509.7,1.045,29.98,30.6,12.8,2.584,4.724,2.27,0.841,1.061
13,1,1.52,98400,26360,1869,635.6,75440,129.5,133.8,518.4,1.017,32.89,36.38,13.9,2.975,4.87,2.62,0.922,0.957
13,2,1.5,99000,26490,1871,631.4,74700,129.7,130.7,511,1.023,32.71,35.94,13.72,2.918,4.73,2.48,0.963,0.919
13,3,1.41,98310,26050,1850,633.6,74210,130,132.3,517.3,1.004,32.48,36.31,13.57,2.888,4.772,2.51,0.958,0.931
13,4,1.31,98980,25550,1790,642.4,73800,124.1,131.5,521,1.011,32.37,35.53,13.74,2.919,4.84,2.56,1.022,0.954
13,5,1.59,99090,26210,1838,640.1,74470,127,132.7,522.4,1.004,32.73,36.31,13.76,3.029,4.91,2.61,0.974,0.97
14,1,1.47,102360,24920,1748,662.3,71050,124.2,129.1,520.8,1.031,31.36,33.94,13.35,2.786,4.77,2.37,0.864,1.024
14,2,1.62,102020,25090,1752,660,70900,121.6,129,514.9,1.029,31.44,33.79,13.04,2.766,4.615,2.5,0.887,0.986
14,3,1.94,102530,24620,1706,677.2,70780,124.2,129.7,520,1.05,31.06,34.23,13.34,2.787,4.93,2.4,0.922,0.998
14,4,1.79,104170,25120,1756,674.7,71730,123.3,128.7,532.7,1.034,31.5,34.3,13.23,2.788,4.704,2.34,0.913,1.014
14,5,1.78,105480,25020,1717,689.5,70180,121.2,128.4,520.8,1.026,30.99,33.48,13.56,2.731,4.78,2.4,0.914,1.039
14,6,2.2,100150,23880,1661,696,71170,127.3,133.8,539,1.004,31.13,34.41,14,2.946,5.18,2.7,1.073,1.157
14,7,2.24,101700,23840,1646,710.9,70430,123.8,135,544,1.028,31.38,34.17,14.81,2.867,5.22,2.66,1.004,1.216
14,8,2.31,102900,24270,1681,704.4,70890,124.2,133.2,553,1.043,32.23,34.85,14.71,2.91,5.19,2.57,0.966,1.179
14,9,2.2,103400,24290,1681,699.2,70640,123,132.8,540.7,1.071,32.04,34.35,14.15,2.9,5.19,2.54,0.97,1.11
14,10,2.19,102140,24260,1680,703.9,71080,127.6,133.4,537,1.007,32.21,34.82,14.89,2.968,5.06,2.55,0.918,1.164
14,11,1.99,102500,24210,1680.1,706.1,70910,126.1,133.2,549,0.967,32.26,34.21,13.84,2.859,5.09,2.55,1.006,1.126
14,12,2.31,102870,24250,1676,706.2,70580,128.7,133.2,534,1.063,31.79,33.94,13.99,2.838,5.1,2.54,0.901,1.158
14,13,2.27,105540,24760,1692.8,695.3,69340,125,130.9,527,1.046,31.54,33.11,13.46,2.745,4.85,2.41,0.939,1.066
14,14,2.09,104940,24590,1681,698.5,69540,121.5,131,533,1.006,31.19,32.68,13.23,2.692,4.83,2.39,0.924,1.11
14,15,2.17,103270,24380,1669,703.7,69850,120.8,131.4,528,1.02,31.11,33.74,13.31,2.69,4.92,2.42,0.975,1.131
14,16,2.03,104440,24590,1673,703.3,69710,123.9,132,538,1.062,31.31,32.44,13.51,2.862,4.95,2.37,0.898,1.096
14,17,2.2,103690,24530,1683,696.5,69670,122.2,131.7,524,1.088,31.32,32.65,14.17,2.748,4.9,2.35,0.857,1.13
14,18,2.26,105840,24780,1680,699.7,69140,121.2,130.3,524,1.02,31.29,33.81,13.88,2.752,4.93,2.38,0.862,1.075
14,19,2.21,103050,24360,1672,700.4,69810,122,131,531,1.057,31.06,32.57,13.76,2.741,4.85,2.48,0.866,1.09
14,20,2.29,103850,24590,1684,696.9,69660,119.4,130.4,519,1.036,31.15,32.3,12.65,2.723,4.84,2.31,0.841,1.047
15,1,1.47,100290,25390,1798,648.1,72480,121.7,132.1,523,1,32.44,34.33,13.67,2.838,4.79,2.48,0.907,0.991
15,2,1.45,100900,25490,1808,646.3,72290,126.2,131.8,522,1.006,32.29,34.21,13.69,2.9,4.88,2.5,0.94,0.979
15,3,1.43,101690,25500,1783,649,71220,121,128.7,514.5,1.002,31.66,34.47,13.2,2.779,4.66,2.4,0.828,1.027
15,4,1.47,102500,25520,1786,647.6,70840,124.3,130,520.4,1.018,32.02,33.7,13.47,2.789,4.71,2.44,0.849,0.967
15,5,1.63,100990,25400,1792,650.3,72360,126.4,130.7,522,0.994,32.01,33.55,12.96,2.841,4.78,2.49,0.875,0.956
16,1,1.31,99610,26830,1932,631.4,74850,140.9,135.1,539,1.007,33.88,36.7,13.39,2.979,4.7,2.47,0.98,0.923
16,2,1.13,99200,27370,1974,620.4,75600,129.6,133.3,526,0.995,33.56,37.7,13.33,2.99,4.66,2.49,0.941,0.886
16,3,1.27,100630,26020,1832,635,72790,125.8,130.5,528,0.987,32.46,34.64,13.72,2.92,4.72,2.39,0.854,0.904
16,4,1.38,100600,26340,1878,630.2,73040,126,131.1,515,0.957,32.53,35.72,13.18,2.92,4.68,2.51,0.92,0.921
16,5,1.48,101940,25810,1819,642.5,72790,126.7,130.7,524,0.979,32.67,35.43,12.89,2.777,4.81,2.46,0.869,0.966
17,1,1.13,97990,25600,1880,629.5,73960,123,130,520,0.965,32.71,37.77,13.32,2.889,4.69,2.45,0.97,0.949
17,2,1.32,100100,26000,1881,628.7,74520,126.2,128.7,509,0.977,32.96,38.09,13.27,2.894,4.75,2.55,1.029,0.944
17,3,1.27,100250,25980,1886,633,74530,127.8,129.7,516,0.982,33.43,37.29,13.55,2.89,4.86,2.56,0.993,0.991
17,4,1.26,99940,25820,1869,638.1,74330,129.6,129.3,517.9,0.961,32.84,37.18,13.96,2.859,4.84,2.52,1.047,0.974
17,5,1.24,98640,25780,1875,632.8,74040,122.1,129.7,521,1.01,32.7,36.76,13.65,2.928,4.73,2.55,0.967,0.969
18,1,1.52,101430,25480,1797,638.3,71620,122.4,128,517,1.018,31.43,34.01,12.99,2.752,4.63,2.38,0.97,1.007
18,2,1.4,101950,25730,1820,639.2,72140,128.7,129.5,516,0.99,32.27,34.92,13.29,2.85,4.65,2.44,0.904,0.981
18,3,1.5,101590,25390,1772,648.3,71800,123.1,128,522,0.987,31.63,34.33,13.03,2.717,4.68,2.44,0.851,0.978
18,4,1.63,101670,25310,1774,654.9,71750,121.6,130.1,528,1.046,31.87,34.21,13.39,2.757,4.72,2.43,0.866,0.987
18,5,1.4,101360,25320,1788,652.7,72480,125.3,130.1,536,0.991,31.85,35.46,13.72,2.803,4.81,2.47,0.924,1.036
19,1,2.09,103750,24750,1663,674.5,68530,119,128.4,518,1.066,30.16,31.96,12.85,2.611,4.632,2.2,0.82,1.023
19,2,2.39,104240,24700,1653,679.2,68830,118.3,128.4,519.9,1.065,29.87,31.76,12.4,2.58,4.62,2.18,0.879,1.051
19,3,2.24,105460,24760,1652,680,67920,121.9,127.6,522,1.062,29.88,31.59,12.86,2.535,4.64,2.24,0.854,1.049
19,4,2.43,105040,24860,1662,684.9,68480,119.3,129,515,1.021,30.11,31.91,12.59,2.572,4.605,2.26,0.891,1.047
19,5,2.26,106410,24960,1670,676.1,67560,117.1,126.9,504.3,1.048,29.84,32.07,12.72,2.52,4.576,2.29,0.79,1.029
20,1,2.05,104650,25100,1711,668.1,69090,118.6,126.9,509,1.014,30.03,32.87,12.67,2.595,4.56,2.4,0.85,1.033
20,2,1.9,104530,24970,1705,676.6,69520,119.6,127,512.9,1.041,30.58,32.08,12.59,2.647,4.504,2.3,0.93,1.042
20,3,1.95,102020,24680,1689,674.5,69780,123.4,129.2,513,0.989,30.51,32.71,13.21,2.7,4.75,2.45,0.908,0.992
20,4,2.02,104780,25120,1698,681.7,69040,120.3,127.8,519,1.026,30.51,33.04,13.04,2.595,4.64,2.47,0.89,0.993
20,5,1.97,102930,24960,1707,670,69390,118.7,127.5,516,0.988,30.48,32.07,12.73,2.697,4.64,2.33,0.837,1.015
21,1,1.85,101800,26270,1810,654.9,71280,123.4,130.2,508,0.985,31.49,34.6,13.21,2.744,4.55,2.34,0.897,0.948
21,2,2.08,100700,25360,1734,671.5,70550,122.2,131.1,516,1.018,30.99,32.38,12.91,2.762,4.59,2.38,0.851,0.968
21,3,1.86,99530,26290,1839,658.2,72300,119.2,132.3,517,1.017,31.28,34.8,12.91,2.76,4.55,2.49,0.902,0.985
21,4,2.08,105040,24830,1683,678.8,67840,119.5,128.6,514,0.998,29.97,31.61,12.41,2.565,4.54,2.24,0.835,1.033
21,5,1.84,102800,25790,1738,677.5,69720,120.7,131.2,510,1.013,31.06,33.26,12.95,2.671,4.51,2.35,0.826,0.989
22,1,1.86,102840,24920,1709.6,668.9,68770,119,126,509,1.041,30.42,32.96,12.64,2.643,4.6,2.32,0.88,1.037
22,2,2.16,104430,25120,1702,673.7,68420,120.6,127.3,508.5,1.045,30.55,33.02,12.9,2.609,4.56,2.29,0.952,0.993
22,3,2.04,104260,25090,1701,678,68940,120.9,127.5,521,1.025,30.4,32.3,12.81,2.53,4.59,2.28,0.84,0.989
22,4,2.06,103430,24900,1703,677.3,69100,115.1,126.3,508,1.018,30.28,32.8,12.22,2.683,4.57,2.19,0.793,1.009
22,5,1.96,103030,24930,1707,672.6,68830,121.7,126.6,515,0.984,30.69,32.65,12.93,2.639,4.68,2.09,0.895,1.035
23,1,2.22,103250,24880,1681.2,656.3,68580,119.7,128.3,522,1.019,30.28,31.8,12.64,2.648,4.6,2.21,0.893,1.029
23,2,1.94,103050,24630,1672,662.2,68110,115.5,127.5,512,1.037,29.97,31.66,12.42,2.553,4.557,2.26,0.816,1
23,3,1.96,103430,24610,1671,664.3,68780,118.8,128.3,512,1.039,30.17,31.61,12.94,2.586,4.71,2.17,0.855,1.002
23,4,1.85,101390,24400,1664,658.4,68850,123.7,128.6,526,1.022,30.03,32.86,12.47,2.628,4.69,2.28,0.865,1.055
23,5,2.07,104070,24760,1671.9,664.3,68180,121,126.9,517,0.983,30,33.02,12.57,2.546,4.61,2.28,0.857,1.008
24,1,2.01,102030,24730,1687,648.5,68890,121.3,128.3,496,1.038,30.3,31.99,12.91,2.665,4.64,2.22,0.85,1.016
24,2,2.08,102200,24880,1699,651.8,69400,120.6,129.7,516,0.982,30.55,32.38,13.22,2.722,4.7,2.26,0.915,1.026
24,3,2.27,101910,24610,1677,648.4,69070,121.9,127.9,505,1.041,30.11,32.08,12.73,2.648,4.59,2.34,0.933,1
24,4,2.04,102890,24800,1695,654.1,69030,123.4,129.5,511,1.05,30.63,32.99,13.14,2.584,4.75,2.28,0.907,1.016
24,5,2.02,103130,24910,1688,646.3,68270,120,126.9,508,0.982,30.21,31.77,12.57,2.633,4.61,2.29,0.794,0.971
24,6,1.98,101760,24510,1679,651.9,68930,117.7,128.6,512,1.031,30.4,31.79,12.95,2.702,4.72,2.48,0.859,1.027
24,7,2.03,101280,24580,1677,650.4,68860,119.4,128.4,514,1.05,30.35,32.95,12.69,2.573,4.67,2.28,0.87,1.063
24,8,2.17,101190,24590,1686,644.4,69090,124.9,128.9,505,1.053,30.6,32.03,12.62,2.696,4.64,2.38,0.882,1.023
24,9,1.71,101580,24570,1685,645.5,68650,120.1,127.9,510.6,1.024,30.62,32,13.4,2.717,4.74,2.43,0.925,1.048
24,10,1.96,100530,24570,1689,645,69720,123.1,129.9,510.6,1.011,30.65,33.53,12.99,2.663,4.85,2.39,0.937,1.069
24,11,1.98,102320,24740,1686,660,69710,121,130.6,517,1.039,31.06,32.21,13.38,2.69,4.76,2.37,0.947,1.046
24,12,2.11,101840,24810,1687,653.2,69240,119.7,128.9,506,1.031,30.76,32.21,12.96,2.662,4.6,2.39,0.853,1.028
24,13,2.19,100770,24690,1688,654.1,69480,120.9,130,535,1.041,31.08,32.75,13.12,2.68,4.75,2.28,0.851,1.053
24,14,1.83,100390,24400,1677,657.8,70050,120.1,129.3,526.8,1.083,30.83,32.33,13.02,2.788,4.77,2.42,0.851,1.069
24,15,2,100510,24570,1686,661,70160,126,131,528,1.022,30.96,32.38,13.3,2.721,4.85,2.39,0.911,1.02
24,16,1.94,99090,24320,1665,662.8,69570,120.5,129,518,1.018,30.37,32.79,13.09,2.687,4.73,2.38,0.896,1.055
24,17,1.98,101190,24680,1678,660.8,69840,123.1,129,524.9,1.061,30.37,32.35,13.05,2.628,4.69,2.48,0.876,1.037
24,18,2.03,101050,24500,1673,664.4,69860,119.3,129.4,518,1.011,30.57,32.55,12.56,2.726,4.68,2.25,0.881,1.057
24,19,2.01,101480,24710,1693,663.1,70130,119,130,519,1.015,30.89,33.47,13.15,2.679,4.688,2.38,0.911,1.073
24,20,2.05,100600,24530,1693,667.5,70450,123,128.4,530,0.952,30.77,33.14,12.86,2.616,4.74,2.42,0.885,1.048
