Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.65,104350,24440,1667.2,677.2,68320,117.3,126.8,533,0.995,30.74,30.76,12.95,2.81,4.73,2.52,0.85,1.074
1,2,2.64,105660,24650,1669.6,679.2,67990,121.8,127.1,553,1.076,30.93,30.64,13.36,2.75,4.7,2.36,0.824,1.07
1,3,2.57,105100,24270,1637.9,691.7,67900,117.1,127.1,540,1.111,30.42,29.23,12.83,2.71,4.57,2.39,0.852,1.161
1,4,2.39,106260,24410,1643.9,691.9,67580,119.9,128.2,542,1.052,30.24,30.27,13.75,2.74,4.53,2.38,0.89,1.134
1,5,2.5,106360,24350,1652,688,68330,115.1,126.9,530,1.115,30.79,30.13,13.23,2.8,4.62,2.1,0.84,1.101
2,1,2.59,104090,24410,1677,677.7,68260,114.9,126.9,541,1.068,30.94,31.12,13.67,2.82,4.61,2.34,0.771,1.197
2,2,2.38,104900,24650,1669.8,685.2,68910,120.6,126.9,534,1.129,31.38,31.53,13.62,2.75,4.73,2.29,0.86,1.096
2,3,2.82,104920,24710,1685,684,69380,121.6,127.6,553,1.084,31.92,32.3,13.05,2.68,4.55,2.44,0.886,1.142
2,4,2.18,105250,24510,1678.3,685.4,68630,118.9,126.9,523,1.031,31.21,31.49,13.8,2.65,4.49,2.46,0.753,1.176
2,5,2.2,104350,24480,1657,685.6,68780,119.7,127.6,544,1.07,31.1,30.42,13,2.65,4.5,2.46,0.88,1.07
2,6,2.26,105030,24650,1680,679.2,68980,125.7,127.7,537,1.099,31.37,31.31,13.17,2.52,4.35,2.39,0.96,1.075
2,7,2.52,104470,24570,1670,689,68890,118.6,127.9,541,1.058,31.01,31.59,13.41,2.69,4.52,2.26,0.8,1.139
2,8,2.63,105100,24440,1662.4,683.6,68280,121,127.1,544,1.094,30.83,30.28,12.85,2.54,4.45,2.34,0.785,1.083
2,9,2.21,104330,24430,1666,684.1,68790,125.1,128,538,1.061,31.06,31.21,13.29,2.52,4.4,2.53,0.8,1.031
2,10,1.98,104750,24620,1672,676.5,68080,118.9,126.7,532,1.026,30.72,30.55,13.1,2.5,4.4,2.26,0.85,1.134
2,11,2.18,104750,24600,1679,689.4,69160,119.8,127.9,550,1.015,31.01,31.63,13.81,2.67,4.54,2.41,0.707,1.1
2,12,2.36,105590,24750,1670,682.6,68110,120.7,127.4,526,1.03,30.77,30.82,13.39,2.59,4.4,2.34,0.824,1.048
2,13,2,104490,24500,1672,680.9,68750,122.4,128.1,534,1.045,30.72,30.95,12.88,2.57,4.4,2.42,0.839,1.193
2,14,2.21,104750,24690,1678,691.6,69120,122.4,128.1,536,1.102,31.02,30.7,13.25,2.61,4.4,2.32,0.807,1.146
2,15,1.9,106060,24590,1667,687.7,68770,117.5,127.1,528,1.11,30.41,30.25,13.3,2.49,4.48,2.28,0.92,1.181
2,16,2.41,105220,24610,1667.1,687.5,68580,117.9,127.2,541,1.08,30.88,30.44,13.13,2.5,4.42,2.33,0.851,1.135
2,17,2.4,104140,24440,1652,685.4,68050,121.8,126.6,534,1.182,30.91,30.65,13.36,2.54,4.44,2.32,0.76,1.113
2,18,2.5,105150,24550,1668,673.6,68430,122.3,127.4,530,1.004,30.89,30.53,13,2.56,4.58,2.3,0.84,1.114
2,19,2.34,104670,24690,1676,680,69100,121.4,128.6,548,1.054,30.95,31.16,13.3,2.59,4.53,2.33,0.74,1.078
2,20,2.35,104480,24390,1659,689.4,69110,121.1,126.4,535,1.055,30.93,30.58,12.86,2.63,4.64,2.53,0.793,1.067
3,1,2.13,104960,24650,1661,675.8,68430,119.7,126.2,521,1.004,30.04,30.14,12.48,2.62,4.76,2.19,0.87,1.112
3,2,2.57,105090,24600,1656,676.3,68100,115,127.5,533,1.041,30.6,30.91,12.5,2.69,4.72,2.22,0.74,1.085
3,3,2.51,103470,24170,1648,691,69090,121.1,128,540,1.139,30.63,31.2,12.74,2.7,4.92,2.27,0.84,1.116
3,4,2.55,105750,24550,1651.6,686.1,67950,120,126.3,533,1.078,30.23,30.9,12.63,2.87,4.84,2.52,0.812,1.057
3,5,2.35,105740,24600,1654,687,68660,121.6,126.8,529,1.071,30.12,30.7,12.59,2.62,4.96,2.23,0.722,1.077
4,1,2.08,104000,24300,1653,683.3,68570,115.8,128,525,1.124,30.45,30.58,12.85,2.68,4.97,2.4,0.813,0.998
4,2,2.3,104640,24540,1652.8,683.9,68900,122.4,127.5,530,1.076,30.4,31.79,13.13,2.91,4.9,2.26,0.743,1.044
4,3,2.49,104420,24290,1651.5,695.2,69530,121,128.1,540,1.08,31,31.8,13.77,2.69,5.09,2.12,0.79,1.129
4,4,2.57,104490,24390,1645,696.4,68780,121.2,128.2,525,1.078,30.08,31.62,12.33,2.86,5.03,2.19,0.9,1.136
4,5,2.54,105450,24320,1643,687.2,67720,119.6,127,518,1.021,30.07,31.21,12.95,2.76,5.08,2.12,0.86,1.032
5,1,2.54,103290,24670,1676.1,679.1,69350,121,127.6,529,0.994,30.54,31.16,13.3,2.8,5.16,2.19,0.76,1.059
5,2,2.52,103990,24710,1668,684.7,69310,121.9,127.7,543,1.062,30.78,31.43,13.22,2.72,4.99,2.27,0.777,1.047
5,3,2.2,103560,24520,1669.6,685.4,69570,122,128,543,1.162,30.25,31.69,12.93,2.85,5.13,2.18,0.819,1.093
5,4,2.07,103570,24440,1665,685.7,68800,122.5,126.4,539,1.046,30.73,30.81,13.02,2.8,5.12,2.31,0.9,1.097
5,5,2.66,105240,24640,1677,682.2,69420,118.8,127.2,517,1.049,29.92,31.02,12.76,2.94,5.06,2.18,0.737,1.101
6,1,2.74,106110,24530,1654,682.2,68000,119.3,127,535,0.982,29.97,30.88,12.92,2.59,4.65,2.28,0.87,1.046
6,2,2.33,104560,24410,1648.8,691.4,68980,114.7,128.3,531,1.152,30.52,31.6,13.14,2.55,4.64,2.19,0.86,1.025
6,3,2.4,104510,24650,1673.3,682.3,68860,118.2,128.6,529,1.114,30.25,31.04,12.57,2.37,4.64,2.36,0.82,1.068
6,4,2.56,104970,24810,1681.3,690.6,69490,121.6,129.3,536,1.077,30.57,31.43,13.17,2.41,4.8,2.29,0.888,1.097
6,5,2.74,104910,24490,1666.7,688.3,69170,123.7,128,525,1.04,30.75,31.65,12.76,2.6,4.62,2.16,0.756,1.055
7,1,2.44,103810,24600,1675,684.8,69100,119.7,126.8,518,1.106,30.52,32,12.99,2.5,4.46,2.25,0.813,1.105
7,2,2.27,103970,24390,1675,684.5,68960,120.9,127.8,522,1.002,29.98,32,12.74,2.38,4.45,2.41,0.99,0.964
7,3,2.62,103650,24430,1673,693,68860,125.1,127.4,532,1.04,30.16,30.72,12.97,2.471,4.61,2.27,0.77,1.065
7,4,2.3,105140,24500,1667,694,68390,120.8,127.5,536,1.109,30.54,31.62,12.69,2.49,4.59,2.35,0.9,1.075
7,5,2.18,105220,24700,1676,691,68890,123.3,128.1,520,1.17,30.46,31.2,12.94,2.47,4.45,2.47,0.9,1.037
8,1,2.38,103470,24790,1692,690.3,70120,120.6,128.7,538,1.019,30.79,32.29,13.87,2.53,4.55,2.35,0.79,1.066
8,2,2.12,103990,24620,1683,695.8,69350,121.2,127.7,538,1.082,30.81,31.64,13.9,2.42,4.45,2.26,0.763,0.984
8,3,2.22,103350,24750,1700,686.3,70110,123.6,128.7,535,1.022,31.15,32,13.38,2.6,4.52,1.99,0.9,1.028
8,4,2.2,103470,24590,1700,688.9,69860,118.6,128.3,540,1.088,31.11,32.42,13.66,2.37,4.56,2.25,0.95,1.041
8,5,2.4,103040,24600,1691,692.5,70170,113.6,127.8,522,1.058,31.39,32.61,13.67,2.44,4.48,2.25,0.82,1.158
9,1,2.64,105210,24430,1637,698.5,67450,120.4,126.3,524,1.029,29.84,30.16,12.79,2.31,4.44,2.27,0.73,1.047
9,2,2.63,105370,24240,1641,695.1,67960,118.4,127.3,533,1.028,29.81,30.53,12.74,2.49,4.42,2.02,0.696,1.03
9,3,2.76,105900,24470,1646,702.2,67910,123.5,127,540,1.082,29.99,30.23,12.61,2.31,4.6,2.12,0.89,1.039
9,4,2.37,106720,24310,1631,702.1,67020,119.2,126.3,515,1.107,29.84,29.45,12.75,2.44,4.47,2.31,0.751,1.061
9,5,2.51,106330,24460,1646.9,703.2,67600,118.5,126.7,520,1.014,30.07,29.69,12.7,2.41,4.63,2.22,0.89,1.012
10,1,1.89,100900,25130,1796,670.4,72700,128.1,129.8,534,1.005,32.94,35.41,13.96,2.93,4.95,2.51,0.815,1.029
10,2,1.49,100940,25000,1793.8,677.4,72700,129.8,129.5,519,1.034,33.16,34.26,13.42,2.86,4.79,2.39,0.99,0.974
10,3,1.82,101820,25160,1793.3,676.5,72060,129.5,129.9,540,1.019,32.53,34.41,14,2.92,4.98,2.52,0.9,0.981
10,4,1.85,101870,24960,1790,683,72630,121.8,128.4,519,1.03,32.12,34.04,13.42,2.94,4.92,2.55,0.92,1.028
10,5,1.6,102670,25120,1772.9,681.3,71370,126.1,128.8,541,1.039,32.37,33.28,13.48,2.9,4.95,2.43,0.95,0.968
11,1,1.79,101240,24870,1783,673.1,71120,127,128.4,519,1.049,32.35,33.93,13.33,2.85,4.93,2.33,0.85,0.989
11,2,1.82,101880,24900,1773,678.4,71250,125,129.4,520,0.998,32.62,33.63,13.93,2.84,5.08,2.53,0.92,1.01
11,3,1.85,101290,24920,1786,672.6,71970,123.8,129.4,526,0.924,32.91,34.18,13.1,2.99,4.98,2.48,0.8,0.986
11,4,1.82,101870,24950,1780,665.7,70640,128.6,127.2,529,1.003,32.53,33.28,13.97,2.82,5.16,2.47,0.78,1.013
11,5,1.77,102600,25030,1777,678.4,71340,124.6,128.2,532,1.022,32.45,32.78,13.32,2.82,5.13,2.59,0.87,1.001
12,1,1.76,101270,25070,1794,673.2,72140,127.6,127.9,530,1.038,32.47,32.56,13.28,3.04,5.23,2.55,0.85,0.962
12,2,1.91,102500,24990,1776,684.6,71950,122.9,128.5,533,1.056,32.99,32.98,13.23,2.83,5.23,2.46,0.934,1.069
12,3,1.65,101470,25150,1796,680.3,72310,119.3,127.6,543,1.008,32.67,33.95,14.13,2.82,5.27,2.35,0.95,1.039
12,4,1.81,102400,24990,1775,686,71980,122.4,128.4,527,1.098,33.02,32.68,13.42,2.95,5.27,2.48,0.874,1.081
12,5,1.76,103440,25020,1761,682.8,70950,118.6,126.7,525,1.019,32.49,32.91,13.24,2.81,5.09,2.37,0.86,1.014
13,1,1.39,100550,25350,1868.3,655.3,73620,118.3,127.8,525,1.057,33.46,34.76,13.5,2.99,5.28,2.58,0.844,0.937
13,2,1.48,100720,25400,1870.4,668.5,74230,128.9,129.6,531,0.985,34.18,35.53,14.18,3.05,5.37,2.5,0.96,1.028
