Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.83,107300,24530,1653,695.1,65710,116.8,124,525,1.124,29.87,32.01,12.86,2.62,4.72,2.27,0.852,1.063
1,2,3.03,106880,24260,1644,693.1,65980,120.3,125,515,1.061,29.32,31.23,12.07,2.55,4.56,2.03,0.824,1.12
1,3,3.26,107000,24410,1643,694.3,66110,113.4,123.4,524,1.049,29.37,31.5,12.47,2.54,4.8,2.27,0.845,1.025
1,4,3.3,106530,24160,1630,699.7,66170,117.7,126,539,1.074,29.45,31.48,12.38,2.5,4.59,2.15,0.817,1.109
1,5,3.08,108400,24500,1644,693.5,65230,111.9,120.9,514,1.029,29.53,30.33,12.86,2.63,4.68,2.22,0.825,1.101
2,1,3.14,107000,24270,1656,703.6,66580,120.3,125.4,525,1.142,30.22,29.64,12.77,2.61,4.77,2.45,0.823,1.014
2,2,3.22,107100,24160,1635,702.6,65950,115.5,126.6,528,1.086,29.99,29.83,12.88,2.63,4.66,2.4,0.847,1.092
2,3,3.3,108200,24230,1627,712.4,66210,122.3,129,538,1.13,30.17,29.3,12.56,2.62,4.95,2.28,0.88,1.027
2,4,3.26,108600,24720,1636,710.6,65400,112.7,121.6,525,1.036,28.84,30.04,12.86,2.53,4.74,2.34,0.799,1.03
2,5,3.52,107900,24150,1614,704.9,65570,122.5,127.2,523,1.105,29.93,30.78,13.3,2.59,4.83,2.25,0.873,1.096
2,6,3.41,107400,24220,1606,705.5,65330,118.9,126.5,532,1.142,29.39,29.7,12.76,2.575,4.65,2.15,0.728,1.06
2,7,3.43,107900,24380,1615,714.6,65470,120.7,126,527,0.966,29.25,30.32,12.48,2.58,4.69,2.17,0.873,1.094
2,8,3.4,108100,24460,1629,700.9,65070,115.9,124.4,524,1.109,29.84,31.27,12.82,2.499,4.82,2.1,0.87,1.042
2,9,3.24,107200,24080,1602,701.9,64490,120.5,125.8,521,1.076,29.43,30.67,12.87,2.58,4.68,2.38,0.81,1.09
2,10,3.68,108400,24010,1604,705.8,65640,124.9,130.3,558,1.121,30.24,31.09,12.08,2.58,4.83,2.27,0.906,1.105
2,11,3.44,106670,24040,1615,702.9,66790,124.3,131.6,546,1.118,30.07,31.62,13.24,2.56,4.85,2.34,0.84,1.112
2,12,3.16,107700,24320,1626,705.3,65490,116,126,528,1.126,29.74,31.54,12.58,2.6,4.84,2.33,0.864,1.16
2,13,4.3,109700,24330,1601,705.3,65690,123,130.2,547,1.14,30.63,30.9,12.58,2.53,4.76,2.24,0.99,1.016
2,14,4,107900,24320,1616,696.1,65410,118.1,126.9,528,1.082,30.15,31.72,12.56,2.6,4.91,2.04,0.861,1.128
2,15,3.92,107200,24070,1603,697.7,64870,122,128.8,525,1.108,30.09,31.14,12.71,2.542,4.83,2.34,0.803,1.114
2,16,3.85,108200,24010,1594,706.5,64390,116,126.9,515,1.029,29.1,28.25,12.5,2.53,4.73,2.35,0.784,1.137
2,17,3.32,106500,23900,1596,701.6,65060,119.9,127.1,547,1.051,28.94,30.2,11.94,2.51,4.68,2.21,0.872,1.062
2,18,3.8,106700,23940,1594,701.2,64900,122,127.5,528,1.114,29.09,28.75,12.61,2.51,4.76,2.29,0.784,1.074
2,19,3.25,106900,24060,1603,699.1,63700,113.3,121,505,1.054,28.44,29.52,12.24,2.502,4.57,2.15,0.888,1.116
2,20,2.88,106600,24100,1610,703,65220,121.8,127,533,1.107,29.24,30.68,12.5,2.48,4.85,2.23,0.824,1.134
3,1,3.18,105710,24360,1638,683.1,65630,120,127.1,531,1.092,29.4,29.88,12.54,2.445,4.61,2.25,0.784,1.04
3,2,4.11,106020,24360,1629.6,684.5,66130,122.1,129,544,1.096,29.59,29.32,12.29,2.48,4.6,2.17,0.862,1.068
3,3,3.66,106340,24390,1639,691.3,65750,118.5,126.9,528,1.003,29.51,29.92,12.67,2.587,4.59,2.19,0.753,1.031
3,4,3.08,105940,24240,1621,692.3,65690,117.1,127.1,534,1.12,29.38,29.5,12.95,2.463,4.63,2.24,0.809,1.075
3,5,3.05,105790,24330,1629,695.7,65690,119.5,126.4,523,0.994,29.33,29.08,12.51,2.487,4.63,2.14,0.82,1.02
4,1,3.17,105200,23940,1633,696.3,67490,129.9,133.9,544,1.079,29.88,30.18,12.43,2.61,4.56,2.11,0.834,1.042
4,2,3.31,106480,24100,1634,689.7,66100,123.1,129,536,1.12,29.54,29.46,12.31,2.527,4.64,2.25,0.855,1.031
4,3,3.4,106500,24320,1638,697.5,65350,120.1,126,520,1.077,29.17,28.79,12.01,2.562,4.62,2.14,0.822,1.101
4,4,3.54,105680,24020,1629,696.5,66180,118.2,127.3,530,1.035,29.33,31.87,12.44,2.46,4.63,2.26,0.826,1.035
4,5,2.59,106680,24290,1643,695,66060,119.8,127.5,531,1.1,29.53,32.19,12.88,2.505,4.67,2.14,0.877,1.063
5,1,2.73,106450,24350,1663,695.1,66140,117.3,126.3,517,1.083,29.44,31.55,12.49,2.565,4.68,2.34,0.853,1.091
5,2,2.72,105340,23830,1619,695.4,67270,128.9,133.6,554,1.107,29.62,31.86,12.15,2.5,4.56,2.29,0.788,1.022
5,3,3.75,105960,24220,1640,694.2,66000,120.5,128.7,536,1.006,29.53,31.56,12.13,2.542,4.65,2.25,0.797,1.049
5,4,3.95,106090,24090,1637,693.3,66010,122.8,127.2,532,1.064,29.2,30.49,12.04,2.499,4.67,2.16,0.838,1.088
5,5,3.98,105560,23950,1622,693,67050,125.1,130.7,543,1.11,29.81,32.11,13.17,2.483,4.61,2.25,0.798,1.058
6,1,3.38,105500,24380,1646,689.4,68060,122,131.6,528,1.02,30.02,30.75,12.64,2.56,4.67,2.13,0.855,1.044
6,2,3.39,105490,24440,1649,693.4,67960,122.1,128,536,1.069,30.26,30.72,12.52,2.55,4.71,2.24,0.771,1.039
6,3,2.12,105810,24420,1635,695.8,66970,119.5,126.9,511,1.033,29.81,30.12,12.42,2.56,4.65,2.22,0.829,1.076
6,4,3.44,105460,24050,1619,687.2,67350,119.3,131.7,548,1.02,30.36,30.68,12.32,2.58,4.67,2.11,0.834,1.068
6,5,2.69,105760,24250,1647,690.1,66710,115.9,123.9,521,0.976,28.86,29.86,12.39,2.53,4.65,2.26,0.861,1.006
7,1,2.94,105300,24360,1646,692,66320,116.7,125.8,517,0.998,29.52,31.57,12.3,2.57,4.62,2.27,0.786,1.022
7,2,3.27,105790,24150,1629,698.6,68700,124.3,135.6,547,1.16,30.56,32.31,12.52,2.66,4.65,2.53,0.892,1.091
7,3,2.26,106490,24150,1634,691.5,66580,117.6,128.6,533,0.968,30.16,31.59,12.77,2.557,4.65,2.28,0.918,1.018
7,4,5.3,106090,23920,1621,693.8,67110,126.6,130.7,550,1.07,30.29,30.86,12.73,2.54,4.59,2.14,0.912,1.102
7,5,3.8,106760,24280,1636,694.5,67290,120.7,130.2,542,1.034,30.07,32.55,12.12,2.57,4.73,2.13,0.829,1.031
8,1,3.29,105800,24270,1619,696.9,65760,115.9,126.1,514,0.927,28.99,30.57,12.93,2.43,4.69,2.08,0.793,1.091
8,2,2.84,106220,24120,1625,690.3,67080,120.5,131,529,1.117,30.27,31.79,12.67,2.59,4.74,2.19,0.828,1.092
8,3,3.61,106800,24260,1620,689.3,66580,121,128.6,536,1.07,29.59,30.43,12.77,2.58,4.65,2.19,0.822,1.06
8,4,3.32,106760,24260,1621,699.5,66690,116.9,127.9,522,0.971,29.91,30.48,12.29,2.51,4.65,2.08,0.822,1.133
8,5,3.84,105640,24110,1625,689.7,66620,122.4,128.6,531,1.046,29.59,30.59,12.58,2.58,4.5,2.4,0.787,1.039
9,1,2.93,105210,24260,1572,691.1,66080,113.1,127.5,526,1.058,29.42,27.88,12.64,2.417,4.54,2.19,0.702,1.077
9,2,3.32,105620,24210,1584,691.4,66820,116.8,129.8,541,0.995,30.61,29.09,12.74,2.46,4.65,2.16,0.791,1.098
9,3,3.79,106320,24360,1584,700.1,67140,119.4,128.2,544,1.08,29.75,28.85,12.35,2.43,4.64,2.07,0.796,1.088
