Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,3.14,105220,24450,1668,730,67820,116.2,125.6,525,1.053,29.59,31.45,12.4,2.61,4.69,2.25,0.899,1.073
1,2,3.59,107490,24640,1662,735.5,69420,116.7,130.3,554,1.068,30.31,31.43,12.33,2.686,4.71,2.31,0.786,1.135
1,3,4.3,108210,24660,1666,740.5,69280,116,128.8,553,1.075,30.13,31.98,12.23,2.66,4.68,2.23,0.866,1.057
1,4,4.35,107640,24540,1658,732.8,68710,117.3,127.3,553,1.091,30.4,31.85,12.2,2.63,4.62,2.24,0.86,1.048
1,5,4.44,107440,24300,1640,737.4,69040,126.8,128.8,539,1.114,30.08,30.68,12.48,2.57,4.77,2.18,0.805,1.105
2,1,3.9,106510,24290,1668,736.5,69320,124.1,131.1,531,1.09,29.92,33.08,12.56,2.67,4.7,2.22,0.863,1.066
2,2,5.6,106780,24530,1674,733.9,69580,122.9,126.8,544,1.14,30.68,34.22,12.41,2.55,4.73,2.1,0.837,1.068
2,3,6.6,105870,24440,1677,726.8,69870,124,128.7,539,1.041,30.23,31.85,12.85,2.62,4.68,2.33,0.8,1.059
2,4,7.4,105790,24450,1675,725.7,69820,112.5,131.6,548,1.016,30.45,31.59,12.44,2.63,4.74,2.1,0.856,1.035
2,5,7,106210,24530,1669,725.9,69760,122.2,129.7,552,1.055,30.17,32.34,12.56,2.6,4.76,2.44,0.888,1.083
2,6,7,106540,24050,1653,738.3,69840,119.9,131.2,548,1.06,29.89,32.1,12.81,2.73,4.67,2.33,0.823,1.107
2,7,6.8,107640,24210,1637,741.9,69280,120.6,131.3,561,1.098,30.8,32.33,12.01,2.68,4.61,2.2,0.92,1.15
2,8,7.4,107440,24220,1643,745.4,68250,111.2,125.7,531,1.084,29.65,31.66,12.23,2.54,4.67,2.38,0.849,1.073
2,9,7.7,108100,24200,1645,748.3,69460,121.2,130.6,563,1.077,30.06,32.25,12.02,2.69,4.71,2.38,0.9,1.089
2,10,5.4,108740,24100,1651,753.2,69040,124,130.8,556,1.049,30.18,34.97,12.81,2.61,4.84,2.52,0.95,1.132
2,11,5.1,108340,24240,1652,746.5,68470,116,127.6,517,1.064,30.3,32.34,11.72,2.59,4.71,2.37,0.87,1.118
2,12,6.6,106940,24240,1653,740.8,68570,116.2,127,532,1.013,29.67,31.98,12.43,2.59,4.7,2.24,0.91,1.115
2,13,4.8,107760,24320,1640,740.1,68900,120.2,130,540,1.14,30.89,31.34,11.88,2.65,4.61,2.46,0.859,1.076
2,14,6.1,107550,24340,1652,733.5,67990,117,127.1,534,1.108,29.96,30.81,12.18,2.54,4.49,2.29,0.844,1.099
2,15,5.6,109410,24400,1656,750.9,69150,118.6,132.6,573,1.064,31.22,32.52,12.07,2.673,4.6,2.42,0.915,1.068
2,16,4.5,108790,24180,1640,754.9,67800,126,128.7,530,1.035,29.32,32.34,12.56,2.64,4.84,2.25,0.883,1.116
2,17,4.44,109450,24070,1633,754.3,67930,117.9,129.9,559,1.111,30.19,33.95,12.53,2.52,4.73,2.38,0.888,1.12
2,18,4.5,109040,24290,1634,751.1,68030,122.5,130.1,561,1.18,30.12,32.68,12.75,2.52,4.84,2.32,0.897,1.088
2,19,3.88,109250,24430,1648,751.9,67770,118.9,129.7,543,1.133,30.16,31.93,12.92,2.52,4.8,2.17,0.852,1.11
2,20,3.14,110240,24420,1649,752.3,68020,120.8,128.8,550,1.14,29.93,31.73,12.2,2.53,4.81,2.28,0.842,1.091
3,1,3.47,106330,24340,1650,729.3,68740,129.8,132.6,540,1.08,30.45,31.17,11.98,2.52,4.66,2.39,0.76,1.076
3,2,3.03,107310,24580,1648,727.2,67810,122.6,129.8,544,1.046,30.04,31.12,12.82,2.6,4.58,2.21,0.86,1.02
3,3,2.28,106640,24560,1652,727.4,67440,120.2,128,539,1.05,29.77,31.23,12.59,2.67,4.72,2.32,0.838,1.059
3,4,2.65,107110,24330,1650,725.5,66640,119.3,127.9,528,1.1,29.39,31.37,12.88,2.56,4.65,2.37,0.889,1.027
3,5,3.17,107080,24370,1646,731.6,67820,118.1,127.5,533,1.12,29.82,31.18,13.41,2.48,4.7,2.32,0.767,1.028
4,1,2.65,106300,24550,1675,716.7,67690,114.6,127.9,513,1.061,30.01,31.5,13.31,2.53,4.62,2.49,0.926,1.088
4,2,1.75,105740,24670,1676,722.5,67170,118.7,126.4,526,1.129,30.28,31.51,13.27,2.52,4.62,2.4,0.896,1.099
4,3,2.78,106830,24540,1660,729.2,67410,115,129.1,543,1.045,30.29,31.84,12.56,2.58,4.78,2.25,0.798,1.135
4,4,3.16,106990,24530,1667,720.4,68250,124.2,130.5,554,1.029,30.66,31.96,13.67,2.74,4.7,2.44,0.97,1.105
4,5,2.63,106830,24690,1681,724.5,67760,121.8,130.1,537,1.205,30.42,31.96,13.13,2.55,4.75,2.53,0.779,1.077
5,1,2.34,105560,24320,1653,725.3,68820,129.5,132.8,549,1.11,30.73,31.24,13.54,2.65,4.79,2.07,0.87,1.103
5,2,2.59,105850,24700,1693,724.5,67960,123.4,128.4,524,1.059,30.26,31.97,13.58,2.6,4.71,2.5,0.997,1.044
5,3,2.1,106580,24600,1690,723.5,67690,130.3,128.9,536,1.12,30.04,32.24,13.51,2.66,4.8,2.3,0.812,1.096
5,4,2.1,106110,24370,1662,722,67330,123.5,128.2,535,1.118,30.22,31.09,14,2.57,4.71,2.39,0.814,1.087
5,5,2.83,106710,24640,1688,728.4,69210,128.3,131.7,543,1.027,31.08,33.22,13.26,2.64,4.65,2.35,0.97,1.107
6,1,2.78,105750,24750,1688,719.8,67920,119.3,129.4,527,1.068,30.48,31.73,13,2.65,4.68,2.23,0.794,0.986
6,2,2.97,105960,24680,1698,712.6,68280,118.5,127.3,521,0.988,30.71,31.67,12.49,2.7,4.72,2.12,0.859,1.065
6,3,3.56,105910,24290,1652,717.5,67550,120.5,128.7,528,1.097,30.15,30.61,12.2,2.57,4.52,2.33,0.802,1.052
6,4,3.74,106380,24310,1652,728.6,68750,122.5,131.3,556,1.09,30.51,31.49,12.45,2.67,4.69,2.2,0.93,1.082
6,5,3.51,106890,24410,1674,725,67630,119.5,127.5,544,1.062,29.79,30.78,12.09,2.62,4.69,2.36,0.756,1.017
7,1,3.27,104300,24330,1673,706.6,67360,113.6,125.7,508,1.03,30.16,31.23,12.92,2.59,4.59,2.28,0.736,1.019
7,2,3.42,105730,24600,1676,716.9,67750,120.2,127.8,526,1.122,30.59,32.09,12.19,2.52,4.69,2.36,0.85,1.119
7,3,2.33,105870,24360,1668,714.7,69220,122.1,130.9,529,1.043,30.84,31.64,12.43,2.59,4.72,2.39,0.868,1.05
7,4,3.94,106670,24210,1639,719.2,67950,126,130.5,532,1.084,29.84,31.51,12.45,2.54,4.62,2.28,0.85,1.071
7,5,3.96,105200,24380,1680,710.7,67850,118.5,128.4,544,1.057,29.9,31.78,12.76,2.64,4.55,2.4,0.813,1.042
8,1,2.82,104950,24460,1674,717,67480,120.2,125.6,532,1.04,29.79,30.3,11.83,2.49,4.55,2.14,0.759,1.12
8,2,2.81,105590,24270,1663,723.5,67180,126.9,128.7,555,1.01,30.45,31,11.79,2.6,4.82,2.49,0.903,1.043
8,3,2.95,105020,24430,1672,716.7,66910,116.3,125.9,523,1.04,28.83,31.16,11.26,2.56,4.61,2.16,0.805,1.021
8,4,3.54,106440,24520,1638,721.6,66510,116.5,126.9,532,1.02,29.47,31.01,12,2.48,4.66,2.1,0.844,1.088
8,5,2.31,105940,24180,1622,724.8,66270,124.3,131.8,562,1.16,30.3,30.31,12.11,2.54,4.75,2.3,0.826,1.082
9,1,3.05,106190,24270,1608,716,65340,120.3,127.8,537,1.02,29.26,28.46,11.72,2.44,4.47,2.31,0.779,1.141
9,2,4,107530,24160,1599,718.7,65420,118.1,130.1,552,1,29.46,29.99,11.9,2.45,4.57,2.07,0.842,1.089
9,3,3.55,105630,24210,1604,726.6,65740,119.3,128.7,516,1.14,29,28.3,12.33,2.62,4.49,2.4,0.792,1.044
9,4,3.11,106570,24050,1578,718,65000,115.6,126.8,537,1.044,28.7,29.37,11.72,2.3,4.64,2.07,0.78,1.085
9,5,2.25,106440,24180,1592,723.2,64770,114.3,125.8,523,1.073,28.63,29.87,12.07,2.45,4.65,2.21,0.716,1.032
10,1,3.55,104040,24790,1721,716.2,69600,123,127.6,540,1.021,30.61,32.75,13.28,2.64,4.61,2.34,0.825,0.995
10,2,3.19,103770,24610,1701,710.2,69660,124,127.4,529,1.089,30,32.01,12.93,2.54,4.51,2.41,0.89,0.959
10,3,4.33,104020,24920,1753,716.5,72610,132.8,132.2,542,1,31.55,34.77,14.15,2.88,4.71,2.3,0.94,0.986
10,4,3.8,104290,24780,1713,721.2,70970,121.2,128.5,532,1.055,31.09,32.58,13.16,2.68,4.7,2.33,0.836,1.038
10,5,2.88,104890,24720,1691,718.6,70690,120.6,127,521,1.009,30.33,32.67,12.92,2.61,4.71,2.12,0.924,1.068
11,1,4.04,102990,24950,1788,707.5,73630,129.8,131.7,539,1.13,31.34,34.7,13.52,2.73,4.73,2.46,0.9,1.121
11,2,3.47,103190,25010,1771,706.3,72630,128.3,127.7,524,1.009,31.93,34.15,13.36,2.77,4.6,2.54,0.885,0.953
11,3,3.65,103400,25160,1780,707.2,73440,131.1,131.2,539,1.06,31.83,34.2,13.8,2.79,4.65,2.42,0.845,1.025
11,4,3.06,104360,25070,1757,719.7,73100,134,131.3,532,0.987,31.48,33.98,13.65,2.84,4.56,2.51,0.802,1.105
11,5,3.1,104520,24930,1755,720.9,72760,126,129.9,515,1.039,31.38,32.86,14.17,2.72,4.71,2.54,0.92,1.066
12,1,3.49,102760,25450,1825,705.7,74960,124.5,129.6,540,1.001,31.96,35.21,12.7,2.84,4.65,2.5,0.969,1.074
12,2,3.13,102300,25320,1810,711.2,74170,120.7,128.9,527,1.064,31.8,34.08,13.97,2.88,4.68,2.32,0.88,1.041
12,3,2.7,103080,25220,1805,705.9,74310,125.5,130.8,532,1.09,32.19,34.5,13.12,2.79,4.6,2.43,1.03,0.999
12,4,2.77,103000,25090,1799,709.8,73070,125.2,127.5,522,1.09,31.91,34.09,13.57,2.7,4.64,2.51,0.943,1.029
12,5,3.3,104080,25140,1800,713.8,73480,126.7,128.5,527,1.079,31.65,33.54,13.8,2.68,4.64,2.53,0.86,1.072
13,1,3.09,102520,25650,1892,708.4,77180,125.8,131.3,554,1.06,33.15,36.61,13.63,2.87,4.8,2.71,0.98,0.993
13,2,2.93,103260,25830,1905,715,77490,126.7,131.3,535,1.11,33.67,37.4,14.36,2.89,4.82,2.42,0.98,1.032
13,3,3.39,103470,25540,1877,704,75670,126.4,131.2,534,1.03,33.31,35.67,14.12,2.76,4.68,2.66,0.888,1.021
13,4,2.31,102600,25560,1883,715.7,77420,127.6,133.2,530,1.003,33.96,36.06,14.09,3.02,4.74,2.58,1.15,0.986
