Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.77,107280,24610,1622,743.4,67570,114.9,127.8,545,1.044,30.02,30.9,12.34,2.63,4.55,2.17,0.82,1.113
1,2,2.93,106760,24290,1620,732.1,67220,117.6,129.4,532,1.073,30.07,31.22,12.92,2.46,4.79,2.27,0.82,1.106
1,3,2.73,106500,24410,1639,726.8,68120,117.1,130,538,1.085,30.2,31.09,12.54,2.58,4.71,2,0.764,1.157
1,4,2.69,104740,24520,1632,715.6,67410,118,128.8,541,1.158,30.23,31.37,12.83,2.65,4.7,2.41,0.884,1.104
1,5,2.71,105670,24400,1624,723.5,67610,118.7,127.2,542,1.145,30.09,31.23,13.37,2.58,4.74,2.27,0.797,1.078
2,1,2.44,104790,24380,1639,715.7,68040,118.1,128.2,532,1.046,30.49,31.75,12.98,2.51,4.68,2.32,0.711,1.055
2,2,2.14,105200,24650,1667,717.7,68410,117.4,128.1,540,1.073,30.39,32.04,12.64,2.5,4.73,2.33,0.88,1.1
2,3,2.64,105870,24430,1649,719.5,68400,117.3,130.3,544,0.964,30.7,31.9,12.73,2.48,4.75,2.3,0.823,1.08
2,4,2.34,106340,24520,1641,714.2,68350,119.1,127.7,537,1.088,30.04,30.85,13.33,2.49,4.83,2.22,0.796,1.146
2,5,2.89,105980,24560,1644,721.9,68680,121.4,128.7,538,1.036,30.18,30.54,13.1,2.34,4.7,2.23,0.847,1.058
2,6,2.64,106600,24590,1665,719.1,68550,118,128.6,534,1.001,30.46,31.51,13.12,2.53,4.76,2.23,0.838,1.155
2,7,2.79,105600,24520,1664,727.6,68780,121,128.4,532,1.04,30.54,32.95,12.74,2.57,4.66,2.21,0.818,1.074
2,8,2.49,105520,24280,1644,716.7,67970,115.3,127.7,531,1.077,30.12,32.89,12.97,2.52,4.74,2.25,0.92,1.111
2,9,2.39,106820,24240,1637,716.5,67780,119.4,129.8,537,1.07,30.01,32.03,13.11,2.57,4.76,2.17,0.892,1.093
