Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,3.46,105110,23870,1636.4,704.5,66730,119.2,127,528,1.116,29.81,31.32,12.32,2.599,4.69,2.16,0.837,1.078
1,2,3.99,106370,24100,1640.9,702,67220,118.9,128.2,550,1.075,29.84,31.04,12.24,2.594,4.52,2.08,0.888,0.973
1,3,4.92,106060,23740,1628,706,66970,120.4,127,536,1.077,29.77,30.86,12.43,2.586,4.56,2.15,0.84,1.085
1,4,4.2,107240,23910,1609,707.8,66520,118.7,127.5,548,1.053,29.68,29.66,11.62,2.489,4.5,2.07,0.809,1.029
1,5,4.3,106070,23700,1594,716.4,66700,118.1,127.7,546,1.086,29.39,29.39,12.6,2.481,4.64,2.02,0.792,1.107
2,1,5.3,105960,24290,1643,704.6,67980,122.8,128.4,546,1.009,30.15,29.85,12.72,2.52,4.64,2.11,0.811,1.071
2,2,4.8,107240,24270,1660,711.4,69090,126.4,129.8,544,1.069,30.62,30.84,12.99,2.611,4.76,2.29,0.83,1.031
2,3,3.98,106350,24320,1647,708,68420,121,129.2,546,1.091,30.45,30.05,13.22,2.571,4.72,2.35,0.827,1.09
2,4,5.1,107310,24200,1637,710.7,67850,121.4,129.6,554,1.053,30.32,30.12,12.6,2.493,4.84,2.04,0.831,1.097
2,5,4.31,107490,24300,1637,713,67440,119.6,130.4,548,1.033,30.18,30.29,12.09,2.577,4.64,2.2,0.818,1.102
2,6,4.5,107140,24110,1645,713.3,67870,117.2,128.8,535,1.029,29.8,30.28,12.78,2.601,4.89,2.33,0.84,1.092
2,7,4.58,107600,24130,1640,716.4,67500,121.7,130,539,1.068,30.25,30.26,13.24,2.583,4.68,2.11,0.813,1.12
2,8,5.33,107540,24160,1639,716.9,67860,118.9,130.7,552,0.985,29.93,29.98,13.72,2.584,4.68,2.16,0.846,1.15
2,9,3.62,106480,24280,1637,712.5,67460,118.3,129.8,552,1.069,29.96,29.71,12.28,2.529,4.71,2.34,0.796,1.044
2,10,4.89,107740,24240,1624,723.2,67730,121.2,130.1,539,1.088,29.78,30.21,12.75,2.506,4.62,2.34,0.821,1.12
2,11,4.82,107650,24190,1637,724.4,67230,116.5,128.8,535,1.122,30.16,29.79,12.89,2.582,4.71,2.35,0.825,1.129
2,12,4.35,107750,24090,1641,708.5,67460,122,130.1,553,1.073,29.74,30.73,12.63,2.494,4.73,2.23,0.77,1.07
2,13,4.15,107340,24030,1628,718,66700,119.5,128.1,547,1.098,29.57,30.4,12.36,2.582,4.67,2.3,0.781,1.091
