Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.81,105010,24290,1663,732.9,67440,114.1,127.7,534,1.14,30.26,29.94,12.3,2.52,4.65,2.2,0.756,1.142
1,2,2.7,105180,24390,1665,741.4,67820,113.3,125.9,521,1.046,30.72,30.27,12.3,2.61,4.74,2.28,0.75,1.096
1,3,3.04,106290,24440,1662,751.8,67620,121.4,126.3,522,1.117,30.55,29.87,12.63,2.58,4.71,2.17,0.72,1.141
1,4,2.79,107450,24370,1664.3,750,67260,118.2,126.5,527,1.094,30.61,29.71,13.18,2.6,4.77,2.24,0.702,1.121
1,5,2.77,107240,24650,1666,755.7,67680,113,128,523,1.128,31,30.07,13.2,2.6,4.65,2.15,0.678,1.133
2,1,2.74,105200,24260,1677,735.7,67950,116.8,125.2,505,1.034,30.56,28.9,12.89,2.65,4.56,2.16,0.613,1.132
2,2,2.26,105350,24290,1675,744.7,67560,116.7,125.9,505,1.132,30.85,28.08,12.84,2.588,4.69,2.31,0.752,1.122
2,3,2.91,106690,24470,1681,746,68270,117.5,126,509,1.118,30.65,28.12,12.56,2.6,4.73,2.3,0.708,1.125
2,4,2.73,106250,24430,1670,745.6,68120,111.3,126.4,516,1.18,30.76,27.46,13.34,2.57,4.71,2.39,0.61,1.114
2,5,2.82,106920,24330,1662,755.9,67510,119.2,127,496,1.144,30.56,27.54,12.89,2.63,4.7,2.27,0.677,1.123
2,6,2.69,106410,24180,1655,742.4,66900,116.5,125.7,495,1.124,30.79,26.78,12.97,2.66,4.69,2.14,0.724,1.157
2,7,2.73,106200,24240,1662,754.8,67550,118.9,125.7,501,1.054,30.85,27.54,13.29,2.7,4.81,2.39,0.714,1.131
2,8,2.6,106690,24390,1672,747.6,67790,117.5,126.7,496,1.133,30.92,27.85,13.47,2.63,4.72,2.14,0.762,1.16
2,9,2.63,106180,24350,1664,749.8,67760,117.3,125.6,486,1.135,30.32,26.97,13.3,2.54,4.69,2.36,0.729,1.143
2,10,2.71,106900,24060,1647,745.5,67200,117.6,126,508,1.142,30.62,27.38,12.76,2.59,4.71,2.53,0.697,1.117
2,11,2.87,106660,24330,1671,752.7,67270,119.8,126.3,502,1.136,30.32,27.25,12.72,2.7,4.72,2.33,0.795,1.122
2,12,2.75,107420,24370,1661.7,746.9,67610,117.2,126.2,494,1.05,30.5,27.48,12.78,2.63,4.57,2.22,0.776,1.131
2,13,2.38,106150,24530,1671,744.3,67880,116.6,125.9,510,1.004,31.09,28.2,12.97,2.65,4.82,2.25,0.808,1.107
2,14,2.48,107000,24490,1675,752.9,67440,116.4,126.8,497,1.088,30.81,27.79,13.28,2.65,4.72,2.31,0.83,1.125
2,15,2.55,106570,24240,1656,751.5,67460,114.8,125.1,494,1.066,30.14,27.62,12.52,2.57,4.7,2.2,0.744,1.173
2,16,2.44,106990,24300,1665,748.8,67170,122,127,516,1.131,30.49,28.36,12.47,2.63,4.69,2.41,0.794,1.099
2,17,2.61,106380,24140,1663,750.4,67510,113.8,125.7,517,1.104,30.04,28.43,12.48,2.63,4.64,2.2,0.761,1.151
2,18,2.71,106950,24350,1659,761.4,67440,117.1,126.5,510,1.147,30.34,28.26,12.76,2.5,4.72,2.27,0.724,1.155
2,19,2.38,106750,24150,1662,747.6,67310,114.6,126,516,1.12,30.59,28.77,12.98,2.62,4.61,2.32,0.78,1.084
2,20,2.56,106110,24220,1666,749.7,67420,117.6,124.5,522,1.109,30.16,29.68,12.76,2.56,4.76,2.51,0.85,1.19
3,1,2.71,105800,24540,1682,732,68100,117.4,125.9,548,1.07,30.66,30.46,12.8,2.6,4.65,2.43,0.767,1.103
3,2,2.81,106520,24720,1687.3,732.7,68070,116.8,127,552,1.062,30.76,31.27,13.37,2.63,4.67,2.29,0.798,1.111
3,3,2.75,106210,24700,1689.3,735,68060,117.6,126.3,561,1.11,31.02,33,13.2,2.64,4.6,2.43,0.917,1.053
3,4,2.51,106770,24630,1684,736.8,67860,114,124.6,576,1.143,30.62,32.37,12.58,2.54,4.66,2.17,0.797,1.082
3,5,2.5,107060,24710,1693,741.4,68040,116.1,125.1,584,1.106,30.39,32.63,12.88,2.74,4.71,2.31,0.87,1.086
4,1,2.94,105220,24410,1662.9,732,67410,118.1,125.1,564,1.135,30.29,31.25,12.97,2.62,4.57,2.16,0.833,1.054
4,2,2.66,105610,24350,1656,735.2,67220,115.1,125.5,590,1.023,30.17,31.1,12.82,2.56,4.6,2.13,0.844,1.116
4,3,2.5,106040,24420,1658,732,66580,116.6,124.6,571,1.156,30.07,32.69,12.82,2.56,4.67,2.14,0.935,1.091
4,4,2.87,106510,24610,1661,741.1,67650,117.8,124.9,576,1.027,29.7,31.64,12.64,2.57,4.58,2.14,0.855,1.135
4,5,3,105790,24290,1654,735.1,66670,115.4,124.5,593,1.098,30.11,31.44,12.45,2.5,4.68,2.07,0.828,1.094
5,1,2.36,105430,24420,1700,728.1,68150,119.3,124.7,587,1.073,30.58,33.08,13.13,2.58,4.62,2.3,0.835,1.071
5,2,2.62,104220,24500,1703,734.5,68960,123.9,125.3,586,1.131,30.54,33.58,12.98,2.71,4.59,2.38,0.859,1.111
5,3,2.4,105640,24440,1696,732.4,67540,118.8,125.4,581,1.028,30.56,32.46,12.86,2.69,4.5,2.35,0.817,1.153
5,4,2.56,104710,24350,1676,732.7,67510,117.8,125.9,579,1.034,30.2,31.78,12.69,2.56,4.71,2.16,0.845,1.068
5,5,2.47,106110,24560,1698,737.3,68330,115.2,126,578,1.1,30.75,33,13.25,2.61,4.62,2.3,0.9,1.073
6,1,2.99,105350,24680,1687,728.9,67630,119.5,125.6,537,1.071,30.94,29.95,13.12,2.58,4.52,2.16,0.736,1.008
6,2,2.45,104940,24800,1691,726.6,68520,112.3,124.9,529,1.051,30.61,29.44,12.78,2.68,4.57,2.23,0.839,1.065
6,3,2.39,105360,24610,1694,729.4,67490,116.1,125.6,536,1.095,30.47,29.46,12.82,2.53,4.74,2.38,0.68,1.084
6,4,2.57,105640,24480,1673,742.6,67860,116.3,126.4,537,1.055,30.71,29.46,12.73,2.64,4.64,2.31,0.714,1.101
6,5,2.56,105660,24640,1682,741.5,67790,115.7,125.2,529,1.1,30.78,29.17,12.81,2.6,4.54,2.08,0.738,1.043
7,1,2.75,103710,24690,1727,723.6,69320,118,127.3,517,1.098,31.53,29.59,13.44,2.7,4.84,2.48,0.787,1.056
7,2,2.45,103500,24520,1718,720.7,68760,121.5,126.6,530,1.058,30.88,30.33,13.36,2.81,4.58,2.46,0.764,1.055
7,3,2.88,104000,24570,1707,723.8,68830,114.9,125.7,518,1.049,30.5,28.95,12.68,2.59,4.68,2.19,0.733,1.083
7,4,2.86,105310,24660,1706,728.2,69260,124.2,126.5,519,1.11,31.25,29.98,13.13,2.59,4.6,2.56,0.705,1.079
7,5,2.28,104900,24620,1706,723.8,68520,116.8,125,501,1.084,30.75,29.52,13.15,2.56,4.63,2.07,0.683,1.017
8,1,2.75,104180,24680,1679,720.4,67510,112.1,125.3,498,1.036,29.96,27.87,12.34,2.55,4.53,2.31,0.8,1.026
8,2,2.71,104970,24630,1677,736.1,67940,118.4,125.8,498,1.141,30.04,28.92,13.23,2.64,4.67,2.49,0.731,1.051
8,3,3.04,105020,24550,1683,731.6,67900,120.1,126.2,506,1.044,30.42,29.81,13.2,2.63,4.59,2.23,0.746,1.106
8,4,2.82,106120,24570,1675,734.2,67540,114.1,126.1,509,1.056,30.45,29.11,12.78,2.61,4.63,2.01,0.69,1.099
8,5,2.61,106050,24650,1682,730.3,67480,112.4,125.3,501,1.083,29.88,29.05,12.36,2.49,4.49,2.29,0.711,1.045
9,1,2.19,103320,24450,1695,725.5,68210,112.3,124.9,503,1.098,30.46,30.32,12.14,2.6,4.64,1.98,0.781,1.022
9,2,2.55,103750,24560,1684,724.6,68420,121.1,124.9,503,1.042,30.55,30.18,13.34,2.6,4.74,2.12,0.75,1.102
9,3,2.44,105000,24450,1691,729.4,68990,113,127.3,514,1.024,30.69,31.22,12.91,2.66,4.62,2.32,0.683,1.102
9,4,2.47,104140,24430,1697,729.4,68760,116.7,125.7,502,1.056,30.83,30.78,13.15,2.58,4.65,2.3,0.771,1.052
9,5,2.83,106280,24610,1692,726.1,68190,116.6,126.6,515,0.97,30.49,31.28,12.25,2.51,4.71,2.19,0.727,1.102
10,1,1.95,100350,24790,1808,701.2,71720,128.4,126.2,535,1.068,32.26,32.97,14.13,2.87,4.72,2.33,0.94,1.05
10,2,1.98,101810,24930,1801,701.9,71220,122.9,127.3,573,1.15,32.25,31.88,13.6,2.8,4.69,2.36,0.834,0.998
10,3,2.14,101570,25090,1818,709.9,72090,119.8,126.6,562,0.98,32.33,32.53,13.88,2.82,4.71,2.45,0.829,1.04
10,4,1.97,102540,24980,1812,708.8,71590,121.7,126.5,558,1.115,32.06,31.89,13.07,2.74,4.66,2.35,0.787,1.018
10,5,2.01,101920,24940,1801,711.8,71840,121.8,126.9,576,1.031,32.26,32.21,13.23,2.85,4.87,2.44,0.936,1.066
11,1,2.17,100580,25030,1828,687.8,72320,128.9,126.8,565,1.027,32.45,32.8,13.31,2.69,4.61,2.47,1.04,1.058
11,2,1.54,101830,25160,1823.1,696.6,71690,121.2,127,579,1.044,32.22,31.88,13.2,2.92,4.71,2.23,0.793,1.043
11,3,1.94,101410,25120,1827,699.9,71950,123.4,126.4,583,1.01,32.68,32.37,13.41,2.81,4.76,2.61,0.846,0.976
11,4,1.65,101190,25110,1807,700.4,71830,122.5,126.6,577,0.982,32.49,32.43,14.4,2.77,4.68,2.26,0.882,1.064
11,5,1.86,101490,25150,1837,701.6,72860,118.4,126.5,565,1.053,32.82,35.68,13.49,2.88,4.8,2.42,0.97,0.953
12,1,1.6,100300,25250,1841.3,697.6,73050,127.8,128,570,1.039,33.22,32.37,14.01,2.93,4.83,2.26,0.858,1.057
12,2,1.62,101430,25110,1834.1,698.8,72080,118.1,126.2,565,1.033,32.36,32.17,13.17,2.8,4.56,2.35,0.726,1.043
12,3,1.84,101480,25170,1839.9,697.3,72640,125.5,126.9,580,1.019,32.45,32.37,13.24,2.92,4.77,2.43,0.869,0.993
12,4,1.74,101800,25190,1848,700.4,72440,125.7,126.9,568,1.04,32.63,35.13,13.16,2.78,4.9,2.57,0.839,1.014
12,5,1.9,102170,25310,1824.3,698.7,72660,122.8,127,550,1.069,32.62,33.91,13.68,2.81,4.61,2.45,0.857,1.037
13,1,2.23,100520,25070,1843.4,684.4,72100,123,126.2,544,1.043,32.61,32.91,13.28,2.78,4.63,2.37,0.92,1.008
13,2,1.58,100920,25220,1849,686.9,72260,122.4,127.2,550,0.973,32.6,32.71,14.03,2.69,4.85,2.25,0.911,1
13,3,1.8,100870,25160,1835.4,684.9,71410,118.8,125.7,550,0.997,32.32,32.72,13.11,2.7,4.63,2.38,0.757,1.017
13,4,1.95,100960,25140,1834,697.8,72480,120.2,127.2,550,1.072,32.07,33.67,13.25,2.79,4.61,2.32,0.831,1.049
13,5,1.63,101000,25130,1841,696.9,72960,122,126.6,560,1.063,32.64,33.55,12.93,3.01,4.68,2.39,0.86,1.045
14,1,1.53,100770,25240,1837.1,688.3,72310,124.7,127.7,539,1.031,32.37,34.53,13.47,2.79,4.74,2.29,0.87,1.005
14,2,1.68,100820,25370,1861,687.1,72900,118.9,127.5,538,1.11,32.77,34.7,13.1,2.85,4.64,2.56,0.98,1.042
14,3,1.77,100660,25360,1857,688.7,73200,121.1,128.1,530,0.993,32.6,35.16,13.33,2.87,4.56,2.06,0.921,0.979
14,4,1.68,100960,25330,1861,696.2,74060,123.7,129.9,544,1.03,33.55,35.27,13.44,3.04,4.83,2.52,0.971,1.078
14,5,1.75,101380,25340,1853,685.6,72270,121,127.2,519,1.018,32.63,35.12,13.52,2.88,4.77,2.32,0.97,0.964
14,6,1.68,100080,25240,1836.4,692.6,73160,117.4,126.4,527,1.035,32.5,34.22,13.13,2.82,4.66,2.47,1.03,0.934
