Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,3.18,106020,24030,1634.8,709.6,66470,109.7,125.7,544,1.045,30.17,29.41,12.39,2.518,4.71,2.19,0.754,1.091
1,2,3.4,107560,24150,1625.3,706.9,66330,108.8,126.2,548,1.08,30.72,28.96,13.33,2.61,4.71,2.06,0.786,1.109
1,3,3.08,107180,24120,1621.6,712.6,66330,122.6,126.4,549,1.113,31.83,29.16,13.18,2.56,4.74,2.07,0.83,1.073
1,4,4.05,107540,24060,1620,716.6,66840,113.8,124.7,544,1.135,31.73,29.49,12.91,2.66,4.68,2.02,0.806,1.179
1,5,3.23,106610,24080,1618.8,719.3,67140,115.5,125.1,536,1.112,32.13,30.28,12.86,2.73,4.75,2.04,0.758,1.175
2,1,2.97,105600,24160,1664.3,715.4,67450,116.8,126.1,542,1.103,32.61,31.28,12.38,2.87,4.65,2.32,0.83,1.13
2,2,2.64,105420,24130,1668.5,717.5,68050,117.6,126.4,544,1.115,33.41,30.47,13.48,2.63,4.68,2.16,0.849,1.16
2,3,2.85,104960,24140,1657.1,713.2,67910,117,125.7,553,1.108,33.32,31.23,13.02,2.74,4.71,2.4,0.82,1.108
2,4,2.76,105100,24290,1650,707.2,67970,116.8,125.3,548,1.098,33.48,29.21,13.5,2.78,4.81,2.32,0.76,1.153
2,5,2.82,105530,24000,1636.9,708.3,66880,113.6,124.9,536,1.067,32.95,28.3,13.36,2.82,4.68,2.24,0.88,1.113
2,6,2.9,105260,24080,1635.8,721.8,67740,111.4,125.9,551,1.159,33.79,31.17,13.17,2.84,4.77,2.37,0.858,1.144
2,7,2.98,105950,23940,1631.4,727.1,67120,114.5,125.4,541,1.103,33.03,29.99,13.01,2.68,4.76,2.39,0.836,1.175
2,8,3.06,106440,23870,1622,736.3,66780,115.8,125.2,533,1.058,32.88,30.56,13.17,2.77,4.7,2.29,0.876,1.151
2,9,3.12,106440,24130,1632,734.1,66680,119.2,124.9,533,1.091,33.02,30.44,12.69,2.74,4.65,2.13,0.806,1.157
2,10,2.62,106170,24050,1642,737.3,67600,114.7,126.3,557,1.105,32.8,30.52,12.72,2.66,4.71,2.33,0.762,1.212
2,11,2.72,106030,24170,1629.8,725.3,67230,119.6,126.8,533,1.164,32.86,30.92,12.62,2.72,4.71,2.07,0.85,1.2
2,12,3.1,106040,24100,1618,724.8,67270,111.7,125.6,538,1.122,32.38,29.22,12.81,2.73,4.68,2.21,0.78,1.144
2,13,2.66,105490,24050,1633,719,67170,110.1,125.6,522,1.061,32.42,29.25,12.76,2.77,4.84,2.2,0.769,1.161
2,14,2.7,106220,24050,1648,731.9,67170,110.7,127.4,540,1.122,32.27,30.29,12.97,2.66,4.79,2.34,0.881,1.195
2,15,2.81,107060,24010,1622,731.5,66270,117.3,124.6,550,1.115,30.93,30.86,13.35,2.64,4.68,2.26,0.78,1.229
2,16,2.57,107050,24140,1628.8,741.2,67170,119.5,127,555,1.089,31.2,31.2,12.76,2.54,4.77,2.12,0.86,1.231
2,17,3.11,104740,24160,1636.5,740.2,67610,120.5,126.1,544,1.129,31.43,30.67,12.78,2.83,4.81,2.29,0.775,1.232
2,18,2.66,105800,23980,1631,732.3,66960,118.7,124.9,550,1.065,30.78,30.83,12.63,2.59,4.69,2.25,0.797,1.173
2,19,3.25,105470,24060,1635,718.5,67000,110.7,126.2,539,1.084,30.56,29.78,13.11,2.61,4.72,2.19,0.85,1.174
2,20,2.89,105730,23980,1633,724.5,67310,114.9,125.3,527,1.136,29.96,29.74,12.65,2.61,4.75,2.27,0.777,1.188
3,1,2.92,104200,24370,1664,713,67770,116.8,125.8,540,1.125,30.21,31.88,13.44,2.57,4.64,2.37,0.814,1.171
3,2,2.96,104470,24330,1648,707.4,67700,115.2,125.2,536,1.056,29.62,29.83,13.12,2.49,4.73,2.2,0.72,1.083
3,3,2.64,105030,24400,1657,709.7,67990,111.7,125.9,533,1.094,29.39,30.56,12.81,2.54,4.67,2.41,0.794,1.107
3,4,2.6,105120,24320,1659,714.7,67400,115,125.1,538,1.065,29.25,31.64,12.53,2.44,4.83,2.53,0.836,1.159
3,5,2.65,105690,24440,1656,718.1,67650,112.2,124.7,548,1.136,29.33,30.53,12.86,2.45,4.62,2.24,0.723,1.119
4,1,2.81,105810,24380,1668,706.3,67280,115.1,124.8,516,1.101,29.12,29.87,12.79,2.54,4.72,2.3,0.783,1.066
4,2,2.56,104810,24120,1637.4,712.5,66830,118.8,124.4,517,1.091,28.4,29.37,12.69,2.47,4.58,2.32,0.762,1.171
4,3,2.86,104140,24070,1642,709.9,67100,112.7,124.1,541,1.079,29.53,29.21,12.72,2.52,4.49,2.14,0.841,1.193
4,4,2.98,105210,23980,1634,715,66910,115.9,125.2,533,1.084,28.66,29.76,13.06,2.49,4.67,2.27,0.81,1.101
4,5,3.11,104760,24000,1623.2,721.2,66820,111.8,124.2,509,1.125,28.76,28.64,12.81,2.52,4.73,2.12,0.85,1.146
5,1,2.58,104840,24530,1659,703.3,67010,116.6,125.4,548,0.978,29.16,30.23,13.04,2.46,4.58,2.25,0.83,1.104
5,2,2.7,105220,24480,1650,710.3,67110,111.3,126.2,538,1.121,29.36,30.09,13.1,2.47,4.65,2.36,0.85,1.156
5,3,2.85,105610,24560,1664,715.2,67610,115.3,126.3,517,1.055,30.27,30.95,13.95,2.65,4.77,2.39,0.78,1.205
5,4,3.26,105100,24210,1646,726.9,67300,120.4,125.6,529,1.085,30.39,30.42,12.55,2.51,4.67,2.24,0.82,1.139
5,5,2.78,105560,24210,1639,713.2,66910,119.6,125.8,530,1.053,29.83,29.75,12.77,2.54,4.64,2.4,0.744,1.06
6,1,2.77,105660,24620,1658,711,67370,117.6,124.5,533,1.13,29.73,31.44,12.89,2.58,4.71,2.07,0.819,1.165
6,2,3.13,104880,24220,1641,710.7,67300,118.4,125.2,547,1.079,29.6,31.12,12.96,2.57,4.44,2.29,0.81,1.148
6,3,2.88,105310,24290,1646,720.8,67560,117.1,125.9,526,1.055,29.62,31.49,12.86,2.51,4.6,2.19,0.82,1.013
6,4,2.45,105390,24130,1626,726,67640,114.2,124.5,530,1.117,29.73,30.89,12.5,2.53,4.65,2.34,0.85,1.116
6,5,2.63,105700,24270,1625.3,727.6,66940,114.3,124.1,536,1.103,29.52,30.64,12.92,2.48,4.7,2.33,0.87,1.148
7,1,2.48,103410,24850,1758.3,694.6,70190,120.8,125.5,536,0.985,30.98,32.08,13.77,2.62,4.6,2.56,0.88,0.995
7,2,2.69,103110,24680,1719.5,703.9,70510,117,126.3,544,1.057,30.99,31.49,13.59,2.72,4.69,2.42,0.802,1.074
7,3,2.26,102380,24790,1761,709.8,70710,118.9,126.6,534,1.107,31.36,32.88,13.84,2.75,4.77,2.35,0.941,1.027
7,4,2.48,103150,24720,1753,723.4,70630,119.2,128,527,1.062,31.7,33.2,13.49,2.72,4.64,2.55,0.92,1.033
7,5,2.49,103700,24660,1738,718.1,70040,122.6,127.6,550,1.124,31.17,33.08,13.13,2.67,4.72,2.32,0.91,1.155
8,1,2.48,102560,24610,1715.8,690.4,69010,119.2,125.8,543,1.039,30.44,32.62,13.1,2.67,4.5,2.53,0.85,1.137
8,2,2.21,103070,24650,1709.6,708.5,69690,115.1,128.5,555,1.04,30.93,31.71,12.98,2.59,4.67,2.17,0.8,1.041
8,3,2.33,103660,24730,1734,691.5,69680,121,125.7,542,1.032,30.48,31.54,13.07,2.81,4.78,2.39,0.788,1.061
8,4,2.51,103700,24500,1718,709,69430,120.2,126.2,541,1.091,31.04,30.93,13.25,2.67,4.56,2.33,0.88,1.088
8,5,2.57,103280,24490,1711,710.8,69460,118.8,125.5,542,1.049,30.91,31.82,13.22,2.65,4.61,2.38,0.78,1.025
9,1,2.16,102280,24940,1760,691.9,71200,123,126.8,530,0.939,31.73,34.5,13.44,2.7,4.65,2.36,0.91,1.078
9,2,2.58,103300,24850,1746,699.5,70670,120.3,127,529,1.126,31.83,33.12,13.69,2.74,4.64,2.36,0.93,1.062
9,3,2.54,103130,25000,1766.9,694.7,70640,122.6,127.3,548,1.108,31.84,33.47,13.55,2.77,4.69,2.4,0.933,1.017
9,4,1.92,103450,25010,1757.5,693.1,70800,117.7,126.7,537,0.974,31.96,32.4,13.22,2.85,4.74,2.28,0.83,1.06
9,5,2.12,103520,24640,1738,702.3,70460,120.5,126.5,541,0.991,31.62,32.95,13.16,2.78,4.69,2.39,0.895,1.121
10,1,1.8,100760,25250,1827,682.7,72850,118.1,125.9,527,1.084,31.91,32.99,13.67,2.74,4.61,2.28,0.87,1.059
10,2,2.06,101470,25130,1830,684.5,72650,117,127.3,542,1.018,31.82,33.44,13.41,2.77,4.78,2.6,0.93,1.071
10,3,1.9,101090,25210,1829.6,678.2,72600,123,126.1,522,0.994,31.95,33.61,14.42,2.8,4.77,2.35,0.88,1.04
10,4,2,101830,25120,1832,691.8,73080,120.8,127.4,551,1.062,32.48,34.54,13.79,2.83,4.87,2.53,1,1.06
10,5,1.85,101430,25140,1822,696.5,72620,125.2,127.8,534,1.089,32.4,33.58,14.26,2.91,4.82,2.51,0.91,1.016
11,1,2.09,101010,25050,1821,677.2,72130,126,124.7,541,1.063,31.17,35.36,13.61,2.77,4.8,2.48,0.88,0.965
11,2,1.72,100980,25060,1819,684.1,73060,118.2,127.2,535,1.11,31.78,35.55,13.74,2.88,4.72,2.54,0.94,1.097
11,3,1.91,100740,24840,1824,692.6,73480,118.9,126.7,522,1.026,32.35,35.36,13.49,2.74,4.88,2.7,0.96,1.075
