Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,1.44,91700,23430,1562,569,67700,115.8,118.3,505.2,0.966,29.84,32.65,12.72,2.602,4.296,2.29,0.855,0.925
1,2,1.59,92100,23500,1563,572.5,67670,116.6,119.7,514,0.958,30.03,31.98,12.52,2.635,4.256,2.34,0.882,0.942
1,3,1.442,95600,24270,1625,588,70000,118.9,123,536,0.998,31.22,34.12,13.13,2.767,4.5,2.29,0.9,0.968
1,4,1.63,99200,25210,1676,605,73000,122.8,127.1,550,1.028,32.39,33.48,13.8,2.818,4.76,2.51,0.93,0.996
1,5,1.456,95700,24500,1646,587,71200,121.4,123.9,532,1.017,31.78,36.04,13.68,2.717,4.56,2.461,0.952,0.947
2,1,1.59,92480,23440,1555,568.1,67260,116.3,120,517.8,0.937,30.18,31.31,12.4,2.604,4.342,2.22,0.862,0.933
2,2,1.54,94100,24060,1602,582.2,69000,120.6,122.3,523.1,1.014,30.74,32.8,13,2.655,4.44,2.32,0.851,0.943
2,3,1.484,97000,24440,1639,598,70200,119.8,124,535,1.004,31.71,34.3,13.37,2.766,4.58,2.43,0.924,0.98
2,4,1.71,98700,24530,1631,610,70200,120.4,125.7,544,1.022,31.34,33.3,13.23,2.634,4.55,2.31,0.873,1.006
2,5,1.83,98800,24360,1611,610,69200,116.5,124.7,533,1.005,31.17,32.97,12.79,2.594,4.62,2.29,0.866,1.015
2,6,1.6,96700,24360,1630,591.9,69900,117.7,124.3,531,0.979,31.16,33.07,13.5,2.719,4.59,2.34,0.909,0.979
2,7,1.76,98900,24630,1618,599,69500,117.2,123.9,538,1.001,31,32.01,13.45,2.703,4.62,2.38,0.874,1.029
2,8,1.9,101000,24820,1632,613,70600,117.3,127,545,1.013,31.51,32.62,13.45,2.685,4.72,2.33,0.842,1.015
2,9,1.73,96700,24140,1608,592.2,69000,118.6,121.7,528,1.003,30.73,33.5,13.19,2.618,4.45,2.28,0.918,0.989
2,10,1.79,98400,24520,1621,604,69800,114.6,125.3,544,1.031,31.13,33.58,13.47,2.7,4.63,2.31,0.874,1.018
2,11,1.8,99850,24850,1648,606,70300,116.5,125.7,540,1.021,31.92,32.78,13.46,2.759,4.58,2.38,0.882,1.04
2,12,1.59,99100,24730,1679,610,71200,123.1,126.2,545,1.048,32.19,33.41,13.62,2.826,4.75,2.35,0.923,1.025
2,13,1.7,98300,24580,1664,604.6,69820,118.3,124.2,545,1.043,32.05,34.46,13.63,2.729,4.66,2.37,0.933,1.026
2,14,1.87,100300,24730,1665,619.1,71200,121,127,553,1.038,31.95,34.38,13.3,2.693,4.59,2.39,0.892,1.029
2,15,1.77,102100,25270,1693,634,71900,124.4,129.1,553,1.07,32.16,34.24,13.69,2.672,4.69,2.35,0.919,1.072
2,16,1.87,102300,25200,1677,624,70900,120.3,128.2,548,1.081,32.06,33.89,13.39,2.668,4.8,2.42,0.891,1.055
2,17,1.66,99720,25120,1698,615.8,70900,121.6,126.8,550,1.035,32.25,34.42,13.76,2.731,4.61,2.33,0.917,1.034
2,18,1.86,100200,25030,1680,612.6,71100,119.1,128.2,554,1.005,31.75,33.77,13.72,2.725,4.71,2.46,0.909,1.054
2,19,1.74,101300,25080,1686,619,71500,121.6,128.4,558,1.057,32.06,33.77,13.45,2.723,4.61,2.48,0.929,1.053
2,20,1.8,99640,24860,1664,604.5,70030,116.5,126,546,0.994,31.81,32.76,12.97,2.712,4.622,2.39,0.846,1.048
3,1,1.78,105600,27400,1795,644,76300,122.6,135.5,585,1.148,34.2,34,14.05,2.96,5.1,2.45,1.08,1.055
3,2,2.05,101900,26130,1721,635,74500,122.9,133.5,574,1.1,33.4,34.8,14.65,2.72,4.8,2.57,0.91,1.013
3,3,1.99,103400,25770,1735,702,72800,124.8,129.8,558,1.115,32.67,33.76,13.57,2.84,4.69,2.37,0.88,1.117
3,4,1.94,98800,24770,1668,599.3,70440,118.4,125,550.7,1.02,31.4,32.46,13.29,2.689,4.62,2.42,0.88,1.017
3,5,1.97,97970,24560,1668,585.4,69930,121.2,124.7,546,1.025,30.98,32.52,12.99,2.719,4.632,2.35,0.879,1.004
4,1,1.74,97200,24570,1687,581.2,69950,120.1,124.3,539.3,1.014,31.56,32.48,13.34,2.703,4.6,2.39,0.857,1.038
4,2,1.45,97670,24840,1709,582.3,71400,118.3,126,546,0.997,31.81,33.42,13.2,2.734,4.69,2.41,0.823,1.01
4,3,1.49,99600,25360,1760,591.8,72500,119.6,128.2,553,1.061,32.91,34.55,13.78,2.792,4.73,2.45,0.921,1.006
4,4,1.42,96450,25100,1748,570.3,72190,123.3,126.1,540.8,0.959,31.8,33.49,13.61,2.793,4.63,2.51,0.929,0.998
4,5,1.378,97170,25290,1765,570.2,72510,120.1,125.8,545,1,32.52,33.66,14.08,2.842,4.8,2.39,0.943,0.987
5,1,1.29,95820,24900,1764,568.7,72100,118.9,126.9,538,0.954,32.39,34.37,13.64,2.729,4.56,2.5,0.932,0.985
5,2,1.47,98430,25640,1779,573.4,72480,120.7,127.2,549,1.023,32.86,35.13,13.94,2.903,4.76,2.43,0.932,1.013
5,3,1.38,97070,25320,1786,573.4,73270,119.9,127.6,545.5,0.982,32.65,35.01,14.09,2.837,4.68,2.4,0.961,0.981
5,4,1.34,97890,25430,1771,572.6,72540,122.6,127.2,539.5,1.02,32.63,34.71,13.98,2.89,4.8,2.42,0.916,1.022
5,5,1.27,98810,25570,1802,572.7,72880,121.3,126.9,548,1.007,32.86,34.93,13.49,2.896,4.84,2.35,0.933,1.026
6,1,1.1,97080,25340,1826,567.9,73480,126.7,127.6,556,1.001,33.17,36.02,13.92,2.97,4.71,2.55,0.956,1.001
6,2,1.299,97890,25460,1807,571.3,73480,120.6,126.9,542.6,0.948,32.11,35.06,13.65,2.833,4.78,2.61,0.945,1.01
