"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AG",1,1,1.85,103980,23370,2655,1062.7,62480,160,18.33,669,2.054,30.84,36.62,10.87,4.13,9.46,3.62,0.999,1.067
"CompanyA","AG",1,2,2.37,104010,23170,2605,1067.5,61770,159,18.2,664,2.08,30.41,35.08,10.88,4.09,9.44,3.55,0.923,1.058
"CompanyA","AG",1,3,2.28,104990,23230,2610,1087.2,62070,161.5,18.49,658,2.169,30.56,35.45,10.94,4.12,9.64,3.48,0.966,1.175
"CompanyA","AG",1,4,2.27,105810,23340,2629,1086,61880,162.5,18.39,668,2.08,30.36,37.67,10.88,4.08,9.62,3.55,1.021,1.116
"CompanyA","AG",1,5,2.33,104090,23050,2625,1075,62150,159.7,18.38,657,2.23,30.02,36.74,10.52,4.14,9.46,3.47,0.998,1.149
"CompanyA","AG",2,1,1.97,102630,23350,2659,1057.1,63080,164.2,18.55,669,2.17,30.5,39.3,10.79,3.99,9.55,3.6,1.068,1.128
"CompanyA","AG",2,2,2.06,102620,23410,2664,1061.4,62850,163,18.46,656,2.105,30.76,35.78,11.02,4.03,9.41,3.5,0.941,1.117
"CompanyA","AG",2,3,2.11,104520,23230,2629,1080.7,62080,157.1,18.33,664,2.19,30.59,38.12,10.87,3.99,9.67,3.4,0.987,1.083
"CompanyA","AG",2,4,1.92,103240,23250,2634,1068.2,61740,161,18.1,650,2.11,29.99,37.11,10.39,4.04,9.32,3.49,0.957,1.037
"CompanyA","AG",2,5,2.25,103920,23170,2629,1073,61650,166,18.13,667,2.22,29.89,38.45,10.78,4.05,9.53,3.52,1.082,1.111
"CompanyA","AG",2,6,2.04,102900,23210,2647,1056,62410,163.1,18.3,660,2.19,30.36,37.21,10.71,4.04,9.55,3.58,1.012,1.024
"CompanyA","AG",2,7,2.18,103220,23190,2630,1079.5,62330,162.6,18.5,663,2.12,30.33,35.47,10.79,4.17,9.7,3.58,0.925,1.122
"CompanyA","AG",2,8,2.32,103420,23090,2601,1077.4,61920,162,18.48,651,2.13,30.25,36.4,10.86,4.08,9.55,3.43,0.96,1.138
"CompanyA","AG",2,9,2.06,103070,23030,2599,1076,61950,162.9,18.51,661,2.14,30.91,36.12,10.26,4.18,9.64,3.65,1.017,1.148
"CompanyA","AG",2,10,2,104190,23230,2614,1087.6,62170,165.3,18.4,671,2.14,30.26,37.76,10.77,4.08,9.65,3.64,1.026,1.158
"CompanyA","AG",2,11,2.07,103580,23000,2624,1083,62180,167.3,18.17,658,2.1,30.47,36.03,11.02,4.07,9.67,3.56,0.947,1.149
"CompanyA","AG",2,12,2.24,103450,23230,2643,1073.5,62390,167.7,18.52,650,2.094,30.79,37.22,10.64,4.11,9.67,3.55,1.069,1.117
"CompanyA","AG",2,13,2.26,103590,23160,2612,1076.8,61660,165.4,18.54,666,2.19,30.22,37.69,10.38,3.98,9.52,3.21,0.935,1.066
"CompanyA","AG",2,14,2.21,104630,23030,2576,1084.3,61320,168.9,18.46,651,2.13,29.84,35.69,10.58,4.1,9.52,3.26,0.956,1.079
"CompanyA","AG",2,15,2.29,105560,23190,2593,1102.6,61740,164.3,18.27,673,2.12,30.08,36.98,10.61,4.05,9.76,3.54,0.881,1.126
"CompanyA","AG",2,16,2.08,105880,23030,2562,1089.6,60340,157.4,18.59,654,2.23,29.58,35.06,10.8,4.1,9.45,3.28,0.934,1.127
"CompanyA","AG",2,17,2.41,106680,22960,2516,1097,59890,156.1,17.86,652,2.1,29.27,35.2,10.35,3.81,9.52,3.38,0.871,1.186
"CompanyA","AG",2,18,2.69,107150,22880,2511,1098,60010,158.1,18.22,653,2.18,28.82,34.88,10.31,3.87,9.54,3.35,0.976,1.125
"CompanyA","AG",2,19,2.06,107480,22900,2528,1105,60730,158.8,18.58,664,2.25,29.29,33.13,10.54,3.99,9.47,3.51,0.923,1.176
"CompanyA","AG",2,20,2.44,105840,22990,2549,1102.7,60870,159.9,18.47,657,2.16,29.75,36.56,10.36,3.96,9.68,3.39,0.785,1.149
"CompanyA","AG",3,1,1.78,102720,23440,2664,1072.5,63120,166.3,18.45,656,2.16,30.8,35.94,11.05,4.04,9.55,3.5,0.888,1.01
"CompanyA","AG",3,2,2.08,102660,23310,2670,1074.6,62890,165.8,18.5,657,2.03,31.05,36.23,11.24,4.17,9.56,3.59,0.922,1.07
"CompanyA","AG",3,3,2.19,103700,23230,2623,1094.1,62230,169.5,18.38,671,2.18,30.48,36.74,10.85,4.06,9.51,3.55,0.947,1.094
"CompanyA","AG",3,4,1.59,102540,23320,2664,1068,63060,167,18.48,651,2.19,31.13,35.51,11.08,4.24,9.64,3.68,0.886,1.066
"CompanyA","AG",3,5,1.87,102000,23430,2704,1071.4,63680,168,18.49,665,2.048,31.67,36.45,11.19,4.45,9.56,3.5,0.898,1.084
"CompanyA","AG",4,1,2.09,102800,23490,2698,1066.9,62930,165.3,18.68,682,2.13,31.35,40.24,10.97,4.3,9.78,3.38,1.078,1.066
"CompanyA","AG",4,2,2.07,102460,23280,2654,1077.8,62390,170,18.32,674,2.18,30.9,39.63,11.57,4.27,9.71,3.51,1.077,1.092
"CompanyA","AG",4,3,2.06,103270,23200,2639,1086.8,62140,163.2,18.27,665,2.02,30.61,39.94,10.73,4.04,9.79,3.5,1.031,1.128
"CompanyA","AG",4,4,1.78,104230,23140,2615,1088.3,61740,163.6,17.94,674,2.19,30.09,38.32,10.09,3.93,9.8,3.74,0.993,1.102
"CompanyA","AG",4,5,2,104520,22940,2587,1095.7,61590,162.3,18.56,670,2.15,30.67,37.39,10.24,3.96,9.66,3.35,1.024,1.154
"CompanyA","AG",5,1,1.89,104870,23030,2589,1090.6,61480,165.9,18.28,672,2.21,30.33,38.02,10.85,4.05,9.56,3.53,1.03,1.107
"CompanyA","AG",5,2,2.12,105280,22800,2523,1101,59820,163.4,18.11,671,2.22,29.59,37.26,10.21,3.85,9.54,3.26,1.001,1.129
"CompanyA","AG",5,3,2.01,104860,22950,2561,1094.5,60980,166,18.15,661,2.076,30.33,37.91,10.71,4.08,9.7,3.39,0.916,1.094
"CompanyA","AG",5,4,2.8,106050,22930,2540,1115.9,60900,169,18.73,666,2.17,29.7,36.16,10.81,3.97,9.52,3.51,0.953,1.183
"CompanyA","AG",5,5,2.2,105530,23010,2566,1101.1,61090,161.7,18.08,653,2.2,29.79,34.35,10.48,4,9.77,3.35,0.926,1.143
"CompanyA","AG",6,1,2.11,98800,23460,2681,1068,64000,175,18.81,652,2.2,31.3,35.4,11.33,4.3,9.62,3.6,0.91,1.07
"CompanyA","AG",6,2,1.87,103200,23790,2763,1080.4,66190,171.5,18.62,669,2.02,32.34,37.6,11.16,4.31,9.87,3.51,1.01,1.054
"CompanyA","AG",6,3,2.23,103600,24020,2736,1093,65580,166.3,19.25,660,2.23,31.95,36.8,11.06,4.32,9.84,3.37,0.859,1.06
"CompanyA","AG",6,4,1.98,104000,23190,2634,1084,62540,158.8,18.7,649,2.1,30.69,37.16,10.51,4.1,9.72,3.39,0.964,1.029
"CompanyA","AG",6,5,2.11,104950,23170,2618,1092.4,62000,159.2,18.23,655,2.16,30.45,36.97,10.28,4.07,9.53,3.32,1.006,1.111
"CompanyA","AG",7,1,2.48,106180,22930,2542,1107.5,60770,161.1,18.34,653,2.1,29.9,32.31,10.58,4.03,9.79,3.33,0.865,1.167
"CompanyA","AG",7,2,2.4,105970,22860,2537,1111,60750,165.5,18.26,665,2.19,30.1,33.75,10.45,4.04,9.69,3.39,0.866,1.126
"CompanyA","AG",7,3,2.15,106280,22740,2541,1130.4,61380,163.7,18.51,669,2.26,29.99,32.55,10.59,4.16,9.8,3.65,0.85,1.121
"CompanyA","AG",7,4,1.98,106340,23050,2591,1116.5,61490,158.6,18.2,656,2.19,30.52,34.61,10.6,4.16,9.6,3.37,0.93,1.115
"CompanyA","AG",7,5,1.84,106730,22940,2573,1121.4,61320,161.1,18.25,666,2.17,30.38,36.2,10.76,4.06,9.59,3.5,0.92,1.097
"CompanyA","AG",8,1,2.41,106690,22970,2562,1115.2,60710,162.2,18.69,652,2.09,29.71,33.91,10.69,4.04,9.61,3.37,0.867,1.115
"CompanyA","AG",8,2,2.1,106290,22970,2564,1111,60790,168.1,18.72,661,2.08,30.05,34.9,10.68,4.24,9.79,3.27,0.897,1.101
