"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AJ",1,1,1.69,100500,23270,2713,1215,64370,167.2,18.15,674,2.14,30.91,33.29,11.84,4.36,9.64,3.61,0.951,1.087
"CompanyA","AJ",1,2,1.74,100130,23130,2719,1229,64260,165.2,18.33,672,2.1,31.5,33.37,10.76,4.38,9.73,3.72,0.956,1.084
"CompanyA","AJ",1,3,1.51,100000,22970,2696,1235,63990,166.4,18.15,677,2.12,31.1,33.45,10.97,4.24,9.49,3.38,0.905,1.052
"CompanyA","AJ",1,4,1.81,102400,23280,2709,1254,64270,170.7,18.93,670,2.14,31.25,34.43,10.84,4.22,9.59,3.5,0.992,1.067
"CompanyA","AJ",1,5,1.56,101400,22830,2667,1256,63480,169,18.44,675,2.14,31.21,33.76,11,4.2,9.74,3.7,0.889,1.094
"CompanyA","AJ",2,1,1.73,100100,22830,2626,1244,63600,159.5,18.88,672,2.13,30.75,33,10.26,4.16,9.57,3.54,0.789,1.125
"CompanyA","AJ",2,2,1.84,99800,23030,2659,1251,64480,168,18.81,683,2.14,31.69,33.2,11.14,4.4,9.75,3.5,0.91,1.077
"CompanyA","AJ",2,3,1.24,97300,25020,2965,1217,67600,166.5,19.36,682,1.97,32.19,36.3,10.81,4.32,9.5,3.83,0.844,1.014
"CompanyA","AJ",2,4,1.87,101100,23020,2614,1260,62310,162.6,18.52,679,2.16,31.21,32.32,10.65,4.17,9.65,3.54,0.884,1.056
"CompanyA","AJ",2,5,1.69,101500,22890,2625,1260,62600,162.8,18.71,683,2.24,29.97,32.62,10.66,3.99,9.79,3.28,0.866,1.111
"CompanyA","AJ",2,6,1.62,102700,23100,2638,1264,62990,162.2,18.41,672,2.16,30.59,32.99,11.46,4.15,9.69,3.24,0.897,1.166
"CompanyA","AJ",2,7,1.7,103000,22990,2641,1282,63210,159.1,18.69,690,2.23,31.11,31.59,11.02,4.23,9.88,3.62,0.804,1.115
"CompanyA","AJ",2,8,1.93,101400,22670,2615,1270,62550,155.7,18.52,676,2.13,30.19,31.81,11.19,4.06,9.61,3.26,0.879,1.076
"CompanyA","AJ",2,9,1.68,102100,23030,2612,1271,63180,165.7,18.64,681,2.08,30.47,32.7,11.07,4.09,9.89,3.34,0.876,1.037
"CompanyA","AJ",2,10,1.61,102300,22710,2632,1263,63550,162.7,18.54,668,2.25,31.03,33.49,11.42,4.09,9.73,3.54,0.953,1.101
"CompanyA","AJ",2,11,1.78,103200,23100,2651,1282,63300,163.5,18.48,674,2.19,30.53,32.31,10.97,4.29,9.63,3.58,0.83,1.115
"CompanyA","AJ",2,12,1.53,101300,22640,2623,1271,63170,165.5,18.7,685,2.09,30.44,31.62,10.81,4.27,9.87,3.63,0.908,1.114
"CompanyA","AJ",2,13,1.83,101600,22820,2611,1275,63030,163.4,18.35,657,2.18,30.4,33.41,11.25,4.17,9.73,3.45,0.794,1.119
"CompanyA","AJ",2,14,1.75,102600,22850,2624,1281,63610,159.9,18.71,680,2.19,31.27,33.05,11.26,4.31,10.01,3.47,0.843,1.132
"CompanyA","AJ",2,15,1.66,101500,22800,2617,1269,62570,161.8,18.49,673,2.18,30.24,32.75,11.07,4.27,9.93,3.47,0.879,1.103
"CompanyA","AJ",2,16,1.52,102900,22930,2635,1268,62710,163.4,18.39,660,2.26,31.18,32.27,11.21,4.16,9.9,3.59,0.925,1.09
"CompanyA","AJ",2,17,1.67,101200,22880,2643,1248,63620,166.5,18.31,659,2.1,30.54,33.28,11.32,4.27,9.82,3.31,0.827,1.065
"CompanyA","AJ",2,18,1.6,102000,23140,2674,1266,64120,168,18.95,661,2.22,30.84,34.36,11.95,4.37,9.93,3.78,0.858,1.135
"CompanyA","AJ",2,19,1.61,101600,22860,2657,1268,64060,163,18.61,671,2.13,30.98,32.52,10.89,4.12,9.82,3.44,0.857,1.142
"CompanyA","AJ",2,20,1.59,101700,22950,2623,1260,62990,161.1,18.76,670,2.18,31.12,32.86,11.18,4.33,9.86,3.63,0.965,1.041
"CompanyA","AJ",3,1,1.73,99300,23090,2700,1229,64530,165.9,18.39,664,2.09,31.71,35.67,11.45,4.23,9.93,3.54,0.926,1.049
"CompanyA","AJ",3,2,1.68,99100,23180,2738,1229,65000,164.7,18.9,670,2.09,31.79,33.3,11.59,4.19,9.76,3.76,0.916,1.045
"CompanyA","AJ",3,3,1.81,98800,22980,2687,1235,64490,171,18.57,667,2.24,31.24,33.62,11.17,3.99,9.64,3.6,0.898,1.12
"CompanyA","AJ",3,4,1.6,98900,23140,2684,1231,64470,165.4,18.18,665,2.03,31.01,33.95,11.08,4.29,9.68,3.68,0.97,1.034
"CompanyA","AJ",3,5,1.57,100260,22980,2680,1251,63880,164.7,18.39,665,2.14,30.94,34.93,10.59,4.32,9.76,3.57,0.944,1.041
"CompanyA","AJ",4,1,1.67,99210,23130,2726,1230,63780,163.9,18.33,651,2.13,30.77,33.67,11.5,4.15,9.74,3.51,0.848,1.004
"CompanyA","AJ",4,2,1.43,99780,23220,2734,1236,64280,168.9,18.5,681,2.16,31.51,33.99,11.03,4.12,9.86,3.73,0.915,1.069
"CompanyA","AJ",4,3,1.58,99660,23190,2701,1245,65130,166.9,18.51,670,2.05,31.88,33.28,11.44,4.35,9.92,3.74,0.926,1.108
"CompanyA","AJ",4,4,1.49,99920,23070,2685,1229,63990,168.9,18.55,673,2.14,31.59,34.36,11.03,4.42,9.61,3.38,0.916,1.044
"CompanyA","AJ",4,5,1.53,99990,23070,2695,1239,63440,165.7,18.53,652,2.08,30.87,34.99,11.05,4.09,9.78,3.72,0.912,1.084
"CompanyA","AJ",5,1,1.62,99100,23240,2715,1226,64750,165.1,18.59,667,2.09,30.97,34.63,11.03,4.47,9.85,3.73,0.912,1.057
"CompanyA","AJ",5,2,1.73,99580,23320,2737,1227,64950,166.5,18.44,661,2.16,32.04,34.04,10.85,4.26,10.04,3.59,0.817,1.058
"CompanyA","AJ",5,3,1.72,99620,23180,2716,1233,65110,163.2,18.85,689,2.25,31.37,34.51,11.6,4.22,9.84,3.53,0.851,1.117
"CompanyA","AJ",5,4,1.72,100400,23200,2714,1240,64670,164.3,18.63,665,1.98,31.65,34.2,11.04,4.25,9.83,3.57,0.863,1.091
"CompanyA","AJ",5,5,1.77,99900,23150,2667,1230,63720,164.9,18.89,667,2.17,31.63,33.25,11.2,4.23,9.84,3.56,0.887,1.12
"CompanyA","AJ",6,1,1.73,99660,23020,2692,1220,63350,158.4,18.54,659,2.18,31.18,33.29,11.82,4.18,9.66,3.39,0.866,1.089
"CompanyA","AJ",6,2,1.53,99580,22790,2670,1230,62810,163,17.69,635,2.15,30.48,32.93,10.66,4.18,9.84,3.4,0.884,1.071
"CompanyA","AJ",6,3,1.53,101100,22940,2683,1237,63840,161.3,18.09,664,2.13,31.31,33.5,10.78,4.16,9.8,3.52,0.88,1.001
"CompanyA","AJ",6,4,1.62,100500,23140,2671,1234,63740,164.8,18.69,646,2.07,31.04,33.41,11.15,4.33,9.62,3.48,0.891,1.096
"CompanyA","AJ",6,5,1.62,101000,23060,2665,1239,64090,159.2,18.11,660,2.138,31.22,33.46,10.7,4.16,9.57,3.16,0.837,1.028
"CompanyA","AJ",7,1,1.75,100900,23090,2656,1239,62780,170.5,18.43,678,2.11,30.6,33.41,10.74,4.1,9.66,3.43,0.886,1.099
"CompanyA","AJ",7,2,1.64,101800,23130,2625,1247,63200,167.6,18.29,664,2.07,30.45,33.41,10.44,4.08,9.62,3.4,0.89,1.078
"CompanyA","AJ",7,3,1.77,101700,23090,2634,1242,61940,157.3,18.57,656,2.16,30.76,32.8,10.89,4.27,9.89,3.34,0.934,1.069
"CompanyA","AJ",7,4,1.64,101800,23040,2629,1250,62920,162.2,18.58,669,2.18,30.55,31.7,11.1,4.1,9.9,3.49,0.842,1.058
"CompanyA","AJ",7,5,1.51,101400,22840,2627,1241,62190,163.5,18.09,666,2.18,30.03,31.58,11.11,4.15,9.65,3.35,0.845,1.131
"CompanyA","AJ",8,1,1.56,99000,23610,2751,1206,63820,165.2,18.63,659,2,31.03,33.49,11.14,4.11,9.54,3.36,0.859,1.087
"CompanyA","AJ",8,2,1.63,98000,23450,2740,1206,64140,162.9,18.45,665,2.18,30.71,33.51,11.05,4.22,9.61,3.73,0.798,1.053
"CompanyA","AJ",8,3,1.35,98900,23640,2770,1210,64270,167.7,18.71,669,2.06,31.32,33.64,11.1,4.27,9.39,3.64,0.859,1.05
"CompanyA","AJ",8,4,1.66,99780,23360,2728,1216,64080,161,18.14,670,2.06,30.83,33.46,11.29,4.22,9.78,3.45,0.889,0.993
"CompanyA","AJ",8,5,1.5,100100,23400,2721,1221,63330,164.2,18.67,670,2.08,31.1,32.5,11.44,4.12,9.46,3.47,0.891,1.058
"CompanyA","AJ",9,1,0.96,98030,24420,2950,1183,67430,174.6,18.96,663,2.15,33.31,36.56,11.1,4.54,9.9,3.76,0.92,1.024
"CompanyA","AJ",9,2,1.06,97700,24100,2927,1193,67480,172.8,18.5,669,1.97,32.93,36.9,11.85,4.45,9.87,3.65,0.94,1.041
"CompanyA","AJ",9,3,1.31,100300,24510,2963,1204,68560,171.7,18.85,673,2.12,33.62,35.95,12.29,4.68,10.18,3.66,1.05,1.033
"CompanyA","AJ",9,4,1.18,99510,24080,2937,1216,68460,174.1,18.76,678,2.1,33.24,36.4,11.47,4.48,9.9,3.58,0.955,0.996
"CompanyA","AJ",9,5,1.08,99280,24050,2871,1214,66030,173.5,18.55,685,2,32.71,36.05,11.51,4.36,9.93,3.77,0.95,1.035
"CompanyA","AJ",10,1,1.21,98400,25400,3052,1199,67780,175.9,19.49,669,1.96,33.47,36.2,11.91,4.58,9.54,3.62,0.86,0.99
"CompanyA","AJ",10,2,1.27,98400,25450,3055,1187,67600,162.7,18.99,674,1.96,32.82,36.1,11.65,4.3,9.54,3.73,0.95,0.966
