"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AY",1,1,1.86,102750,22870,2718,1327,61650,160.6,17.56,684,2.37,29.4,25.3,12.08,4.07,9.98,3.64,0.57,1.135
"CompanyA","AY",1,2,1.76,103280,22840,2704,1331,61940,154.4,17.51,653,2.23,29.26,25.14,12.41,4.13,9.73,3.68,0.63,1.09
"CompanyA","AY",1,3,1.83,103600,23000,2717,1349,62050,161.2,17.13,683,2.45,29.31,26.3,12.33,4.35,10.32,3.49,0.71,1.09
"CompanyA","AY",1,4,1.81,104680,23050,2676,1357,61910,166.3,17.33,693,2.15,30.01,24.8,12.47,4.19,9.69,3.41,0.69,1.071
"CompanyA","AY",1,5,1.9,106670,23190,2690,1350,61910,154.8,18.11,678,2.37,30.05,25.98,12.35,4.05,10.2,3.45,0.56,1.108
"CompanyA","AY",2,1,1.75,102950,22950,2738,1325,62540,165.2,17.51,674,2.18,30.15,25.33,12.89,4.3,9.94,3.6,0.59,1.088
"CompanyA","AY",2,2,1.8,102920,22860,2750,1334,62840,159.3,17.5,676,2.39,30.71,26.28,12.97,4.13,10.05,3.4,0.61,1.144
"CompanyA","AY",2,3,1.8,103500,22800,2703,1320,61480,164.5,18.41,667,2.29,30.11,25.8,11.5,4.3,10.1,3.43,0.61,1.056
"CompanyA","AY",2,4,1.82,104020,22890,2694,1358,61850,154.7,18.35,656,2.32,29.81,26.5,12.75,4.13,10.01,3.41,0.7,1.113
"CompanyA","AY",2,5,1.8,103800,22790,2689,1363,61870,149.9,17.34,687,2.46,29.33,24.62,11.9,4.29,10.26,3.08,0.68,1.02
"CompanyA","AY",2,6,1.94,103500,22680,2690,1384,61970,157.7,17.63,675,2.3,28.74,25,11.56,4.11,10.37,3.35,0.62,1.19
"CompanyA","AY",2,7,1.53,104100,22810,2697,1349,61770,162,17.3,678,2.4,29.42,25.4,12.2,4.24,10.06,3.55,0.68,1.114
"CompanyA","AY",2,8,1.76,104270,22720,2674,1365,61230,157,17.33,655,2.26,29.12,25.6,12.26,4.24,10.07,3.29,0.7,1.15
"CompanyA","AY",2,9,1.65,104570,22710,2677,1368,62130,166.5,17.32,711,2.32,29.52,25.66,12.2,4.22,10.03,3.11,0.68,1.15
