"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAA",1,1,1.4,100700,22920,2847,1336,62360,152,18.51,686,2.3,30.4,26.7,11.5,4.38,9.94,3.66,0.75,1.11
"CompanyA","AAA",1,2,1.25,102210,23160,2830,1370,61620,160,18.82,699,2.38,29.7,27.3,13.4,4.7,10.02,3.71,0.69,1.27
"CompanyA","AAA",1,3,1.52,102510,23080,2828,1367,61970,157,19.49,736,2.17,31.79,27.3,12.9,4.15,10.49,3.9,0.83,1.18
"CompanyA","AAA",1,4,1.87,102630,22870,2788,1374,61040,162,18.63,694,2.38,30.61,26.6,12.1,4.6,10.29,3.26,0.75,1.1
"CompanyA","AAA",1,5,1.62,101570,23250,2796,1364,60250,158,19.27,679,2.26,30.7,27,13,4.42,10.23,3.45,0.61,1.11
"CompanyA","AAA",2,1,2.11,103400,22860,2825,1390,59830,159,17.46,697,2.03,30.3,25,12.9,4.27,10.27,3.7,0.63,1.17
"CompanyA","AAA",2,2,1.55,103500,22830,2787,1399,60630,167,18.6,709,2.43,31.1,27.2,13.8,4.72,10.41,3.48,0.6,1.17
"CompanyA","AAA",2,3,1.84,103260,22420,2765,1397,59080,154,19.16,661,2.46,29.8,25,11.9,4.39,10.59,3.48,0.62,1.14
"CompanyA","AAA",2,4,1.46,103400,22460,2760,1410,59410,165,17.7,665,2.39,30.07,25.3,12.4,4.53,9.92,3.46,0.58,1.07
"CompanyA","AAA",2,5,1.46,104800,22260,2723,1427,58380,154,17.91,686,2.36,29.7,26.5,12.6,4.65,10.55,3.27,0.56,1.07
"CompanyA","AAA",2,6,1.23,103980,22510,2703,1405,57530,159,17.65,668,2.19,29.6,24.8,12.8,4.14,10.06,3.14,0.79,1.01
"CompanyA","AAA",2,7,1.23,104200,22560,2743,1404,57330,161,18.03,679,2.1,29.6,24.4,13,3.99,10.13,3.17,0.66,1.1
"CompanyA","AAA",2,8,2.18,104200,22940,2739,1408,58490,173,17.3,647,2.23,28.8,25.5,12.3,4.22,10.57,3.32,0.45,1.06
"CompanyA","AAA",2,9,1.44,103600,22150,2707,1407,58000,152,18.08,661,2.3,29.4,26.3,13.5,4.4,10.25,3.66,0.67,1.15
"CompanyA","AAA",2,10,2.02,105000,22660,2755,1409,57480,166,17.74,669,2.46,29.3,26.1,13,4.33,10.13,3.41,0.66,1.1
"CompanyA","AAA",2,11,1.45,103770,22620,2692,1414,58290,167,17.8,689,2.28,29.53,25.5,13.2,4.46,10.09,3.44,0.77,1.13
"CompanyA","AAA",2,12,1.52,105100,22770,2731,1406,58470,168,19.01,653,2.37,29,24.9,13.3,4.58,10.76,3.67,0.65,1.1
"CompanyA","AAA",2,13,1.21,103500,22330,2710,1417,58450,159,18.2,710,2.31,29.2,23.6,11.5,4.27,10.52,3.5,0.64,1.17
"CompanyA","AAA",2,14,1.88,104200,22470,2704,1412,59010,147,18.81,661,2.32,29.4,23.8,13.5,4.59,9.8,3.42,0.69,1.1
"CompanyA","AAA",2,15,1.46,104600,22720,2703,1402,59110,159,17.69,690,2.13,30.82,26.6,12.1,4.22,10.64,3.1,0.46,1.06
