"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAB",1,1,1.13,101160,23700,3044,1082.5,65510,168.3,18.18,684,2.305,31.35,27.23,13.26,4.76,10.39,3.78,0.735,1.085
"CompanyA","AAB",1,2,1.25,101510,23930,3050,1094.1,66170,175.7,18.51,690,2.229,32.49,27.26,14.01,4.92,10.75,3.91,0.815,1.078
"CompanyA","AAB",1,3,1.27,100820,23550,3044,1091.1,65390,171.9,18.27,693,2.209,31.85,27.31,13.5,4.77,10.59,3.9,0.768,1.116
"CompanyA","AAB",1,4,1.42,100850,23510,3046,1097,66010,175.8,18.29,691,2.27,32.23,27.19,13.87,4.9,10.76,3.95,0.769,1.119
"CompanyA","AAB",1,5,1.17,100250,23730,3047,1103.6,66170,177.1,18.44,698,2.234,32.99,27.97,13.95,5.09,11,3.83,0.826,1.138
"CompanyA","AAB",2,1,1.43,102020,23590,2954,1124.2,64790,170,18.57,694,2.357,31.78,28.01,13.98,4.74,10.6,3.96,0.769,1.158
"CompanyA","AAB",2,2,1.32,103430,23480,2920,1134.5,64180,170.7,18.5,690,2.377,31.73,26.59,13.25,4.68,10.8,3.9,0.725,1.134
"CompanyA","AAB",2,3,1.51,102340,23440,2916,1122,64350,167.7,18.27,680,2.262,31.44,26.26,13.37,4.55,10.78,3.68,0.784,1.167
"CompanyA","AAB",2,4,1.39,103150,23510,2913,1131,63690,171.6,18.05,695,2.384,30.97,26.1,12.79,4.76,10.76,4.02,0.713,1.137
"CompanyA","AAB",2,5,1.4,102570,23360,2920,1133.9,64010,166.8,18.4,683,2.38,31.38,26.33,14.04,4.66,10.76,3.82,0.722,1.135
"CompanyA","AAB",2,6,1.45,102430,23360,2918,1139,64170,169.7,18.27,688,2.379,31.22,26.17,13.51,4.67,10.83,3.78,0.747,1.153
"CompanyA","AAB",2,7,1.6,102320,23350,2875,1155.5,63780,167.5,18.16,694,2.276,30.91,25.93,13.07,4.61,10.68,3.69,0.757,1.182
"CompanyA","AAB",2,8,1.5,103400,23060,2844,1147.9,63180,161.6,18.06,686,2.372,30.74,25.68,13.14,4.57,10.79,3.68,0.717,1.173
"CompanyA","AAB",2,9,1.45,103370,23290,2867,1148,63810,166.2,18.33,690,2.447,31.22,26.47,13.19,4.63,10.73,3.68,0.76,1.165
"CompanyA","AAB",2,10,1.35,102400,23050,2855,1133,63190,160.7,17.83,668,2.353,31.2,26.47,13.48,4.55,10.73,3.61,0.727,1.188
"CompanyA","AAB",2,11,1.32,101690,23220,2892,1143.2,63740,166.5,18.13,681,2.383,31.37,26.4,13.99,4.7,10.65,3.68,0.817,1.145
"CompanyA","AAB",2,12,1.62,102690,23520,2916,1135,64190,166.9,18.22,686,2.383,31.8,27.22,13.69,4.79,10.72,3.85,0.712,1.157
"CompanyA","AAB",2,13,1.35,102430,23350,2904,1150.8,64180,167.6,18.31,688,2.352,31.31,26.7,13.55,4.77,10.82,3.84,0.723,1.166
"CompanyA","AAB",2,14,1.63,103540,23200,2855,1157,62860,168,18.04,680,2.423,31.4,25.75,13.73,4.77,10.65,3.69,0.669,1.154
"CompanyA","AAB",2,15,1.52,102940,23340,2879,1144.5,63740,169,18.45,689,2.457,31.45,26.18,13.37,4.71,10.62,3.78,0.679,1.126
"CompanyA","AAB",2,16,1.51,101810,23300,2912,1148.7,64410,173,18.33,684,2.402,31.24,27.02,13.93,4.9,10.67,3.74,0.794,1.152
"CompanyA","AAB",2,17,1.33,102860,23330,2926,1155.8,64450,164.1,18.1,688,2.352,32.11,27.25,13.47,4.8,10.9,3.79,0.688,1.183
"CompanyA","AAB",2,18,1.39,101550,23360,2935,1147,65210,170.2,18.14,680,2.361,31.88,27.49,13.65,4.79,11,3.91,0.749,1.129
"CompanyA","AAB",2,19,1.47,101890,23240,2885,1152,64040,168.9,18.04,675,2.392,30.98,26.03,14,4.77,10.84,3.65,0.717,1.132
"CompanyA","AAB",2,20,1.41,103210,22910,2847,1163.9,63320,164.6,18.2,681,2.344,30.8,25.35,13.39,4.76,10.61,3.7,0.642,1.129
"CompanyA","AAB",3,1,1.53,101390,23410,2914,1135,64260,172.9,18,677,2.324,31.56,26.44,14.06,4.58,10.74,3.78,0.768,1.111
"CompanyA","AAB",3,2,1.34,101000,23410,2949,1131.2,64540,171.6,18.06,681,2.319,31.7,27.19,13.71,4.71,10.77,3.77,0.755,1.159
"CompanyA","AAB",3,3,1.26,100820,23410,2935,1137.6,64880,169.9,18.34,687,2.283,32.06,27.1,13.34,4.85,10.91,3.88,0.705,1.119
"CompanyA","AAB",3,4,1.21,100740,23380,2966,1129,64880,172.2,18.44,667,2.276,32.09,26.94,14.05,4.77,10.83,3.88,0.752,1.124
"CompanyA","AAB",3,5,1.42,101020,23280,2942,1143.9,64420,172.2,18.43,677,2.428,31.73,26.43,13.43,4.84,10.91,3.85,0.708,1.13
"CompanyA","AAB",4,1,1.29,99040,23470,3034,1112.7,65790,174.3,17.93,684,2.281,32.72,26.51,14.03,4.92,10.89,3.93,0.76,1.099
"CompanyA","AAB",4,2,1.1,98500,23420,3025,1107.7,65920,170.8,18.07,663,2.266,32.7,27.68,13.67,4.94,10.8,3.98,0.727,1.08
"CompanyA","AAB",4,3,1.04,98780,23780,3082,1108.6,66620,174.8,18.18,680,2.283,33.13,29.11,14.58,5.07,11.09,3.81,0.812,1.126
"CompanyA","AAB",4,4,1.01,98790,23810,3101,1109.7,66930,168.7,18.16,665,2.392,33.09,29.55,14.04,5.1,11.13,3.96,0.754,1.109
"CompanyA","AAB",4,5,1.03,98760,23800,3100,1113.6,67390,175.8,18.45,677,2.296,33.6,28.78,14.77,5.17,11.1,4.2,0.738,1.102
"CompanyA","AAB",5,1,1.18,98440,23780,3089,1111.7,67370,175.2,18.4,671,2.24,33.38,28.35,13.43,5.07,11,4.12,0.737,1.092
"CompanyA","AAB",5,2,1.03,98900,23670,3082,1107.5,66980,173.8,17.99,666,2.214,33.18,28.44,14.01,5.06,10.93,3.87,0.813,1.058
"CompanyA","AAB",5,3,1.01,99350,23850,3109,1115.2,67580,169.8,18.07,665,2.327,33.56,28.38,14.39,5,10.97,3.86,0.753,1.052
"CompanyA","AAB",5,4,1.04,99290,23910,3140,1121.3,67580,181.2,18.43,671,2.352,33.57,28.51,14.37,5.17,11.21,4.07,0.764,1.061
"CompanyA","AAB",5,5,1.01,99400,23730,3068,1121,66920,177.7,18.59,678,2.36,33.35,28.18,14.53,5.09,11.09,4.21,0.742,1.003
"CompanyA","AAB",6,1,1.22,101630,23180,2911,1131.1,63620,163.6,17.89,665,2.327,31.33,26.41,12.85,4.8,10.59,3.86,0.73,1.118
"CompanyA","AAB",6,2,1.15,100600,24100,3019,1131,65990,169.4,18.68,665,2.3,32.61,28.95,13.84,4.86,10.69,4.09,0.776,1.027
"CompanyA","AAB",6,3,1.18,101000,23700,2967,1136.2,64690,169.5,18.32,674,2.298,31.64,27.2,13.78,4.75,10.32,3.87,0.719,1.045
"CompanyA","AAB",6,4,1.52,100100,23830,2943,1111,64600,169.2,17.76,669,2.33,31.7,26.9,13.85,4.88,10.56,3.53,0.75,1.012
"CompanyA","AAB",8,3,1.64,102900,22860,2846,1158.3,63790,170.8,17.61,678,2.36,31.5,25.98,14.01,4.7,11.2,3.88,0.722,1.225
"CompanyA","AAB",8,4,1.41,102870,22740,2848,1163,63130,172.7,18.25,672,2.354,31.53,26.15,13.61,4.8,11.09,3.76,0.714,1.166
"CompanyA","AAB",8,5,1.55,102580,22740,2831,1176.9,63640,169.2,17.57,678,2.449,31.02,26.01,13.44,4.65,10.78,3.87,0.701,1.149
"CompanyA","AAB",10,2,1.61,102560,22680,2820,1174.2,63340,166.9,17.69,671,2.42,31.05,25.79,13.29,4.78,11.02,3.95,0.694,1.157
"CompanyA","AAB",10,3,1.62,102030,22590,2777,1166.6,62560,168.8,17.66,666,2.434,30.92,25.14,13.96,4.82,11.09,3.84,0.704,1.199
"CompanyA","AAB",10,4,1.52,103190,22840,2800,1182.3,63300,168.6,17.92,674,2.401,31.25,26.56,14.09,4.8,10.97,3.68,0.767,1.244
"CompanyA","AAB",10,5,1.58,102830,22670,2791,1184,63010,169.4,18.11,672,2.39,31.75,25.59,14.02,4.8,11.1,3.97,0.691,1.26
"CompanyA","AAB",11,1,1.57,101130,22600,2862,1172.2,63890,172.3,17.75,671,2.34,31.27,25.94,14.19,4.85,11.17,3.88,0.735,1.192
"CompanyA","AAB",11,2,1.41,102480,22970,2880,1168.4,63890,171.6,18.08,684,2.37,32.04,26.52,13.98,4.76,11.16,3.91,0.756,1.137
