"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAF",1,1,2.05,105010,22670,2643,1364.1,60640,170.1,18.03,688,2.39,30.12,25.87,12.63,4.26,9.99,3.41,0.67,1.186
"CompanyA","AAF",1,2,1.86,104540,22670,2657,1369,60540,161,17.35,702,2.18,30.36,26.47,11.78,4.21,10.25,3.54,0.71,1.178
"CompanyA","AAF",1,3,1.99,105240,22690,2631,1387,60140,164.7,18.49,710,2.31,30.18,26.06,12.58,4.27,10.24,3.44,0.636,1.172
"CompanyA","AAF",1,4,2.14,105630,22440,2631,1396,60420,158.4,18.03,702,2.38,29.68,26.34,12.91,4.2,10.26,3.23,0.71,1.163
"CompanyA","AAF",1,5,2.22,105730,22510,2610,1399,60740,165.3,17.87,682,2.35,29.69,26.78,11.93,4.12,10.27,3.63,0.69,1.139
"CompanyA","AAF",2,1,1.74,104190,22510,2678,1378,60470,165.7,17.91,667,2.27,29.64,26.43,12.22,4.14,10.37,3.53,0.63,1.146
"CompanyA","AAF",2,2,1.75,104760,22720,2674,1378,60860,166.3,17.48,677,2.34,29.6,26.2,12.22,4.27,10.1,3.68,0.68,1.147
"CompanyA","AAF",2,3,1.42,105400,22740,2657,1389,60370,159.5,17.82,691,2.35,29.9,26.07,12.25,4.17,10.16,3.76,0.72,1.12
"CompanyA","AAF",2,4,1.74,105120,22530,2650,1417,60580,163,17.94,698,2.19,30.21,27.1,11.57,4.28,9.93,3.49,0.635,1.116
"CompanyA","AAF",2,5,1.73,105910,22700,2655,1407,60930,163.8,18.41,700,2.44,30.37,27.08,11.94,4.08,10.41,3.41,0.7,1.19
"CompanyA","AAF",2,6,2.37,106790,22580,2642,1395,60180,163.7,17.74,670,2.35,29.31,26.31,12.56,4.32,10.12,3.63,0.74,1.215
"CompanyA","AAF",2,7,2.08,105520,22660,2666,1398,60660,168.6,17.63,692,2.37,30.35,26.77,12.8,4.23,10.05,3.18,0.65,1.123
"CompanyA","AAF",2,8,2.06,106500,22800,2672,1408,60710,164.1,17.55,668,2.31,30.1,25.84,12.32,4.49,10.47,3.81,0.65,1.231
