"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAK",1,1,2.39,104190,23130,2681,1357,62430,167.8,18.23,667,2.237,30.68,26.02,11.78,4.242,9.88,3.49,0.665,1.122
"CompanyA","AAK",1,2,1.34,103900,22820,2656,1336,61750,169.5,17.66,666,2.329,30.42,25.79,11.29,4.16,9.51,3.31,0.724,1.149
"CompanyA","AAK",1,3,2.3,104370,22810,2653,1329,61250,172.6,17.62,668,2.209,29.98,25.58,11.33,4.11,9.63,3.6,0.676,1.178
"CompanyA","AAK",1,4,1.95,104890,22900,2657,1373,62010,167.8,17.38,680,2.292,30.3,26.06,11.15,4.2,9.6,3.58,0.677,1.185
"CompanyA","AAK",1,5,2.26,104670,22950,2662,1352,61370,170.2,17.77,675,2.266,30.06,26.01,11.16,4.148,9.31,3.36,0.636,1.188
"CompanyA","AAK",2,1,2.14,104500,23260,2732,1350,63050,172.9,17.69,679,2.19,30.93,26.74,10.95,4.34,9.51,3.51,0.74,1.133
"CompanyA","AAK",2,2,2.29,105200,23340,2738,1351,62800,168.3,17.52,681,2.21,31.12,27.05,11.04,4.38,9.38,3.53,0.735,1.246
"CompanyA","AAK",2,3,2.28,105700,23410,2717,1376,62830,167.1,17.7,679,2.22,30.72,27.32,10.97,4.35,9.51,3.58,0.663,1.229
"CompanyA","AAK",2,4,2.35,104200,23050,2701,1333,62040,171.6,17.93,663,2.09,30.7,26.47,10.83,4.39,9.14,3.64,0.743,1.222
"CompanyA","AAK",2,5,2.13,104100,22910,2700,1332,61830,171.5,17.93,680,2.119,30.64,26.61,10.56,4.3,9.18,3.51,0.698,1.176
"CompanyA","AAK",2,6,1.71,104400,23200,2719,1364,62950,170.6,18.34,693,2.156,31,26.41,11.17,4.31,9.29,3.61,0.638,1.196
"CompanyA","AAK",2,7,2.06,106600,23260,2740,1381,62710,174.9,18.42,686,2.08,31.32,26.97,11.1,4.49,9.54,3.7,0.752,1.209
"CompanyA","AAK",2,8,1.88,105700,22940,2734,1345,62390,172.4,18.01,679,2.25,30.49,27.08,10.38,4.32,9.41,3.69,0.711,1.22
"CompanyA","AAK",2,9,1.84,104900,22950,2707,1341,62120,171.3,18.28,688,2.136,31.11,26.93,10.84,4.26,9.39,3.41,0.719,1.146
"CompanyA","AAK",2,10,2.04,105000,23050,2719,1365,63180,174.9,18.02,692,2.22,30.98,27.38,11.09,4.4,9.35,3.75,0.736,1.244
"CompanyA","AAK",2,11,2.12,106000,23020,2734,1362,62760,168.7,18.05,687,2.21,30.8,26.74,11.26,4.44,9.58,3.65,0.686,1.202
"CompanyA","AAK",2,12,1.63,105300,22910,2718,1391,62570,170.2,18.12,687,2.209,30.73,25.6,10.86,4.39,9.66,3.6,0.696,1.185
"CompanyA","AAK",2,13,2.35,105320,23130,2735,1371,62450,175,17.96,682,2.24,30.57,25.97,11.01,4.34,9.6,3.58,0.699,1.21
"CompanyA","AAK",2,14,2.45,105300,22880,2721,1347,61970,174.5,17.74,687,2.12,30.57,26.3,10.85,4.46,9.63,3.67,0.656,1.194
"CompanyA","AAK",2,15,2.12,106100,23320,2755,1370,63100,172.2,18.1,695,2.16,30.94,26.4,11.48,4.54,10.07,3.6,0.708,1.211
"CompanyA","AAK",2,16,2.31,105700,23150,2766,1372,63220,173.5,17.99,687,2.22,31.06,27.54,11.45,4.45,9.94,3.7,0.676,1.236
"CompanyA","AAK",2,17,1.81,105500,23150,2763,1380,63020,170.4,18,678,2.138,30.76,26.83,11.41,4.39,10.02,3.79,0.727,1.248
"CompanyA","AAK",2,18,2.4,105600,22970,2749,1337,62410,168.6,17.54,680,2.22,30.57,26.84,11.08,4.26,9.89,3.35,0.644,1.129
"CompanyA","AAK",2,19,2.06,105400,23220,2755,1331,62280,174.3,17.66,673,2.2,30.62,26.05,11.15,4.31,9.94,3.48,0.763,1.212
"CompanyA","AAK",2,20,2,106200,22990,2755,1340,62380,175.9,17.8,686,2.26,30.86,26.74,11.65,4.41,10.1,3.73,0.741,1.157
"CompanyA","AAK",3,1,1.8,104380,22990,2730,1368.1,63170,174,18.04,675,2.24,30.95,26.31,12.11,4.37,10,3.48,0.692,1.217
"CompanyA","AAK",3,2,2.02,104220,22930,2715,1324,62770,177.6,17.74,679,2.27,30.27,26.01,11.76,4.27,9.71,3.59,0.705,1.204
"CompanyA","AAK",3,3,1.17,104390,22970,2730,1325,62390,175.1,17.73,676,2.31,30.5,25.78,12.51,4.34,9.88,3.4,0.732,1.198
"CompanyA","AAK",3,4,1.91,105300,23140,2741,1353,62890,177,18.14,687,2.43,30.68,26.24,12.62,4.43,9.94,3.61,0.65,1.157
"CompanyA","AAK",3,5,2.34,104550,22830,2708,1340.1,62010,177.1,17.51,679,2.37,29.77,26.02,12,4.28,9.84,3.44,0.642,1.15
"CompanyA","AAK",4,1,1.99,104470,22980,2714,1318.4,61870,173.7,17.51,676,2.35,30.27,24.92,12.04,4.14,9.64,3.35,0.674,1.21
