"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAQ",1,1,1.23,97860,23610,2859,1175.5,64660,182,17.9,689.6,2.037,30.86,27.8,11.58,4.22,9.5,3.59,0.7,1.057
"CompanyA","AAQ",1,2,1.35,99920,23700,2822,1194.7,64430,181.8,18.19,699,2.047,30.86,27.46,11.38,4.264,9.69,3.49,0.719,1.107
"CompanyA","AAQ",1,3,1.341,99290,23630,2850,1191.8,64720,181.4,18.1,695.9,2.044,31.04,27.88,11.15,4.23,9.64,3.43,0.707,1.079
"CompanyA","AAQ",1,4,1.286,99290,23560,2813,1211.6,65020,178.3,17.83,690,2.083,30.53,27.31,11.48,4.32,9.84,3.52,0.776,1.076
"CompanyA","AAQ",1,5,1.26,98320,23540,2831,1194.4,64430,178.6,17.96,699,2.024,30.64,26.9,11.07,4.33,9.62,3.61,0.742,1.07
"CompanyA","AAQ",2,1,1.66,101730,23300,2712,1218.6,62600,176.6,17.77,696,2.119,29.88,26.75,10.86,4.093,9.4,3.31,0.66,1.096
"CompanyA","AAQ",2,2,1.67,100810,22950,2676,1244.4,63010,172.4,17.89,698,2.183,29.63,26.03,10.93,4.094,9.54,3.46,0.728,1.126
"CompanyA","AAQ",2,3,1.71,102230,23070,2662,1241.6,62110,170.9,17.9,687.2,2.151,29.71,26.37,11.12,4.036,9.49,3.41,0.713,1.146
"CompanyA","AAQ",2,4,1.74,101570,23010,2650,1248.7,62240,173.9,17.89,693.5,2.174,29.43,26,10.62,4.058,9.74,3.4,0.692,1.137
"CompanyA","AAQ",2,5,1.55,101110,22970,2685,1247.5,62370,172.6,17.83,686,2.239,29.98,26,11.31,4.24,9.72,3.46,0.664,1.132
"CompanyA","AAQ",2,6,1.64,100850,22790,2661,1259.6,62400,172.7,17.78,694,2.156,29.96,25.71,10.96,4.086,9.78,3.5,0.659,1.148
"CompanyA","AAQ",2,7,1.7,102410,22790,2636,1259.7,61670,171.6,17.89,691,2.161,29.68,24.86,11.37,4.09,9.81,3.37,0.668,1.137
"CompanyA","AAQ",2,8,1.72,104090,23030,2642,1268.9,61630,171.6,17.82,690.5,2.243,29.8,25.29,11.22,4.035,9.63,3.3,0.71,1.166
"CompanyA","AAQ",2,9,1.64,103200,23100,2677,1254.6,61910,174.6,17.8,683,2.12,29.86,25.91,10.84,4.161,9.71,3.4,0.687,1.119
"CompanyA","AAQ",2,10,1.74,102440,22910,2658,1263.1,62320,174.3,17.83,691,2.207,29.91,26.02,11.07,4.162,9.84,3.49,0.721,1.117
"CompanyA","AAQ",2,11,1.66,101940,22670,2618,1263,61120,171.5,17.62,687,2.169,29.47,25.08,11.26,4.123,9.56,3.35,0.659,1.191
"CompanyA","AAQ",2,12,1.72,102160,23010,2663,1237.8,62100,171.8,17.91,685.5,2.135,29.82,25.9,10.97,4.179,9.63,3.49,0.709,1.128
"CompanyA","AAQ",2,13,1.7,102290,22950,2634,1257.1,62410,173.8,17.63,689,2.242,29.67,25.72,11.1,4.1,9.72,3.51,0.697,1.13
"CompanyA","AAQ",2,14,1.71,103410,22970,2618,1262.8,61720,172.9,17.69,687,2.181,29.65,25.49,10.98,4.159,9.79,3.33,0.673,1.159
"CompanyA","AAQ",2,15,1.7,101320,22840,2658,1263.2,62530,175,17.83,686,2.215,30.25,25.58,11.23,4.21,9.92,3.57,0.68,1.149
"CompanyA","AAQ",2,16,1.68,101730,22590,2622,1263.8,61740,171.7,17.74,680.7,2.204,29.66,25.07,10.95,4.12,9.58,3.3,0.619,1.164
"CompanyA","AAQ",2,17,1.7,102190,22660,2600,1267.3,61520,171.4,17.61,693,2.244,29.77,25.08,11.09,4.197,9.71,3.44,0.7,1.162
"CompanyA","AAQ",2,18,1.63,103610,22960,2671,1267.9,61960,170.4,17.67,676.3,2.152,29.97,25.52,11.12,4.15,9.73,3.43,0.663,1.137
"CompanyA","AAQ",2,19,1.64,103480,22970,2656,1257.2,61430,170.7,17.52,680,2.208,29.99,24.74,11.02,4.16,9.7,3.43,0.691,1.122
