"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyA","AAR",1,1,0.87,98080,23880,2951,1204.2,67200,181.2,18.22,708,2.037,32.3,31.42,12.11,4.57,9.81,3.84,0.771,1.033
"CompanyA","AAR",1,2,0.9,98710,23910,2929,1216.1,66900,182.9,18.15,718,2.076,32.11,29.19,11.92,4.5,9.64,3.68,0.829,0.994
"CompanyA","AAR",1,3,0.95,98610,23710,2909,1226.1,66550,183.2,18.3,706,2.122,31.63,29.54,11.82,4.52,9.75,3.74,0.818,0.95
"CompanyA","AAR",1,4,0.97,99350,23780,2921,1222.9,66860,183.6,18.34,707,2.109,31.79,30.39,11.67,4.46,9.64,3.71,0.749,1.012
"CompanyA","AAR",1,5,0.94,98520,23720,2905,1208.4,65740,181.3,18.09,693,2.106,31.55,29.63,11.1,4.38,9.48,3.63,0.815,0.983
"CompanyA","AAR",2,1,1.41,100490,23340,2753,1249.9,64010,176.1,18.13,698,2.109,30.45,26.6,10.76,4.18,9.66,3.49,0.745,1.122
"CompanyA","AAR",2,2,1.52,102340,23420,2741,1263.6,63450,174.5,18.19,703,2.15,30.54,26.22,10.99,4.12,9.59,3.49,0.721,1.134
"CompanyA","AAR",2,3,1.35,100700,23230,2740,1258.2,64200,175.1,18.01,703,2.151,30.49,26.27,11.78,4.2,9.72,3.51,0.646,1.091
"CompanyA","AAR",2,4,1.37,101800,23140,2723,1278.5,63630,177.2,18.24,708,2.176,30.26,27.21,11.61,4.27,9.78,3.49,0.796,1.091
"CompanyA","AAR",2,5,1.55,101370,23090,2701,1273.4,63100,175.7,18.09,696,2.203,30.29,27.3,11.31,4.12,9.67,3.43,0.688,1.107
"CompanyA","AAR",2,6,1.4,101400,23270,2753,1255.4,64130,174.6,18.16,700,2.177,30.62,28.64,11.38,4.287,9.47,3.59,0.713,1.095
"CompanyA","AAR",2,7,1.42,101580,23240,2736,1269.3,63630,175.7,17.95,680,2.126,30.08,28.37,11.12,4.28,9.7,3.45,0.703,1.074
"CompanyA","AAR",2,8,1.58,103260,23170,2699,1278.4,62970,173.5,17.9,695,2.262,30.06,27.16,11.47,4.136,9.58,3.44,0.741,1.049
"CompanyA","AAR",2,9,1.6,102970,23170,2693,1273.6,62960,168.7,18.12,693,2.214,30.33,26.87,11.58,4.12,9.65,3.41,0.678,1.067
"CompanyA","AAR",2,10,1.29,101040,23140,2742,1253.2,63650,175.3,17.89,694,2.21,30.55,28.11,11.15,4.32,9.72,3.39,0.719,1.074
"CompanyA","AAR",2,11,1.46,101970,23300,2738,1261.8,63560,173.6,18.05,702,2.186,30.71,27.56,11.36,4.218,9.84,3.34,0.718,1.027
"CompanyA","AAR",2,12,1.57,101310,22940,2694,1268,63220,173.6,18.09,687,2.144,30.07,27,11.14,4.11,9.69,3.37,0.705,1.031
"CompanyA","AAR",2,13,1.42,102220,23280,2722,1262.4,63430,174.7,17.78,684,2.187,30.39,26.8,11.05,4.15,9.74,3.44,0.729,1.126
"CompanyA","AAR",2,14,1.4,102070,23200,2731,1261,63390,173.1,17.73,693,2.247,30.57,25.86,11.05,4.21,9.8,3.42,0.697,1.117
"CompanyA","AAR",2,15,1.51,102900,23230,2693,1277.6,63310,174,17.86,684,2.248,30.39,26.47,11.83,4.146,9.8,3.48,0.719,1.086
"CompanyA","AAR",2,16,1.71,103260,23090,2662,1274.2,62540,171.5,17.59,684,2.227,30.06,25.03,11.08,4.117,9.73,3.42,0.71,1.116
"CompanyA","AAR",2,17,1.48,101280,23230,2731,1253.4,63590,179.4,17.82,688,2.127,30.4,27.03,11.27,4.36,9.84,3.71,0.743,1.114
"CompanyA","AAR",2,18,1.55,102650,23140,2710,1257.6,62760,170.2,17.62,698,2.164,30.35,26.3,11.36,4.24,9.71,3.41,0.657,1.107
"CompanyA","AAR",2,19,1.36,103080,23240,2700,1261,62860,174.8,17.64,697,2.179,30.25,26.04,11.07,4.21,9.71,3.34,0.709,1.118
"CompanyA","AAR",2,20,1.6,101860,23120,2701,1258.1,63600,175.8,17.48,688,2.14,30.2,26.82,11.44,4.21,9.8,3.34,0.695,1.109
"CompanyA","AAR",3,1,1.65,102210,23240,2676,1240.1,62010,169.4,17.57,682,2.213,29.88,26.94,11.17,4.09,9.55,3.42,0.692,1.021
"CompanyA","AAR",3,2,1.56,103320,23260,2688,1247.7,62550,170.6,17.67,678,2.208,30.15,27.23,10.93,4.1,9.66,3.41,0.658,0.985
"CompanyA","AAR",3,3,1.56,101910,22920,2640,1255.8,61990,172.8,17.67,670,2.151,30.19,25.16,11.49,4.15,9.9,3.57,0.718,1.104
"CompanyA","AAR",3,4,1.77,102760,22870,2652,1269,62330,170.1,17.89,693,2.162,30.48,25.83,11.59,4.25,9.84,3.46,0.714,1.136
"CompanyA","AAR",3,5,1.67,102760,23150,2668,1248.9,62160,175.7,17.51,682,2.199,30.03,26.33,11.24,4.15,9.66,3.51,0.723,1.138
"CompanyA","AAR",4,1,1.63,100200,22840,2679,1236.4,63470,173.7,17.81,689,2.145,30.06,27.38,10.93,4.26,9.83,3.51,0.691,1.098
"CompanyA","AAR",4,2,1.43,101080,23000,2713,1242.5,63140,172.6,17.6,678,2.17,30.16,26.65,11.53,4.18,9.82,3.52,0.649,1.049
"CompanyA","AAR",4,3,1.66,100640,22740,2670,1249.1,63310,176.2,18.04,691,2.226,30.18,25.7,11.24,4.247,9.92,3.47,0.781,1.095
"CompanyA","AAR",4,4,1.61,101840,22880,2679,1247.1,62870,173.8,17.44,673,2.206,30.23,26.17,11.26,4.23,9.83,3.63,0.634,1.11
"CompanyA","AAR",4,5,1.57,99870,22780,2674,1241.6,63350,173.5,17.55,673,2.196,29.96,25.93,11.21,4.13,9.59,3.43,0.739,1.136
"CompanyA","AAR",5,1,1.55,100070,22830,2667,1234.4,63430,170.4,17.81,687,2.154,30.67,26.41,11.37,4.2,9.86,3.49,0.73,1.136
"CompanyA","AAR",5,2,1.62,101440,23030,2701,1241.6,63090,174,17.59,679,2.225,30.68,25.95,11.08,4.22,9.94,3.44,0.741,1.107
"CompanyA","AAR",5,3,1.51,101530,23050,2687,1247.8,63220,174.3,17.88,682,2.227,30.49,27.34,11.24,4.19,9.92,3.47,0.732,1.106
"CompanyA","AAR",5,4,1.49,100090,22900,2679,1226.9,63260,172.9,17.75,681,2.116,30.04,27.38,11.08,4.26,9.72,3.4,0.723,1.054
"CompanyA","AAR",5,5,1.63,101580,22900,2680,1235.8,63150,173.8,17.61,669,2.156,30.44,25.72,11.23,4.28,9.82,3.56,0.731,1.103
"CompanyA","AAR",6,1,1.58,100410,22930,2678,1221.8,62780,174.3,17.5,664,2.111,30.08,26.06,11.13,4.26,9.87,3.24,0.69,1.109
"CompanyA","AAR",6,2,1.42,101600,23110,2709,1221.1,63050,170.9,17.71,681,2.151,30.42,26.01,11.35,4.22,9.77,3.42,0.665,1.087
"CompanyA","AAR",6,3,1.71,102180,22990,2679,1219,62340,171,17.45,677,2.164,30.08,26.07,11.21,4.11,9.69,3.52,0.677,1.143
"CompanyA","AAR",6,4,1.6,101130,23070,2704,1221.5,63080,173.2,17.6,673,2.197,30.42,26.55,10.88,4.16,9.81,3.49,0.711,1.077
"CompanyA","AAR",6,5,1.56,101740,23060,2689,1228.9,62790,174.4,17.66,672,2.118,30.06,25.96,11.18,4.087,9.81,3.54,0.69,1.077
"CompanyA","AAR",7,1,1.67,101240,22860,2686,1217,62430,176,17.75,676,2.174,30.07,25.69,11.07,4.13,9.61,3.58,0.715,1.118
"CompanyA","AAR",7,2,1.57,100950,22970,2693,1217.5,62870,174.6,17.79,667,2.164,29.92,26.02,11.23,4.18,9.71,3.35,0.667,1.057
"CompanyA","AAR",7,3,1.61,102100,23080,2696,1216.4,62540,172.5,17.78,675,2.115,30.44,26.16,11.4,4.11,9.63,3.29,0.724,1.089
"CompanyA","AAR",7,4,1.54,102440,23220,2714,1210.1,63200,174,17.59,681,2.171,30.5,26.28,11.34,4.19,9.85,3.41,0.731,1.06
"CompanyA","AAR",7,5,1.6,101010,22930,2681,1221.6,62920,172.5,17.8,680,2.103,30.26,25.46,11.02,4.22,9.65,3.61,0.725,1.113
"CompanyA","AAR",8,1,1.4,100970,23010,2717,1208.3,63120,167.5,17.37,671,2.059,30.39,26,11.74,4.25,9.59,3.49,0.763,1.05
"CompanyA","AAR",8,2,1.58,99880,22810,2710,1207.2,63090,176.6,17.52,669,2.082,30.12,26.41,10.85,4.13,9.69,3.44,0.738,1.075
"CompanyA","AAR",8,3,1.5,101200,23140,2713,1214.6,63710,175.2,17.71,677,2.146,30.2,26.27,11.27,4.31,9.81,3.4,0.706,1.091
"CompanyA","AAR",8,4,1.51,100400,22870,2684,1224.3,63560,174.9,17.66,671,2.147,29.99,26.06,11.26,4.26,10.01,3.7,0.727,1.108
"CompanyA","AAR",8,5,1.54,101780,22960,2705,1217.5,63170,175.9,17.5,667,2.147,30.27,25.78,11.19,4.23,9.68,3.43,0.733,1.052
"CompanyA","AAR",9,1,1.45,99040,22830,2745,1201.9,64330,173.3,17.48,680,2.185,30.77,26.82,11.73,4.46,9.83,3.37,0.677,1.138
"CompanyA","AAR",9,2,1.56,100830,22890,2723,1210.2,63840,173.4,17.92,677,2.123,30.63,26.59,11.36,4.24,9.83,3.76,0.774,1.102
"CompanyA","AAR",9,3,1.5,99650,22830,2735,1213.9,64240,175.4,17.82,687,2.196,31.16,27.45,11.46,4.41,10.08,3.58,0.774,1.078
"CompanyA","AAR",9,4,1.51,101940,23060,2735,1218.7,63820,172.1,17.82,683,2.153,30.9,27.17,11.32,4.2,9.88,3.63,0.734,1.082
"CompanyA","AAR",9,5,1.66,100390,22810,2692,1217.4,63150,171.3,17.55,671,2.188,30.82,26.55,11.46,4.24,9.79,3.67,0.763,1.107
"CompanyA","AAR",10,1,1.09,96980,23160,2846,1169.8,65890,181,17.64,670,2.094,31.46,27.86,11.62,4.51,9.88,3.69,0.736,1.084
"CompanyA","AAR",10,2,1.01,98030,23040,2830,1175.8,65100,178.9,17.66,662,2.097,31.34,27.87,11.56,4.52,10.01,3.9,0.797,1.093
"CompanyA","AAR",10,3,1.21,98090,22980,2818,1183,65260,180.6,17.59,670,2.113,31.58,28.22,11.46,4.46,9.85,3.75,0.786,1.095
"CompanyA","AAR",10,4,1.02,96890,22900,2848,1173.8,65550,178.2,17.56,667,2.084,31.71,29.03,11.73,4.48,9.96,3.6,0.802,1.04
"CompanyA","AAR",10,5,1.08,96520,23160,2867,1171.7,66420,180,17.88,666,2.166,31.91,29.78,11.61,4.59,9.93,3.67,0.803,1.05
"CompanyA","AAR",11,1,1.48,99860,22860,2717,1206.1,63640,175,17.4,665,2.158,30.5,26.28,11.38,4.32,9.78,3.52,0.753,1.081
"CompanyA","AAR",11,2,1.41,101190,22850,2711,1204.5,62420,173.8,17.4,675,2.079,30.52,26.67,11.31,4.34,9.77,3.69,0.701,1.069
"CompanyA","AAR",11,3,1.39,100090,22750,2703,1205.8,63680,174.4,17.64,668,2.077,30.56,27.22,11.46,4.3,9.87,3.6,0.739,1.088
"CompanyA","AAR",11,4,1.62,100760,22740,2717,1199.1,62990,173.4,17.67,667,2.112,30.12,26.61,11,4.25,9.65,3.57,0.705,1.12
"CompanyA","AAR",11,5,1.53,100600,22960,2735,1196.5,63430,175.5,17.33,668,2.186,30.55,25.96,11.17,4.29,9.84,3.63,0.719,1.058
"CompanyA","AAR",12,1,1.14,97700,23030,2845,1162.1,65080,179.3,17.53,660,2.062,31.17,27.77,11.63,4.41,9.84,3.85,0.77,1.033
"CompanyA","AAR",12,2,1.19,98180,23100,2813,1180.9,65270,181.3,17.84,679,2.084,31.23,27.73,11.44,4.46,9.94,3.66,0.748,1.049
"CompanyA","AAR",12,3,1.11,98870,23380,2861,1163.9,65330,177.9,17.55,667,2.021,31.08,27.78,11.42,4.45,9.82,3.63,0.779,1.018
"CompanyA","AAR",12,4,1.17,98650,23150,2829,1170.2,65100,180.5,17.33,675,2.052,31.36,27.65,11.62,4.49,9.91,3.57,0.75,1.079
"CompanyA","AAR",12,5,1.07,97880,23220,2843,1168.1,66140,183.3,17.85,665,2.092,31.31,28.71,11.89,4.43,9.9,3.8,0.818,1.059
"CompanyA","AAR",13,1,1.13,96080,23100,2859,1163.7,66460,184.3,17.82,674,2.051,31.75,28.19,12.1,4.58,10.04,4.03,0.783,1.048
"CompanyA","AAR",13,2,1.01,97910,23420,2895,1165.1,66540,186.2,17.78,675,2.037,32.1,28.48,11.96,4.71,10.1,3.79,0.862,1.074
"CompanyA","AAR",13,3,1.17,98110,23110,2843,1179.5,66100,184.2,18.15,686,2.108,31.97,28.07,11.54,4.47,10.12,3.9,0.749,1.074
"CompanyA","AAR",13,4,1.09,98240,23240,2863,1176.1,65860,185.6,17.99,678,2.092,31.91,28.05,11.82,4.65,10.17,3.88,0.731,1.029
"CompanyA","AAR",13,5,1.07,98880,23290,2872,1177.4,66380,183.6,17.8,685,2.119,32.3,28.57,12.04,4.63,10.23,3.93,0.729,1.124
"CompanyA","AAR",14,1,1.1,97280,23400,2893,1154.8,66070,183.9,17.86,672,2.094,32.08,28.52,11.82,4.53,9.9,3.95,0.774,1.024
"CompanyA","AAR",14,2,1.09,98240,23450,2888,1162,66210,178.5,17.73,680,2.161,32.18,28.59,11.47,4.63,9.9,3.63,0.751,1.043
"CompanyA","AAR",14,3,1.13,98660,23390,2874,1164.4,65900,182.9,17.61,674,2.084,32.12,28.85,11.61,4.56,10.1,3.74,0.827,1.075
"CompanyA","AAR",14,4,1,98420,23410,2863,1164.9,65810,183.1,17.79,675,2.078,32.09,29.24,12.04,4.52,9.97,3.84,0.821,1.054
"CompanyA","AAR",14,5,1.03,98050,23530,2889,1165.6,66690,183.2,17.79,676,2.12,32.04,29.09,11.64,4.63,9.86,3.76,0.769,1.02
"CompanyA","AAR",14,6,0.91,98160,23420,2917,1157.9,66630,185,17.61,676,2.09,32.59,29.96,11.96,4.66,10.07,3.69,0.762,0.995
"CompanyA","AAR",14,7,0.979,97810,23440,2907,1161.7,66730,184.4,17.79,672,2.085,32.3,28.38,12.14,4.5,10.11,3.83,0.769,1.052
"CompanyA","AAR",14,8,0.95,98450,23460,2896,1162.2,66400,182.9,17.79,685,2.016,32.39,28.21,11.78,4.66,10.11,3.89,0.74,1.042
"CompanyA","AAR",14,9,0.99,97560,23280,2876,1171.6,66730,181.4,17.81,682,2.093,32.35,28.61,11.71,4.56,10.2,3.78,0.79,1.086
"CompanyA","AAR",14,10,0.95,99960,23510,2867,1178.8,65730,178.7,18.11,676,2.08,32.31,28.2,11.53,4.61,10.13,3.77,0.722,1.081
"CompanyA","AAR",14,11,1.19,97790,22990,2810,1197.9,66430,182,17.79,688,2.105,31.69,28.84,12.17,4.48,10.34,3.82,0.771,1.103
"CompanyA","AAR",14,12,1.22,99960,23260,2823,1187.5,65240,180.1,17.81,677,2.157,31.86,27.49,11.53,4.46,10.05,3.62,0.768,1.092
"CompanyA","AAR",14,13,1.04,97990,22940,2815,1184,65660,183.3,17.74,693,2.089,31.91,27.72,12.44,4.48,10.11,3.66,0.733,1.1
"CompanyA","AAR",14,14,0.96,99100,23240,2855,1175,65690,179.1,17.71,674,2.127,31.88,27.9,11.55,4.52,10,3.82,0.712,1.054
"CompanyA","AAR",14,15,1,98520,23180,2865,1175.7,66060,180.2,17.51,682,2.137,31.87,28.93,11.4,4.49,9.99,3.73,0.763,1.064
"CompanyA","AAR",14,16,1.15,98450,23150,2831,1185.8,65920,182.5,17.8,685,2.177,31.66,27.27,11.99,4.6,10.09,3.71,0.757,1.086
"CompanyA","AAR",14,17,0.91,98050,23210,2869,1168.1,66100,183.1,17.93,690,2.105,32.02,28.62,11.73,4.456,9.93,3.71,0.767,1.038
"CompanyA","AAR",14,18,0.931,98520,23400,2889,1165.1,66150,183.3,17.84,676,2.017,32.24,28.4,12.25,4.58,9.94,3.86,0.7,1.049
"CompanyA","AAR",14,19,1.07,99230,23360,2839,1169.6,65320,179.3,17.99,689,2.079,31.89,27.72,11.81,4.56,10.03,3.78,0.762,1.098
"CompanyA","AAR",14,20,1.36,99880,23340,2838,1188,65480,181.5,18.04,684,2.134,31.91,28.55,11.77,4.64,10.07,3.81,0.801,1.1
"CompanyA","AAR",15,1,0.92,96040,23230,2915,1143.4,66570,181.8,17.91,679,2.017,32.81,28.72,12.25,4.72,10.13,3.84,0.904,1.076
"CompanyA","AAR",15,2,1.02,97360,23560,2934,1149.6,67240,183.3,17.74,675,2.059,32.6,29.37,11.62,4.66,10.12,3.85,0.758,1.03
"CompanyA","AAR",15,3,0.9,97700,23320,2918,1161.3,67040,186,18.14,680,2.03,32.5,29.13,12.37,4.7,10.16,4,0.796,1.023
"CompanyA","AAR",15,4,0.93,98620,23630,2916,1167.3,67170,190.3,18.21,676,2.07,33.07,28.79,11.9,4.5,10.2,3.85,0.765,1.037
"CompanyA","AAR",15,5,1.11,98080,23420,2905,1164.5,66620,183.4,17.82,676,2.082,32.39,29.1,11.71,4.63,10.06,3.71,0.82,1.066
"CompanyA","AAR",16,1,1.33,99620,23400,2832,1176.2,64980,181.9,17.98,681,2.091,31.4,28.58,12.04,4.37,10.04,3.75,0.807,1.142
"CompanyA","AAR",16,2,1.29,99600,23260,2788,1183.9,64790,183,17.99,686,2.108,31.08,28.19,11.54,4.29,9.89,3.62,0.768,1.068
"CompanyA","AAR",16,3,1.45,100670,23150,2767,1189.1,64030,175.9,17.68,666,2.145,30.97,27.21,11.68,4.43,9.99,3.8,0.683,1.1
"CompanyA","AAR",16,4,1.36,100670,23290,2811,1204.1,64900,180.4,18.13,685.2,2.207,31.65,28.1,11.61,4.32,10.04,3.72,0.809,1.055
"CompanyA","AAR",16,5,1.38,100890,23190,2782,1190.9,64000,174.6,17.71,686,2.133,31.03,27.51,11.6,4.39,9.88,3.65,0.788,1.123
"CompanyA","AAR",17,1,1.38,101670,23210,2736,1194.5,63130,174.8,17.9,675,2.155,30.67,28.27,10.86,4.23,9.67,3.38,0.744,1.067
"CompanyA","AAR",17,2,1.39,99940,23050,2754,1196.1,64700,176.4,17.99,684,2.139,31.21,28.54,11.71,4.37,10.01,3.71,0.763,1.012
"CompanyA","AAR",17,3,1.38,102250,23120,2725,1209.4,63440,176.1,17.69,681,2.079,30.54,27.63,11.52,4.21,9.72,3.59,0.716,1.05
"CompanyA","AAR",17,4,1.42,100990,23250,2790,1183.7,64250,177.7,17.5,673,2.064,30.87,27.76,11.43,4.328,10.05,3.72,0.717,1.072
"CompanyA","AAR",17,5,1.63,102680,23190,2710,1202.4,62950,171.3,17.73,669,2.095,30.16,25.61,11.05,4.21,9.75,3.47,0.679,1.063
"CompanyA","AAR",18,1,1.58,101390,23180,2736,1193.8,62850,175,17.41,670,2.124,30.57,27.85,10.98,4.2,9.72,3.63,0.731,1.048
"CompanyA","AAR",18,2,1.66,102250,23350,2741,1197.8,63070,174.9,17.24,666,2.134,30.39,26.89,11.59,4.25,9.86,3.36,0.748,1.077
"CompanyA","AAR",18,3,1.55,101380,23120,2737,1193.2,63420,172.4,17.75,674,2.135,30.88,27.69,11.45,4.31,9.9,3.66,0.734,1.1
"CompanyA","AAR",18,4,1.57,101270,23090,2707,1206.2,63260,178.3,17.81,677,2.168,30.6,26.46,11.43,4.27,9.83,3.6,0.674,1.077
"CompanyA","AAR",18,5,1.5,101780,23120,2719,1202.4,62460,172.1,17.72,679,2.109,30.62,25.8,10.99,4.32,9.82,3.37,0.692,1.107
"CompanyA","AAR",19,1,1.34,99640,23170,2761,1193.9,64120,179.6,17.68,686,2.147,31.06,27.64,11.67,4.38,10.02,3.79,0.797,1.121
"CompanyA","AAR",19,2,1.49,101150,23080,2745,1202.1,63560,174.6,17.6,684,2.128,30.96,27.91,11.64,4.53,9.94,3.57,0.684,1.053
"CompanyA","AAR",19,3,1.51,102310,23130,2725,1222,63950,173.7,17.99,696,2.143,30.98,27.83,11.88,4.4,10.06,3.71,0.777,1.067
"CompanyA","AAR",19,4,1.47,101450,23090,2742,1211.3,63690,180.8,18.04,685,2.173,30.76,27.1,12.07,4.54,10.11,3.65,0.758,1.057
