"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BA",1,1,2.13,100240,24770,1756,650.1,71340,120.7,130.7,513,0.998,31.19,33.55,13.94,2.63,4.72,2.54,0.902,0.981
"CompanyB","BA",1,2,2.46,100630,24640,1725,665.1,71170,127.4,129.8,517,1.006,30.9,33.72,13.05,2.63,4.66,2.4,0.842,1.043
"CompanyB","BA",1,3,1.94,100310,24880,1739,657.1,71270,122.3,128.3,522,0.991,31.29,33.72,13.63,2.77,4.66,2.38,0.837,1.006
"CompanyB","BA",1,4,2.16,101780,24970,1742,668.6,70880,123.1,130.8,523,0.985,31.78,34.41,12.93,2.8,4.74,2.22,0.96,1.036
"CompanyB","BA",1,5,2.44,102800,25000,1702,674.7,70220,125.4,129.4,525,1.002,30.83,32.77,12.86,2.69,4.59,2.36,0.861,1.007
"CompanyB","BA",2,1,2.76,102690,24560,1683,689.5,68920,116.5,130,524,1.035,30.39,32.91,13.22,2.62,4.65,2.41,0.837,1.029
"CompanyB","BA",2,2,2.62,104600,24490,1663,690.9,67870,119.6,126.9,517,1.072,30.25,32.15,13.62,2.62,4.65,2.42,0.868,1.031
"CompanyB","BA",2,3,3.03,102600,24240,1634,694.4,68670,120.1,127.8,517,1.005,29.31,31.66,13.26,2.59,4.68,2.24,0.854,1.027
"CompanyB","BA",2,4,2.87,103920,24250,1648,699.3,68230,123.1,128,523,0.999,29.82,31.66,12.54,2.493,4.71,2.38,0.845,1.066
"CompanyB","BA",2,5,2.76,103670,24330,1646,693.5,68350,122.3,127,519,1.037,30.39,31.48,13.08,2.54,4.69,2.3,0.911,1.037
"CompanyB","BA",2,6,2.45,101710,24250,1654,689.3,68510,122.8,127.9,525,1.069,30.26,32.09,12.75,2.76,4.7,2.29,0.864,1.077
"CompanyB","BA",2,7,2.72,104600,24800,1672,688.5,68800,122.7,127.6,516,1.063,30.05,31.51,12.66,2.62,4.74,2.38,0.813,1.002
"CompanyB","BA",2,8,2.77,104720,24800,1647,693.5,68150,117.6,127.4,518,1.02,29.69,31.26,12.9,2.622,4.55,2.42,0.823,1.024
"CompanyB","BA",2,9,2.76,103800,24320,1638,698.5,67950,123,126.9,514,1.05,29.99,31.14,12.69,2.54,4.67,2.28,0.801,1.05
"CompanyB","BA",2,10,2.77,103960,24190,1633,700.2,68260,119.1,127.9,518,1.002,29.98,30.69,12.65,2.55,4.69,2.19,0.811,0.997
"CompanyB","BA",2,11,2.84,101490,23870,1622,700.2,68590,124.6,129,530,1.081,29.59,31.27,12.71,2.57,4.62,2.21,0.761,1.014
"CompanyB","BA",2,12,2.78,103300,24180,1638,689.8,67990,120.4,128.5,521,0.99,30.17,30.83,13.16,2.63,4.77,2.2,0.832,1.076
"CompanyB","BA",2,13,2.59,102300,24140,1643,683.8,68170,121.8,127.5,522,1.041,30.04,32.74,12.83,2.61,4.64,2.31,0.856,1.022
"CompanyB","BA",2,14,2.72,102700,24340,1656,683.2,68870,119.7,128,514,1.053,30.43,32.53,12.98,2.7,4.69,2.25,0.817,1.031
"CompanyB","BA",2,15,2.63,102900,24510,1665,679.5,69060,124.2,127.2,513,1.09,31.07,32.69,13.44,2.62,4.75,2.35,0.834,1.01
"CompanyB","BA",2,16,2.71,101600,24220,1644,694.2,68910,120.4,128.1,512,1.041,30.05,32.15,13.18,2.64,4.78,2.27,0.866,1.119
"CompanyB","BA",2,17,2.62,104100,24320,1646,685.3,67980,118.4,128.6,514,1.078,30.03,30.53,12.33,2.58,4.81,2.39,0.793,1.041
"CompanyB","BA",2,18,2.8,103100,24340,1638,685.6,67810,117.1,127.6,514,0.992,29.66,31.34,13.23,2.59,4.58,2.12,0.868,1.121
"CompanyB","BA",2,19,2.63,101600,24190,1647,678.7,68830,121.2,129.4,517,0.991,30.2,31.07,13.43,2.63,4.63,2.28,0.815,1.036
"CompanyB","BA",2,20,2.9,104900,24760,1663,675.1,68090,119.9,127.8,510,1.02,30.5,32.77,12.97,2.59,4.64,2.42,0.795,1.003
"CompanyB","BA",3,1,2.66,100800,24380,1659,667.8,68950,120.1,130.4,534,1.075,30.87,31.93,12.95,2.6,4.71,2.41,0.835,0.988
"CompanyB","BA",3,2,2.84,103300,24820,1683,650.6,68410,121.2,127.7,531,1.025,30.45,31.99,12.77,2.65,4.7,2.33,0.835,1.024
"CompanyB","BA",3,3,2.62,103700,24760,1680,659.7,68420,115.1,129,520,1.05,30.7,32.47,12.76,2.53,4.59,2.34,0.862,1.004
"CompanyB","BA",3,4,2.67,103300,24580,1676,647.5,67500,121.1,126.1,498,1.069,29.58,32.8,12.79,2.59,4.78,2.32,0.877,1.021
"CompanyB","BA",3,5,2.61,100400,24210,1652,653.6,68260,118.9,128.2,511,1,30.56,32.88,12.21,2.61,4.68,2.22,0.873,1.009
"CompanyB","BA",4,1,1.92,100320,25280,1790,620.4,70310,125.6,128.4,510,0.976,31.6,33.61,13.14,2.72,4.73,2.44,0.865,0.968
"CompanyB","BA",4,2,2.16,99900,24850,1740,634.3,70710,119.2,127.8,512,0.96,30.92,33.58,12.97,2.67,4.68,2.37,0.884,0.943
"CompanyB","BA",4,3,1.96,98990,24830,1749,628.3,71230,126.3,129,513,1.024,31.34,34.92,12.93,2.77,4.77,2.26,0.987,0.962
"CompanyB","BA",4,4,2.19,100410,24850,1746,629.6,70310,123.5,127.8,515,1.007,31.46,33.79,13.01,2.79,4.63,2.47,0.828,0.989
"CompanyB","BA",4,5,2.05,99100,24880,1757,629.3,71480,122.9,129.6,512,0.987,31.32,34.84,13.53,2.88,4.79,2.41,0.893,1.018
"CompanyB","BA",5,1,2.29,98780,24540,1719,629.1,70450,121.2,128.1,521,0.942,30.99,35.06,13.15,2.67,4.7,2.37,0.861,0.935
"CompanyB","BA",5,2,2.11,100300,24710,1737,631.7,70220,118.7,128.7,520,0.95,31.24,34.48,13.21,2.64,4.68,2.39,0.953,0.973
"CompanyB","BA",5,3,2.16,99600,24750,1754,637.1,71010,126,129.7,516,1.008,31.27,35.08,13.68,2.71,4.75,2.31,0.943,0.972
"CompanyB","BA",5,4,2.55,99940,24250,1692,641,69220,122.6,128.4,506,1.008,30.06,33.92,13.23,2.64,4.74,2.35,0.882,0.993
"CompanyB","BA",5,5,2.26,99500,24410,1708,643.7,70760,126.4,129.6,512,1.022,31.03,34.23,13.11,2.78,4.66,2.42,0.874,0.997
"CompanyB","BA",6,1,2.55,103380,24860,1702,665.7,68790,119.2,128.4,521,1.045,30.69,33.49,12.54,2.67,4.78,2.4,0.826,1.005
"CompanyB","BA",6,2,2.58,102780,24700,1703,664.9,69230,119.6,129.2,520,1.015,30.57,34.27,12.91,2.65,4.7,2.46,0.802,0.977
"CompanyB","BA",6,3,2.54,102660,24770,1705,670.8,68310,123.1,128.4,514,1.042,30.21,33.18,12.74,2.66,4.59,2.43,0.925,0.982
"CompanyB","BA",6,4,2.59,101930,24540,1674,673.9,69090,118.2,127.7,502,1.031,30.25,32.73,12.66,2.72,4.65,2.21,0.875,0.987
"CompanyB","BA",6,5,2.65,103200,24620,1687,685.6,70140,121.2,129.5,511,1.027,31.02,31.53,13.36,2.82,4.71,2.45,0.918,1.026
"CompanyB","BA",7,1,2.8,101960,24490,1657,688.9,69000,119.7,128.9,511,0.982,30.32,31.87,13.16,2.59,4.69,2.19,0.848,1.015
"CompanyB","BA",7,2,2.64,104280,24780,1697,688.2,69360,122.5,131.4,525,1.054,30.78,32.96,12.82,2.62,4.85,2.35,0.892,1.021
"CompanyB","BA",7,3,2.54,105900,24760,1685,695.8,69490,121.2,128.4,522,1.033,30.72,33.04,12.59,2.62,4.67,2.31,0.873,1.003
"CompanyB","BA",7,4,2.71,105200,24810,1702,696.2,69580,121.9,128.8,529,1.05,30.48,33.73,13.14,2.73,4.74,2.38,0.919,0.995
"CompanyB","BA",7,5,2.47,103500,24380,1661,701.1,68960,118.7,129.4,526,1.051,30.8,32.49,12.71,2.58,4.74,2.23,0.822,1.051
"CompanyB","BA",8,1,2.74,103700,24530,1692,686.8,69310,122,129.6,513,1.015,30.83,33.24,13.33,2.62,4.86,2.38,0.898,1.051
