"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BD",1,1,3.41,106350,24390,1595,697,66320,110.3,127.3,538,1.079,30.41,29.39,12.98,2.44,4.64,2.31,0.84,0.985
"CompanyB","BD",1,2,2.94,107220,24830,1613,712.4,67660,116.3,128.5,542,1.159,30.04,30.14,13.31,2.48,4.72,2.45,0.84,1.107
"CompanyB","BD",1,3,3.3,107010,24420,1603,703.7,66600,110.7,127.4,540,1.116,30.07,28.99,12.49,2.62,4.74,2.16,0.87,1.041
"CompanyB","BD",1,4,3.18,108040,24390,1599,709.8,67180,115.2,126.7,532,1.118,30.14,29.26,13.19,2.52,4.8,2.08,0.736,1.027
"CompanyB","BD",1,5,3.02,107780,24500,1600,708,67050,117.7,126.7,538,1.079,30.23,29.69,13.36,2.36,4.76,2.12,0.76,1.135
"CompanyB","BD",2,1,2.83,106000,24460,1624,688.7,66760,114,125.4,524,1.083,30.03,31.22,12.61,2.57,4.75,2.28,0.91,1.031
"CompanyB","BD",2,2,3.01,105950,24600,1637,699.5,67420,112.8,127.6,541,1.017,30.5,32.22,11.56,2.54,4.73,2.41,0.85,1.054
"CompanyB","BD",2,3,2.72,106010,24490,1617,701.7,67170,115.9,125.9,527,1.089,30.14,31.62,12.8,2.53,4.74,2.33,0.8,1.049
"CompanyB","BD",2,4,3.03,105980,24420,1624,707.5,66850,112.5,127.9,535,0.997,30.34,31.96,13.37,2.65,4.66,2.3,0.82,1.031
"CompanyB","BD",2,5,2.98,105530,24320,1624,701.1,67450,117.3,127,538,1.107,30.72,32.24,12.47,2.61,4.76,2.13,0.746,1.084
"CompanyB","BD",2,6,2.74,105970,24280,1628,699.7,66850,117.3,127,535,1.049,30.3,31.04,12.29,2.52,4.86,2.25,0.83,1.106
"CompanyB","BD",2,7,2.95,106110,24330,1613,704,67280,118.1,125.4,534,1.054,30.22,31.35,12.7,2.53,4.73,2.28,0.86,1.044
"CompanyB","BD",2,8,2.93,106740,24200,1610,710.5,67210,116.1,126.5,551,1.124,30.46,30.16,13.26,2.53,4.61,2.2,0.74,1.057
"CompanyB","BD",2,9,2.62,105480,24090,1603,697.8,65870,116.8,125,548,1.079,29.61,29.71,11.97,2.51,4.7,2.16,0.676,1.097
"CompanyB","BD",2,10,2.63,105490,24120,1613,696.7,67000,114.3,124.7,520,1.052,29.76,29.02,13,2.46,4.7,2.17,0.77,1.086
"CompanyB","BD",2,11,2.91,105790,24260,1622,707.6,67340,111.3,126.8,536,1.066,29.98,29.43,12.8,2.58,4.71,1.92,0.87,1.09
"CompanyB","BD",2,12,2.81,106130,24590,1635,702.4,67920,119.5,126.6,543,1.046,30.18,29.79,13.14,2.56,4.82,2.24,0.77,1.05
"CompanyB","BD",2,13,2.68,106790,24210,1621.4,707.6,67260,117.2,124.6,534,0.993,29.78,29.55,12.86,2.46,4.76,2.13,0.84,1.091
"CompanyB","BD",2,14,2.91,107040,24250,1621,700.8,67140,116.7,127.7,537,1.148,30.21,29.5,12.51,2.61,4.66,2.19,0.79,1.085
"CompanyB","BD",2,15,3.02,106130,23990,1600,707.8,66720,114.2,125.2,526,1.068,29.7,29.42,12.7,2.49,4.74,2.32,0.727,1.094
