"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BF",1,1,4.01,103860,23830,1592,700.2,67030,117.8,132.3,533,0.998,29.42,29.4,12.11,2.47,4.57,2.34,0.737,1.07
"CompanyB","BF",1,2,2.84,106470,24590,1636.7,694.4,64720,113.1,123.5,511,0.957,28.59,29.41,12.23,2.476,4.52,2.13,0.781,1.039
"CompanyB","BF",1,3,3.15,104690,23690,1585,705.1,67490,119.8,135.7,546,1.106,29.38,29.31,12.49,2.537,4.5,2.39,0.77,1.051
"CompanyB","BF",1,4,3.29,107450,24390,1629,702.9,64640,110.4,125.7,516,1.048,28.8,29.62,11.71,2.519,4.5,2.13,0.704,1.057
"CompanyB","BF",1,5,3.14,106090,23830,1603,703.9,66200,111.6,132.5,544,1.065,29.97,30.71,12.75,2.47,4.59,2.15,0.834,1.112
"CompanyB","BF",2,1,3.74,105300,24240,1664,697.1,68180,121.1,136.6,552,1.07,30.14,30.48,12.24,2.54,4.54,2.16,0.792,1.06
"CompanyB","BF",2,2,2.23,104600,24230,1649,698.5,69110,125.8,139.6,554,1.14,30.62,31.06,12.54,2.58,4.49,2.32,0.769,1.03
"CompanyB","BF",2,3,3.15,106640,24380,1653,693.1,66380,118,131.3,516,1.067,29.86,29.99,12.51,2.64,4.54,2.2,0.806,1.078
"CompanyB","BF",2,4,3.35,104800,23890,1633,702.2,68560,125.5,137.8,555,1.028,30.84,30.34,12.84,2.53,4.65,2.27,0.79,1.108
"CompanyB","BF",2,5,2.98,104700,23890,1611,708.2,68840,117.9,141.1,561,1.044,29.99,30.99,12.49,2.58,4.59,2.2,0.803,1.084
"CompanyB","BF",2,6,3.03,106360,24360,1648,700.9,66860,117.6,135.5,523,1.035,29.48,29.68,12.55,2.61,4.63,2.13,0.806,1.083
"CompanyB","BF",2,7,3.03,104570,23900,1619,710.6,69710,124.6,144.2,555,1.143,30.46,30.36,12.92,2.6,4.65,2.23,0.829,1.109
"CompanyB","BF",2,8,2.98,107270,24510,1658,697.7,67730,121.3,137.4,527,1.018,30.12,30.59,12.77,2.6,4.76,2.35,0.814,1.097
"CompanyB","BF",2,9,3.25,106230,24160,1642,702.3,67950,119.5,137.6,555,1.03,30.24,30.78,12.76,2.56,4.74,2.29,0.853,1.102
"CompanyB","BF",2,10,3.76,106470,24480,1668,704.1,66560,119.1,132.6,527,1.007,29.87,29.99,12.53,2.604,4.65,2.3,0.884,1.025
"CompanyB","BF",2,11,4.48,107340,24420,1661,700.4,67370,115.8,135.6,530,1.026,30.43,30.65,12.09,2.51,4.68,2.45,0.87,1.162
"CompanyB","BF",2,12,4.04,107500,24480,1661,701.2,67190,110.2,133.8,534,1.021,30.46,30.16,12.66,2.53,4.59,2.28,0.821,1.051
"CompanyB","BF",2,13,3.58,105540,24090,1643,701.5,68770,126,138.4,552,1.048,30.08,30.12,12.36,2.51,4.74,2.04,0.763,1.169
"CompanyB","BF",2,14,3.89,107300,24220,1645,710.8,69180,123.3,136.9,562,1.09,30.49,30.06,12.57,2.69,4.76,2.13,0.804,1.041
"CompanyB","BF",2,15,3.54,107780,24600,1671,694.5,67100,116.5,131.5,530,1.06,29.81,30.03,12.6,2.66,4.66,2.28,0.799,1.16
"CompanyB","BF",2,16,4.34,107260,24310,1659,704.9,68850,121.2,135.4,562,1.12,30.7,31.22,12.85,2.57,4.65,2.44,0.801,1.141
"CompanyB","BF",2,17,3.9,106830,24310,1643,699.3,67850,118.8,133.3,552,1.159,30.17,30.86,12.42,2.57,4.87,2.29,0.827,1.159
"CompanyB","BF",2,18,3.06,108250,24800,1693,694,66820,115,126.3,527,1.064,30.15,30.57,13.02,2.62,4.67,2.24,0.801,1.118
"CompanyB","BF",2,19,4.3,103730,23770,1631,712.8,69350,124.7,133.3,557,0.99,30.32,30.1,12.34,2.46,4.68,2.52,0.873,1.052
"CompanyB","BF",2,20,4.2,106170,24230,1654,703.1,68130,123.5,130.5,541,1.12,30.71,30.68,12.99,2.59,4.63,2.29,0.885,1.057
"CompanyB","BF",3,1,2.9,106280,24710,1697,696.3,68060,113.4,121.6,528,1.103,30.67,31.82,12.85,2.6,4.82,2.38,0.869,1.046
"CompanyB","BF",3,2,3.05,106990,24730,1693,701,68320,117.7,122.5,538,1.07,31.06,31.57,13.43,2.63,4.75,2.26,0.884,1.093
"CompanyB","BF",3,3,4.03,107650,24620,1670,699.4,67540,117.5,119.8,534,1.16,30.9,30.85,12.9,2.69,4.73,2.09,0.844,1.037
"CompanyB","BF",3,4,2.49,107460,24640,1677,695.7,66760,122,117.3,514,1.011,30.11,30.63,12.84,2.409,4.65,2.27,0.821,1.101
"CompanyB","BF",3,5,3.91,106590,24220,1649,699.1,68360,121.1,120.4,517,1.034,30.5,30.75,12.8,2.63,4.62,2.31,0.826,1.172
"CompanyB","BF",4,1,3.7,103730,24180,1649,700.7,69570,128.2,123.4,550,1.1,30.18,32.29,11.9,2.67,4.54,2.42,0.755,1.084
"CompanyB","BF",4,2,3.46,105800,24350,1657,695.8,69300,121.9,121.4,550,1.1,30.55,31.4,13.06,2.56,4.59,2.36,0.793,1.125
