"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BH",1,1,2.89,106530,24210,1651,709.9,67550,115.6,127.3,535,1.057,29.99,31.45,12.02,2.491,4.7,2.47,0.839,1.036
"CompanyB","BH",1,2,3.36,106710,24410,1655,711.5,67470,121,130.5,542,1.099,29.91,32.84,12.56,2.59,4.73,2.37,0.801,1.055
"CompanyB","BH",1,3,3.18,107380,24360,1658,713,67680,125.7,129,562,1.102,30.24,32.03,12.88,2.557,4.66,2.55,0.859,1.081
"CompanyB","BH",1,4,4.32,107320,24290,1641,718,67380,120.2,129.6,560,1.019,29.86,30.68,12.18,2.52,4.6,2.41,0.805,1.07
"CompanyB","BH",1,5,3.13,106880,24210,1641,723.8,67070,118.1,128.8,543,1.062,29.76,30.92,12.26,2.502,4.61,2.14,0.828,1.085
"CompanyB","BH",2,1,2.71,106000,24360,1656,703.7,67770,114.3,129.8,540,0.95,29.52,29.98,11.41,2.521,4.55,2.39,0.822,1.042
"CompanyB","BH",2,2,3.7,107130,24480,1672,708.7,67920,121.3,134.1,562,1.069,30.56,32.72,12.04,2.614,4.58,2.31,0.869,1.011
"CompanyB","BH",2,3,3.03,106700,24470,1668,713.4,67910,123.4,128.9,541,1.045,29.73,30.95,11.06,2.516,4.55,2.16,0.775,1.037
"CompanyB","BH",2,4,2.9,106530,24480,1665,719.5,67910,120.9,129,548,1.07,29.87,31.51,11.29,2.61,4.75,2.28,0.885,1.049
"CompanyB","BH",2,5,3.12,106260,24220,1658,717,67460,119.6,129,548,1.072,30.04,31.38,11.87,2.486,4.65,2.35,0.806,1.074
"CompanyB","BH",2,6,4.04,106610,24280,1653,723,68570,121.3,135.7,553,1.05,30.57,32.34,11.84,2.59,4.67,2.33,0.896,1.134
"CompanyB","BH",2,7,3.27,107050,24310,1656,727.6,67640,120.4,128.8,541,1.092,29.66,30.53,11.82,2.611,4.62,2.11,0.881,1.097
"CompanyB","BH",2,8,3.54,106730,24390,1648,723.1,68160,118.3,132.4,556,1.094,30.59,30.87,11.98,2.62,4.67,2.12,0.812,1.056
"CompanyB","BH",2,9,2.84,105880,24340,1660,716.7,67890,121.1,128.6,542,1.079,29.6,31.9,11.48,2.498,4.62,2.13,0.843,1.121
"CompanyB","BH",2,10,3.2,106500,24650,1670,717.6,68230,126.4,131.1,542,1.092,30.73,31.21,11.65,2.57,4.62,2.21,0.898,1.075
