"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BI",1,1,2.57,102910,24500,1679,701.1,68320,120.2,130.5,542,1.074,29.97,31.03,12.51,2.6,4.7,1.99,0.83,1.041
"CompanyB","BI",1,2,2.31,104520,24890,1690,697.4,68420,124.4,133,565,1.101,30.57,32.04,12.55,2.57,4.8,2.34,0.8,1.049
"CompanyB","BI",1,3,2.67,103400,24380,1647,709.6,68110,122.4,131.4,546,1.121,29.62,30.39,12.87,2.54,4.67,2.25,0.93,1.01
"CompanyB","BI",1,4,2.63,105670,24710,1664,717.1,68250,124.2,129.6,547,1.04,30.37,30.86,13.03,2.52,4.81,2.18,0.77,1.051
"CompanyB","BI",1,5,2.35,105900,24510,1655,712.8,68420,119.1,131.3,551,1.079,30.01,31.42,12.74,2.59,4.82,2.17,0.82,1.06
"CompanyB","BI",2,1,2.36,104200,25050,1700,681.1,68450,121.7,128.2,545,1.047,30.72,31.35,12.91,2.52,4.66,2.45,0.88,1
"CompanyB","BI",2,2,2.43,104600,24980,1686,685,68550,121,130.5,524,1.092,30.97,31.34,12.9,2.7,4.71,2.14,0.79,1.012
"CompanyB","BI",2,3,2.1,104700,24750,1679,693.1,67830,118.1,129,540,1.065,30.82,31.36,13.08,2.6,4.69,2.32,0.89,0.989
"CompanyB","BI",2,4,2.48,104800,24690,1673,704,68440,119.3,129.4,555,1.016,30.43,30.63,12.51,2.63,4.72,2.47,0.8,0.944
"CompanyB","BI",2,5,2.67,104500,24750,1661,714.9,69820,121.9,130.9,557,1.074,30.87,31.1,13.23,2.67,4.8,2.42,0.91,1.096
"CompanyB","BI",2,6,2.83,103800,24720,1664,705,68780,120.8,129.9,537,1.101,30.76,30.56,12.88,2.62,4.82,2.29,0.78,1.073
"CompanyB","BI",2,7,2.43,106140,24770,1678,702.8,67970,120.5,127.9,513,1.044,30.19,31.26,12.97,2.73,4.65,2.31,0.704,0.947
"CompanyB","BI",2,8,2.56,104700,24780,1675,706.2,68250,119.8,129.2,532,1.136,30.75,31.54,13.37,2.72,4.82,2.3,0.8,1.086
"CompanyB","BI",2,9,2.53,105330,24830,1680,701.9,67600,122.1,128.1,547,1.058,30.64,31.16,12.71,2.69,4.88,2.32,0.79,1.007
"CompanyB","BI",2,10,2.56,104780,24710,1675,707.3,68580,118.3,129.5,540,1.113,30.59,31.29,12.73,2.73,4.75,2.34,0.84,1.106
"CompanyB","BI",2,11,2.8,102600,24210,1647,713.3,68780,121.9,129.7,515,1.096,30.3,30.26,12.57,2.48,4.72,2.41,0.83,1.039
"CompanyB","BI",2,12,2.5,102300,24280,1658,707.4,68490,124.9,129.8,537,1.028,30.56,30.96,13.14,2.74,4.82,2.05,0.86,1.078
