"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BJ",1,1,2.87,104030,24060,1635,700.4,65290,126,127.6,544,1.069,29.66,30.69,13.05,2.534,4.69,2.18,0.823,1.074
"CompanyB","BJ",1,2,2.85,106100,24310,1651,699.4,63900,119.6,128,545,1.102,30.01,31.01,12.46,2.468,4.53,2.2,0.926,1.01
"CompanyB","BJ",1,3,2.57,106510,24260,1649.1,702.1,62140,124.2,126.3,546,1.072,30.1,30.78,13,2.578,4.63,2.21,0.802,1.045
"CompanyB","BJ",1,4,2.58,106030,24310,1647,705,61460,121.7,128,542,1.057,29.72,30.77,12.78,2.51,4.54,2.18,0.812,1.063
"CompanyB","BJ",1,5,2.56,106230,24250,1636,705,60550,121.4,128.4,548,1.159,30.06,30.03,12.5,2.603,4.59,2.22,0.751,1.033
"CompanyB","BJ",2,1,2.47,103440,24330,1636,691.7,60350,124.4,128.9,547,1.148,29.93,31.67,13,2.543,4.57,2.21,0.852,1.029
"CompanyB","BJ",2,2,2.68,105690,24550,1653,691.6,59680,125.7,128.8,540.6,1.104,30.33,31.47,12.87,2.455,4.64,2.2,0.878,1.032
"CompanyB","BJ",2,3,2.7,105570,24260,1631,698.6,58710,123.3,126.9,534.2,1.066,29.8,31.13,12.18,2.51,4.663,2.25,0.854,1.048
"CompanyB","BJ",2,4,2.89,105910,24210,1624,701.5,58640,120.8,127.4,552,1.153,29.9,30.91,12.93,2.6,4.6,2.17,0.77,1.041
"CompanyB","BJ",2,5,2.67,105550,24230,1645,705.2,59020,122.8,128.7,538,1.145,30.03,31.56,12.72,2.552,4.67,2.16,0.811,1.028
"CompanyB","BJ",2,6,2.55,105210,23990,1622,710.3,58360,119.7,128.6,541,1.193,29.56,31.01,12.96,2.587,4.611,2.21,0.877,1.075
"CompanyB","BJ",2,7,2.53,105810,24110,1633,702.9,58380,121.8,128.2,544,1.121,29.86,31.11,12.72,2.539,4.64,2.35,0.826,1.072
"CompanyB","BJ",2,8,2.6,105760,24190,1639,709.4,59130,121.1,129.8,550,1.135,29.94,31.15,13.01,2.482,4.62,2.31,0.828,1.057
"CompanyB","BJ",2,9,2.59,105210,24130,1641,714.4,59690,120,128.9,546,1.132,30.13,30.44,12.86,2.55,4.57,2.36,0.899,1.096
"CompanyB","BJ",2,10,2.58,105060,24040,1624,711.1,59540,122.2,128.3,542,1.116,29.85,31.07,12.91,2.458,4.58,2.1,0.86,1.075
"CompanyB","BJ",2,11,2.69,106900,24400,1655,721.7,60500,118,129,537,1.206,30.22,32.11,13,2.512,4.78,2.37,0.891,1.1
"CompanyB","BJ",2,12,2.55,106440,24180,1651,706.7,59970,118.7,125.9,533,1.132,30.18,31.37,12.42,2.572,4.57,2.2,0.754,1.096
"CompanyB","BJ",2,13,2.58,105730,24230,1643,710.5,60910,122.6,129.2,538,1.131,30.03,31.37,12.6,2.58,4.67,2.14,0.847,1.057
"CompanyB","BJ",2,14,2.7,105170,24100,1631,704.1,61410,120.5,128.5,542,1.097,29.79,30.99,12.76,2.603,4.56,2.26,0.842,1.067
"CompanyB","BJ",2,15,2.64,105400,24250,1638,708.4,62190,118,127.7,527.3,1.111,29.9,31.14,12.73,2.479,4.65,2.41,0.853,1.055
"CompanyB","BJ",2,16,2.53,105010,24050,1658,707.1,62850,121.1,128,539,1.109,29.91,31.01,12.65,2.67,4.8,2.43,0.817,1.035
"CompanyB","BJ",2,17,2.61,104910,24120,1645.2,711.5,64000,118.5,129,540,1.117,30.22,31.55,12.9,2.498,4.56,2.47,0.853,1.047
"CompanyB","BJ",2,18,2.5,107110,24240,1662,712.9,64930,118.8,128.8,544,1.096,30.21,31.65,12.9,2.47,4.66,2.22,0.852,1.062
"CompanyB","BJ",2,19,2.46,105230,24230,1664,708,65320,121.6,128.6,537,1.087,30.31,31.75,12.92,2.609,4.65,2.26,0.884,1.054
"CompanyB","BJ",2,20,2.33,104510,24160,1663,702,66580,119.6,129.3,536,1.08,30.43,31.07,12.42,2.645,4.63,2.24,0.769,1.055
"CompanyB","BJ",3,1,2.5,102470,24340,1692.2,684.9,69840,121.6,128.4,528,1.035,30.15,31.29,12.69,2.601,4.69,2.19,0.873,1.028
"CompanyB","BJ",3,2,2.42,102150,24240,1688,693.9,71100,123.8,128,541,1.1,30.23,31.4,12.46,2.697,4.72,2.18,0.879,1.034
