"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BM",1,1,2.65,105260,24190,1632,728.6,66570,110.9,126.7,559,1.114,30.36,28.62,12.31,2.51,4.64,2.13,0.84,1.18
"CompanyB","BM",1,2,3.04,105780,24110,1621,733.1,66590,116.5,127.7,531,1.19,30.17,29.84,12.89,2.6,4.63,2.27,0.76,1.128
"CompanyB","BM",1,3,2.58,106150,24280,1620,733.2,66600,114.2,127.3,543,1.022,30.75,28,12.91,2.63,4.77,2.27,0.91,1.176
"CompanyB","BM",1,4,3.27,105740,24150,1608,731.7,66760,116.1,126.4,544,1.057,30.14,28.98,12.77,2.47,4.61,2.37,0.7,1.074
"CompanyB","BM",1,5,3.13,106830,24290,1606,746.7,66970,117.5,126.6,541,1.071,30.57,29.28,12.69,2.55,4.74,2.21,0.84,1.22
"CompanyB","BM",2,1,2.79,105150,24270,1618,724.5,66850,112.6,127.8,543,1.086,30.52,27.95,12.53,2.61,4.62,2.31,0.87,1.164
"CompanyB","BM",2,2,3.23,105470,24470,1631,734.1,67630,117.8,127.5,545,1.15,30.61,29.85,12.87,2.75,4.83,2.32,0.86,1.103
"CompanyB","BM",2,3,2.64,105500,24150,1612,728.3,66910,114.1,127.1,540,1.1,30.89,29.93,13.31,2.45,4.64,2.1,0.82,1.18
"CompanyB","BM",2,4,2.88,106260,24310,1624,734.5,67720,113.6,127.3,538,1.069,30.64,30.12,12.27,2.6,4.65,2.08,0.82,1.1
"CompanyB","BM",2,5,2.47,106010,24430,1619,731.6,66830,115.6,127.7,541,1.07,31.08,30.59,13.16,2.65,4.64,2.33,0.85,1.166
"CompanyB","BM",2,6,3.05,106000,24290,1608,731,66900,111.6,126.1,521,1.15,30.87,30.01,13.09,2.72,4.62,2.08,0.72,1.173
"CompanyB","BM",2,7,3.08,106130,24210,1590,737.6,66870,113.9,125.5,540,1.032,30.58,29.06,13.26,2.75,4.7,2.05,0.75,1.086
"CompanyB","BM",2,8,2.97,107300,24300,1602,745.7,67560,112.3,127.6,555,1.176,30.76,29.7,13.11,2.67,4.75,2.34,0.72,1.167
"CompanyB","BM",2,9,2.87,106290,24460,1625,734.7,67360,115.2,126.9,546,1.113,30.75,28.82,11.98,2.54,4.72,2.36,0.79,1.199
"CompanyB","BM",2,10,3.21,106200,24450,1636,745.4,68980,121.8,126.9,544,1.11,30.93,29.64,13.21,2.51,4.64,2.28,0.95,1.24
"CompanyB","BM",2,11,2.69,105490,24320,1627,742.7,67890,116.9,126.8,528,1.096,30.91,29.98,13.29,2.63,4.54,2.13,0.85,1.137
"CompanyB","BM",2,12,3.02,106380,24590,1634,731.4,67970,110.7,126.6,528,1.139,31.23,29.92,12.75,2.72,4.77,2.26,0.79,1.172
"CompanyB","BM",2,13,3.13,106100,24690,1650,734.3,68490,120.2,126.6,525,1.058,31.1,30.64,13.64,2.61,4.8,2.14,0.78,1.084
"CompanyB","BM",2,14,2.68,106610,24510,1651,734.8,67500,116.1,126.5,540,1.081,30.83,29.84,13.32,2.59,4.75,2.2,0.66,1.16
"CompanyB","BM",2,15,2.67,107270,24630,1645,740.8,68020,121,125.9,529,1.127,31.38,29.93,13.48,2.64,4.71,2.26,0.7,1.128
"CompanyB","BM",2,16,3.19,108170,24500,1642,749,68370,113.2,126.8,555,1.05,30.92,29.72,12.98,2.54,4.69,2.43,0.74,1.091
"CompanyB","BM",2,17,2.79,107400,24370,1633,753.7,68060,113.9,125.5,539,1.102,30.62,28.7,12.58,2.67,4.77,2.23,0.8,1.109
"CompanyB","BM",2,18,2.56,107350,24480,1662,747,68050,114.3,128.3,546,1.013,30.82,28.5,13.64,2.66,4.69,2.06,0.83,1.078
"CompanyB","BM",2,19,2.71,106010,24610,1671,738.6,68270,122.2,126.8,524,1.07,30.36,29.3,12.84,2.55,4.78,2.32,0.77,1.17
"CompanyB","BM",2,20,3.02,105900,24330,1652,751.6,67300,114.8,125.1,539,1.14,30.08,28.91,12.54,2.56,4.56,2.33,0.87,1.146
