"Company","pane","fragment","Rep","Li7","Na23","Mg25","Al27","K39","Ca42","Ti49","Mn55","Fe57","Rb85","Sr88","Zr90","Ba137","La139","Ce140","Nd146","Hf178","Pb208"
"CompanyB","BN",1,1,2.81,103130,24490,1701,732.9,67320,121.6,124.7,529,1.11,30.27,31.4,13.24,2.68,4.71,2.23,0.69,1.12
"CompanyB","BN",1,2,2.64,103500,24550,1707,743.4,68590,116.3,125.5,560,1.13,30.36,31.6,13.08,2.53,4.78,2.29,0.75,1.1
"CompanyB","BN",1,3,2.06,104270,24760,1724,747.5,68350,118.2,125.7,543,1.05,30.72,31.4,12.1,2.7,4.69,2.22,0.77,1.12
"CompanyB","BN",1,4,3.09,104570,24640,1710,744.3,68310,113.8,127.2,539,1.16,31.39,31.1,13.3,2.58,4.81,2.44,0.87,1.176
"CompanyB","BN",1,5,2.7,103990,24370,1697,753,68410,116.8,125,530,1.03,30.67,29.9,12.78,2.58,4.72,2.26,0.83,1.12
"CompanyB","BN",2,1,2.38,103580,24580,1685,738.5,68130,116.9,124.3,548,1.05,30.51,29.1,12.68,2.55,4.71,1.89,0.91,1.065
"CompanyB","BN",2,2,2.55,105220,24410,1667,740.4,67090,113.1,125.6,531,1.02,30.95,29.04,12.83,2.54,4.52,2.51,0.8,1.12
"CompanyB","BN",2,3,2.57,104640,24550,1689,748.4,68020,115.6,124.3,541,1.17,30.76,29,12.98,2.56,4.62,2.41,0.75,1.11
"CompanyB","BN",2,4,2.68,105560,24530,1677,749.1,67950,115,126.7,540,1,30.75,29,13.53,2.52,4.55,2.43,0.83,1.016
"CompanyB","BN",2,5,2.44,105820,24350,1696,746.2,68360,115.7,126.5,529,1.17,30.07,30.2,13.35,2.51,4.62,2.14,0.67,1.12
"CompanyB","BN",2,6,2.23,105190,24580,1684,739.6,68210,113.1,124.1,550,1.12,30.81,29.9,13.8,2.58,4.77,1.98,0.99,1.12
"CompanyB","BN",2,7,2.56,105530,24490,1677,752.6,67540,114.4,124.4,542,1.13,30.76,31.2,13.01,2.52,4.76,2.35,0.69,1.2
"CompanyB","BN",2,8,2.7,105910,24780,1690,752.2,68470,116.1,125.7,562,1.19,30.57,30,12.7,2.7,4.71,2.08,0.84,1.18
"CompanyB","BN",2,9,3.01,105570,24740,1693,745.7,68300,114.4,124.9,543,1.01,31.14,29.4,14,2.61,4.57,2.3,0.73,1.02
"CompanyB","BN",2,10,2.69,105500,24400,1680,750.2,67980,115.5,125.1,540,1.15,30.42,28.85,13.38,2.71,4.61,2.11,0.8,1.15
"CompanyB","BN",2,11,2.71,105270,24720,1687,731.5,67380,110.3,126.8,544,1.04,30.5,29.3,12.9,2.66,4.42,2.45,0.75,1.08
"CompanyB","BN",2,12,3.11,104750,24420,1679,735.2,67430,112.1,123.3,529,1.13,30.65,29.7,13.03,2.66,4.62,2.26,0.76,1.04
"CompanyB","BN",2,13,2.57,105720,24540,1667,749.4,67770,103.3,127.2,548,1.06,30.44,29.1,13.32,2.64,4.62,2.17,0.77,1.08
"CompanyB","BN",2,14,2.28,107410,24140,1638,754.9,66910,107.2,126.6,560,1.11,30.05,29.74,12.42,2.47,4.58,2.12,0.79,1.18
"CompanyB","BN",2,15,2.71,105410,24650,1666,747.9,67330,116.2,126.4,572,0.99,30.04,29.87,12.64,2.54,4.71,2.09,0.69,1.09
"CompanyB","BN",2,16,2.62,105830,24410,1671,750.1,67160,113.7,125.9,532,1.16,30.51,28.7,13.13,2.65,4.76,2.12,0.86,1.1
"CompanyB","BN",2,17,2.59,106200,24760,1689,742,68020,112.9,125.5,544,1.02,30.18,29.5,13.8,2.81,4.69,2.44,0.85,1.16
"CompanyB","BN",2,18,2.92,106440,24350,1645,756.2,66750,115.5,126.8,547,1,30.32,29.05,12.25,2.46,4.6,2.17,0.76,1.183
"CompanyB","BN",2,19,2.54,105490,24490,1676,743,68040,116.4,124.7,549,1.08,30.62,29.9,13.7,2.66,4.68,2.34,0.75,1.17
"CompanyB","BN",2,20,2.04,104560,23980,1674,728.3,66670,117,125,557,1.07,29.68,31.7,12.78,2.52,4.55,2.21,0.86,1.05
"CompanyB","BN",3,1,2.82,105350,24320,1660,729.4,66150,111.6,125.2,526,1.03,29.15,29.1,12.41,2.57,4.65,2.29,0.59,1.03
"CompanyB","BN",3,2,2.99,106220,24450,1661,737.8,67100,115.8,126.7,519,1.02,30.04,28.7,12.7,2.46,4.55,2.03,0.77,1.14
"CompanyB","BN",3,3,2.97,106400,24290,1654,738.4,66980,112.5,125,547,1.12,29.35,29.1,12.1,2.64,4.59,1.91,0.83,1.08
"CompanyB","BN",3,4,2.5,107060,24470,1650,741.5,66850,112,126,535,1.07,29.12,28.5,12.15,2.51,4.47,2.17,0.74,1.01
"CompanyB","BN",3,5,2.65,105400,24290,1654,740.2,66270,114.4,125.1,517,1.07,29.71,29.6,12.61,2.65,4.38,2.08,0.69,0.961
"CompanyB","BN",4,1,1.98,105420,24440,1686,727.6,67990,112.7,127.8,549,1.02,30.61,29.5,12.3,2.6,4.5,2.1,0.7,1.06
"CompanyB","BN",4,2,2.28,105430,24520,1687,726.4,67870,110.3,126.5,550,1.14,31.04,29.8,13.3,2.68,4.65,2.47,0.9,1.11
"CompanyB","BN",4,3,2.04,104540,24330,1680,729.2,67890,118.9,125.5,557,1.12,31.15,29.7,13.11,2.68,4.47,2.05,0.81,1
"CompanyB","BN",4,4,2.82,104880,24360,1680,736.4,68100,117.8,125.3,536,1.02,31.18,30.4,13.2,2.59,4.44,2.37,0.68,1.06
"CompanyB","BN",4,5,2.49,104920,24390,1688,737.8,68500,120.4,125.8,543,1.09,30.55,30.9,13,2.68,4.65,2.36,0.86,1.07
"CompanyB","BN",5,1,2.44,105040,24580,1681,722.7,67730,115.6,127.4,538,1.1,29.96,29.9,12.9,2.45,4.64,2.19,0.79,1.07
"CompanyB","BN",5,2,2.24,105330,24540,1689,731.5,68500,115.3,125.9,540,1.06,30.5,30.3,12.9,2.57,4.8,2.12,0.88,1.15
"CompanyB","BN",5,3,2.43,106330,24680,1680,727.9,67580,122,126.5,539,1.09,30.01,28.8,12.8,2.47,4.86,2.32,0.68,1.04
"CompanyB","BN",5,4,2.54,106410,24380,1650,735.9,66950,113.8,127.5,545,1.08,30.13,30.2,12.52,2.45,4.61,2.11,0.81,1.14
"CompanyB","BN",5,5,2.34,105720,24370,1658,741.9,67780,125.2,124.7,537,1.03,30.09,29.3,12.58,2.62,4.62,2.47,0.84,1.111
"CompanyB","BN",6,1,2.68,106460,24340,1660,741.5,67250,118.6,125.7,534,1.05,29.8,28.8,12.1,2.4,4.56,2.37,0.63,1.12
"CompanyB","BN",6,2,2.71,106410,24480,1660,737,67300,115.7,124.9,547,1.09,29.87,28.5,12.8,2.54,4.67,2.29,0.57,1.18
